source,status,what_captured,use_for,not_proof_of,next_step,link
Blue Panel,green,"Master plan; proof packages; launch readiness; QA runbook; dispatch R01/R02","PM cockpit and stakeholder decisions","Backend runtime readiness","Update after accepted proof",alexey-master-plan.html
Trello,green,"Current task wording; labels; attachments; comments; update rule","Monthly plan and current truth of task wording","Implemented functionality","Add Blue Panel result links after completion",trello-june-fact-status.html
Google Sheet GS01,green,"23 rows: competitors; functionality; consultation format; monetization; audience; unique features","Market and competitor baseline","Current economics or site readiness","Link insights to offer/landing/content tasks",artifacts/source-captures/GS01.csv
Google Sheet GS02,green,"653 rows: competitor homepages; AskNebula benchmark; visual/user path/services","Homepage requirements and offer/content structure","Frontend/backend implementation","Move insights to screen/content/backend map",artifacts/source-captures/GS02.csv
Google Doc GD01,green,"202 lines: 6-month MVP launch plan and 7 key questions","Historical strategy baseline","Current 2026 readiness","Reconcile with June-October plan",artifacts/source-captures/GD01.txt
Confideline backend/admin,red,"Project logic says this is runtime backend","Runtime target for order/chat/roles/events/support","Safe order lifecycle","R01 safe order proof from Igor",backend-admin-safe-order-execution-board-2026-06-06.html
Oracle/Nebula design,yellow,"Frontend and cabinet design logic exists","Screen contract and UX target","Backend/action/content linkage for every screen","Continue screen-backend-content-QA map",page-content-backend-readiness-map-2026-06-06.html
AskNebula/PbExpert training,yellow,"Lessons, internship knowledge, regulations, training base","Expert school; scorecard; sample answers; SLA","Readiness of our 5 experts","R02 E01 accepted then E01-E05",expert-contour-readiness-map.html
Email/no-send/support/analytics,yellow,"Acceptance criteria for events; no-send; support; analytics links","Safe verification criteria","Runtime event_id/support_case_id/analytics proof","Bind to R01 and QA",communications-support-analytics-execution-board-2026-06-06.html
QA reports/tester,red,"Public QA report format and prelaunch runbook","Final pre-traffic verification","PASS/WARN/STOP exists now","Start only after R01/R02 READY",prelaunch-qa-runbook-2026-06-06.html
External ad rules,yellow,"TikTok/Google/FTC constraints around claims and subscriptions","Marketing preflight and safe wording","Legal/payment approval","Apply before first traffic",first-traffic-marketing-preflight-package-2026-06-06.html
Legal/payment/founder decisions,red,"Decision areas known; PM can prepare package","Checkout/legal gate","Seller/provider/descriptor/refund/geography approvals","Keep as founder gate",public-docs-checkout-execution-board-2026-06-06.html
