Раздел,Статус,Короткий вывод,Ссылка
Позиция для Заказчика,готово,"Запуск трафика запрещен до test order proof",alexey-master-plan.html
Карта готовности запуска,готово,"14 слоев: 8 красных, 5 желтых, 1 зеленый",launch-readiness-master-control.html
Первый тестовый заказ,готово к передаче,"Нужно доказать весь путь услуги без реальных списаний и писем",test-order-proof-execution-pack.html
Платная консультация,частично,"Ядро сервиса описано, runtime proof не выполнен",paid-consultation-launch-control.html
Экраны Oracle/Nebula,частично,"Дизайн/верстка есть, требуется связка с backend и контентом",oracle-nebula-mvp-screen-readiness-map.html
Админ-контроль,частично,"Админка есть, но нужна единая видимость консультации",admin-operations-control-map.html
Первые 5 экспертов,частично,"Методика есть, фактический допуск не доказан",first-five-experts-launch-control.html
Email и уведомления,частично,"Пакет есть, требуется no-send proof на test order",events-notifications-launch-control.html
Support и проблемные случаи,частично,"Нужен проверенный маршрут проблемы и решения",support-refund-launch-control.html
Маркетинг и трафик,заблокировано,"Готовить можно, покупать трафик нельзя до runtime proof",marketing-traffic-launch-control.html
