"Очередь";"Блок";"Статус";"Почему важно";"Что уже есть";"Что не доказано";"Следующий владелец";"Accepted proof";"Страница"
"1";"Safe control order";"красный";"Без одного безопасного заказа нельзя доказать клиентский путь, backend, events, support и QA";"Test order gates, capture sheets, QA brief";"Нет order_id/test_run_id, нет полного route proof";"Игорь";"Safe order id + client/order/question/assignment/answer/admin timeline";"first-control-order-proof-package.html"
"2";"E01 accepted для QA";"красный";"QA не может пройти ответ эксперта без минимум одного допущенного исполнителя";"Школа, регламент, scorecard, E01-E05 sheet";"0/5 accepted experts, нет пробного ответа/SLA/анкеты/доступа";"PM + Ксения";"E01 accepted или accepted for QA only";"expert-launch-admission-control-2026-06-06.html"
"3";"Backend/admin visibility";"красный";"Админ должен видеть заказ, вопрос, исполнителя, SLA, events, support без ручного поиска";"AOC01-AOC15 sheet";"Нет admin runtime proof по safe order";"Игорь + QA";"AOC01-AOC07 + AOC14/AOC15 accepted";"admin-operations-capture-sheet-2026-06-06.html"
"4";"No-send notifications";"красный";"Нельзя рисковать реальными письмами и нельзя терять события заказа";"NSC01-NSC10 sheet";"Нет event_id/preview/external_send=false proof";"Игорь + QA";"Core NSC accepted on safe order";"nosend-control-order-capture-sheet-2026-06-06.html"
"5";"Support/problem state";"красный";"Первый сбой после оплаты должен иметь владельца, решение и закрытие";"SPC01-SPC10 sheet";"Нет support_case_id/owner/decision/closure proof";"Support + Игорь + QA";"SPC01-SPC10 accepted или controlled WARN";"support-problem-control-order-capture-sheet-2026-06-06.html"
"6";"Client page/content/backend path";"красный";"Макет, текст и backend должны вести клиента к рабочему заказу, а не к красивому тупику";"Page/content/backend readiness map";"11/14 сценариев красные, нет runtime proof";"PM + Игорь + Антон";"CTA → package → checkout → question → answer proof";"page-content-backend-readiness-map-2026-06-06.html"
"7";"Public docs and checkout trust";"красный";"Перед оплатой клиент должен видеть правила, ограничения, support/refund path";"PDC01-PDC12 sheet, content register";"Нет final seller/provider/descriptor/refund/geography approval";"PM + Founder/legal/payment";"HTML-ready pack + decision log";"public-docs-checkout-capture-sheet-2026-06-06.html"
"8";"Purchase analytics";"красный";"CAC/LTV невалидны без source/session/order/value/service/support связки";"PAC01-PAC12 sheet";"Нет source→session→order→value proof";"Игорь + PM + QA";"PAC01-PAC12 accepted на safe order";"purchase-analytics-control-order-capture-sheet-2026-06-06.html"
"9";"Pre-launch QA";"красный";"Только QA report может перевести запуск из “план” в проверенный status";"QAC01-QAC15 sheet, report shell";"QA нельзя стартовать без safe order, E01, no-send/admin/support READY";"QA + PM";"Published QA report PASS/WARN/STOP";"prelaunch-qa-capture-sheet-2026-06-06.html"
"10";"Five experts capacity for traffic";"красный";"Первый трафик невозможен, если 5 экспертов не выдерживают SLA и объем";"Admission control, school, regulation";"0/5 accepted, capacity = 0";"PM + Ксения";"E01-E05 accepted or explicit capacity limit";"first-five-expert-admission-capture-sheet-2026-06-06.html"
"11";"Traffic/economy gate";"красный";"Реклама должна проверять рынок, а не ломать неготовый сервис";"Traffic/economy launch gate";"QA/capacity/docs/analytics не закрыты, budget = 0";"PM + Founder";"Go decision after QA/capacity/docs/analytics";"first-traffic-economy-launch-gate-2026-06-06.html"
"12";"Trello/Blue Panel operating loop";"желтый";"Задачи месяца должны иметь результат, proof и ссылку в Blue Panel";"June plan, strategy decisions, autonomous queue";"Нужна постоянная синхронизация при обновлении Trello";"PM";"Weekly/current updates + result links after completion";"june-plan.html"
