screen,status,design_evidence,backend_need,content_need,qa_need,next_action
"Главная и оффер","yellow","Home / public pages exist","CTA -> auth/order/analytics","Offer, trust, FAQ, disclaimer","CTA path proof","Финализировать маршрут CTA до test order"
"Страницы услуг","yellow","Money pages exist","Category/price/expert/order mapping","SEO, FAQ, service constraints","Service page -> order proof","Сопоставить service -> price -> question -> order"
"Регистрация и вход","yellow","login/signup/forgot exist","Auth + return-to-purchase","Privacy note, errors","guest -> signup/login -> continue order","Доказать возврат в коммерческий путь"
"Каталог и карточки экспертов","red","Advisor discovery/profile sources exist","Visibility/ranking/availability/assignment","Profile, rating, SLA, price","Selected advisor/category -> assigned consultation","Принять правило каталога для 5 экспертов"
"Экран перед оплатой","red","Payment modal exists, but not advisor/topic checkout","Order + service_session + payment safe mode","What is included, refund, SLA, disclaimer","test order no real charge","Сделать safe checkout/test order"
"Форма вопроса","red","Partial onboarding question concept","question linked to order/session","Prompt tips, privacy, category","question visible admin/expert","Сделать intake в service_session"
"Кабинет клиента","red","LK source pack exists","order/session/status/chat/support visibility","Status copy and empty states","client sees paid consultation state","Построить кабинет вокруг consultation lifecycle"
"Чат клиента с экспертом","yellow","Chatroom source states exist","messages tied to paid session, SLA, transcript","Rules, follow-up, failed states","client/expert/admin same session proof","Обернуть chat paid statuses"
"Support/refund/report","red","Public legal only","ticket linked to order/session/chat/expert","Reasons, SLA, resolution copy","problem scenario proof","Сделать in-cabinet support/refund state"
"Документы/FAQ/disclaimers","yellow","FAQ/Privacy/Terms/Refund pages exist","CMS/pages/footer/checkout links","HTML-ready legal pack","all links from checkout/footer proof","Готовить пакет до legal/payment approval"
"Уведомления","yellow","Notification/email base exists","events + no-send log","Templates and variables","no-send proof by test order","Связать events with consultation lifecycle"
"Рабочее место эксперта/админка","yellow","Admin/chat/order base exists","queue, assignment, SLA, quality, accruals","Regulations and helper prompts","admin sees full consultation lifecycle","Сделать управляемую очередь консультаций"
"Обучение экспертов","yellow","Materials/tests exist partly","Manual approval and status tracking","Lessons, tests, answer examples","5 experts admission proof","Закрыть контур допуска первых 5 экспертов"
"Аналитика/готовность к рекламе","red","Reports base exists","events dashboard from landing to support","Metric names and stop signals","one test order report proof","Не включать трафик до сквозного отчета"
