Работа июня,Что доказывает,Статус,Proof-ссылка,Что не доказано,Что нужно для зеленого
"Email-шаблоны, уведомления и рассылки","Клиент, эксперт, агент, админ и support получают правильные события заказа без реальной отправки писем на тесте.",Желтый,co2p-events-notifications-nosend-service-session.html,Нет timeline событий на реальном контрольном заказе.,"На контрольном заказе есть no-send журнал: событие, получатель, шаблон, preview, ошибка/успех, владелец."
Чат в админке для экспертов,"Эксперт может принять задачу, увидеть вопрос, ответить и закрыть консультацию внутри платформы.",Желтый,expert-runtime-proof-register.html,"Есть веб-контур и пакеты, но нет runtime proof на реальном безопасном заказе.","На safe order видно: назначение исполнителя, рабочее место, ответ, статус, контроль админа."
Доступ эксперта и рабочие вкладки,"Первые исполнители получают только нужные вкладки, видят свои задачи, начисления, статусы и ограничения.",Красный,co2p-expert-agent-workspace-service-session.html,"Не доказано, что реальный эксперт/агент получает задачу и работает по роли.","Один допущенный исполнитель входит в админку, получает заказ, отвечает, а админ видит весь путь."
Панель обучения экспертов,Первые 5 экспертов обучаются по единому стандарту и проходят ручной допуск.,Красный,first-five-expert-admission-gate.html,"Материалы есть, но 0 из 5 экспертов допущены proof-фактами.","Минимум один эксперт допущен до QA; все 5 имеют журнал, тест, пробный ответ, SLA, доступ и анкету до первого трафика."
Регламент работы эксперта,"Ответы экспертов становятся управляемыми: сроки, тон, запреты, качество, продажи, эскалации.",Желтый,expert-work-regulation-v1.html,"Регламент v1 есть, но не проверен на реальном ответе и проблемном сценарии.","Пробный ответ эксперта проверен по регламенту, замечания внесены, критерии качества понятны QA и Ксении."
Контрольный заказ от клиента до ответа,Главное доказательство: сервис может провести платную консультацию от вопроса клиента до ответа и support.,Красный,test-order-runtime-public-report-shell.html,"Нет одного безопасного заказа без реального списания, пройденного полностью.","QA-отчет PASS/WARN/STOP со скринами: клиент, заказ, вопрос, эксперт, ответ, события, support."
Support и проблемные ситуации,"Просрочка, жалоба, плохой ответ или refund-review не теряются и имеют владельца решения.",Красный,support-failure-state-gate.html,"Пакет support есть, но проблемный сценарий не доказан на рабочем сайте.","На test order смоделирована проблема, создан кейс, назначен владелец, есть статус, решение и закрытие."
"Реестр страниц, экранов и связей с backend","По каждому важному экрану понятно: есть ли дизайн, backend-функция, контент, ошибки и проверка.",Желтый,frontend-screen-backend-content-gate.html,"Карта есть, но платный путь еще не стал зеленым.","Для контрольного заказа закрыты оффер, checkout, вопрос, ожидание, ответ, support, админка и события."
Маркетинг и первый трафик,Реклама запускается только когда сервис выдерживает первых клиентов и есть stop-правила.,Красный,first-traffic-capacity-economy-gate.html,"Нет QA PASS, нет допуска всех 5 экспертов, нет capacity/economy proof и legal/payment решений.","Есть QA PASS/WARN, capacity первых 5, support/no-send, предельный CAC, план тестового трафика и stop-сигналы."
Документы сайта и дисклеймеры,"Клиент понимает, что покупает, как работает услуга, где ограничения, refund и дисклеймер.",Красный,legal-trust-launch-gate.html,"PM-пакет можно готовить, но checkout нельзя считать закрытым без legal/payment/founder решений.","HTML-ready документы согласованы с юрлицом, payment provider, descriptor, refund window и географией запуска."
Стратегия и мастер-план для Заказчика,"Заказчик видит короткий план, порядок работ, сроки, блокеры и доказательства без погружения в PM-черновики.",Зеленый,alexey-master-plan.html,"Это доказывает управляемость проекта, но не доказывает работу сайта.","После каждого результата обновлены Blue Panel, proof-ссылка, Trello-результат и публичная версия."
Стандарт передачи задач команде,"Игорь, Антон, Ксения и QA получают не хаос, а готовые пакеты: задача, макет, связь с backend, критерии и QA.",Желтый,co2p-runtime-implementation-handoff-index.html,"Стандарт есть, но не все июньские задачи доведены до полного co2p-пакета и QA proof.","По каждой задаче есть согласованный результат, пакет передачи, критерии приемки и место для QA-отчета."
