type,slug,name,country,ok,directory_exists,expected_files,existing_files,ok_locales,missing_files,issue_files
country,latvia,Latvia,Latvia,1,1,12,12,6,,
country,japan,Japan,Japan,1,1,12,12,6,,
country,italy,Italy,Italy,1,1,12,12,6,,
country,indonesia,Indonesia,Indonesia,1,1,12,12,6,,
country,india,India,India,1,1,12,12,6,,
country,canada,Canada,Canada,1,1,12,12,6,,
country,belarus,Belarus,Belarus,1,1,12,12,6,,
country,bosnia-and-herzegovina,Bosnia and Herzegovina,Bosnia and Herzegovina,1,1,12,12,6,,
country,brazil,Brazil,Brazil,1,1,12,12,6,,
country,azerbaijan,Azerbaijan,Azerbaijan,1,1,12,12,6,,
country,hong-kong,Hong Kong,Hong Kong,1,1,12,12,6,,
country,germany,Germany,Germany,1,1,12,12,6,,
country,georgia,Georgia,Georgia,1,1,12,12,6,,
country,australia,Australia,Australia,1,1,12,12,6,,
country,estonia,Estonia,Estonia,1,1,12,12,6,,
country,croatia,Croatia,Croatia,1,1,12,12,6,,
country,czech-republic,Czech Republic,Czech Republic,1,1,12,12,6,,
country,colombia,Colombia,Colombia,1,1,12,12,6,,
country,chile,Chile,Chile,1,1,12,12,6,,
country,france,France,France,1,1,12,12,6,,
country,armenia,Armenia,Armenia,1,1,12,12,6,,
country,argentina,Argentina,Argentina,1,1,12,12,6,,
country,south-korea,South Korea,South Korea,1,1,12,12,6,,
country,mexico,Mexico,Mexico,1,1,12,12,6,,
country,vietnam,Vietnam,Vietnam,1,1,12,12,6,,
country,thailand,Thailand,Thailand,1,1,12,12,6,,
country,serbia,Serbia,Serbia,1,1,12,12,6,,
country,montenegro,Montenegro,Montenegro,1,1,12,12,6,,
country,lithuania,Lithuania,Lithuania,1,1,12,12,6,,
country,poland,Poland,Poland,1,1,12,12,6,,
country,ukraine,Ukraine,Ukraine,1,1,12,12,6,,
country,russia,Russia,Russia,1,1,12,12,6,,
country,spain,Spain,Spain,1,1,12,12,6,,
country,singapore,Singapore,Singapore,1,1,12,12,6,,
country,monaco,Monaco,Monaco,1,1,12,12,6,,
country,united-arab-emirates,United Arab Emirates,United Arab Emirates,1,1,12,12,6,,
country,switzerland,Switzerland,Switzerland,1,1,12,12,6,,
country,united-kingdom,United Kingdom,United Kingdom,1,1,12,12,6,,
country,united-states,United States,United States,1,1,12,12,6,,
city,munich,Munich,Germany,1,1,12,12,6,,
city,berlin,Berlin,Germany,1,1,12,12,6,,
city,liverpool,Liverpool,United Kingdom,1,1,12,12,6,,
city,birmingham,Birmingham,United Kingdom,1,1,12,12,6,,
