code,block,owner,reason,closes,result,proof,trello_rule,status,next_step
"JX01","PM-контур, мастер-план и связь Blue Panel/Trello","PM / Codex","Чтобы Заказчик видел понятный план, а команда работала по proof-ссылкам, а не по разрозненным обсуждениям.","Управление проектом, единая карта решений, контроль статусов.","Обновленная Blue Panel, короткая вкладка для Алексея, реестр готовности, правила результата в Trello.","alexey-master-plan.html; june-plan.html; launch-readiness-master-control.html","Существующую карточку не переименовывать; добавить ссылку на Blue Panel результат с пометкой (by Codex).","yellow","Еженедельно обновлять proof-ссылки и статус задач."
"JX02","Разбор готовых ТЗ и макетов","PM / Codex","Чтобы не отдавать Игорю хаотичные старые ТЗ и не терять уже сделанную работу.","Старые задачи, готовые макеты, backend/frontend/admin связки.","Реестр: что выполнено, частично, устарело, что можно передавать в работу.","jun02-tz-backend-frontend-admin-matrix.html; jun02-igor-co2p-queue.html","Существующую карточку оставить с пользовательским названием; результатом дать реестр и очередь Игорю.","yellow","Довести каждый старый ТЗ до решения: внедрять, объединить, отложить, закрыть."
"JX03","Email, уведомления и рассылки","PM / Игорь / QA","Без статусов заказа, ответа, просрочки и support клиент и команда будут теряться.","Transactional/operational emails, уведомления для клиента, эксперта, агента, модератора, админа.","Пакет событий, шаблонов, переменных и no-send проверки без реальных отправок.","email-notifications-handoff.html; email-notifications-igor-qa-package.html; events-notifications-launch-control.html","В карточке по email не менять название; добавить ссылку на пакет и no-send QA.","yellow","Связать события с test order: заказ, вопрос, назначение, ответ, просрочка, жалоба, возврат."
"JX04","Админский чат и жизненный цикл консультации","Игорь / PM / QA","У нас есть мессенджер, но для Nebula нужен платный сервисный чат с заказом, сроком, экспертом и support.","Checkout/test order, question intake, paid chat lifecycle, expert/admin visibility.","Рабочий test order без списания: вопрос, назначение, чат, ответ, статус, события.","igor-first-runtime-task-test-order.html; igor-test-order-consultation-handoff.html; paid-consultation-igor-qa-package.html; test-order-readiness-gate.html","Связать с текущей задачей по админскому чату/платной консультации; не создавать второй дубль без необходимости.","red","Закрыть gate и передать Игорю самый короткий реализуемый путь."
"JX05","Рабочее место эксперта, агента и операционная админка","PM / Игорь","Первые 5 экспертов могут стартовать через админку по ролям, но должны видеть задачи, сроки, чат, качество и начисления.","Expert workspace, agent profile assignment, moderator/support/admin visibility.","Role-based admin view: эксперт, агент, модератор, support, админ; без ручного поиска по сайту.","expert-agent-workspace-handoff.html; expert-agent-workspace-igor-qa-package.html; co2p-expert-agent-workspace-service-session.html; backend-admin-readiness-map.html","В карточке по кабинету/доступам эксперта оставить исходное название; добавить co2p-пакет.","red","Собрать acceptance criteria: очередь задач, дедлайн, статус ответа, история, начисление."
"JX06","Школа экспертов и допуск первых 5 экспертов","PM / Ксения как ревизор","Обучение уже есть в материалах, но нужно превратить его в рабочий допуск первых 5 экспертов.","Уроки, тест, регламент, тестовые ответы, журнал допуска.","Школа v1: документы, тест, пример ответа, ручное подтверждение допуска, задача Ксении на ревизию понятности.","expert-school-v1-operational-pack.html; expert-training-materials-register.html; first-five-expert-admission-journal.html; ksenia-expert-school-review-task.html","Не менять карточку школы; результатом дать пакет обучения и журнал допуска.","yellow","Проверить, что каждый эксперт имеет статус: не начинал, учится, тест, допущен, стоп."
"JX07","Регламент работы, качество и модерация","PM / Ксения ревизия / QA","Для платной эзотерической услуги качество ответа, запрет контактов и правила поведения критичны.","SLA, тон общения, качество ответа, запреты, off-platform контакты, предупреждения, баны.","Регламент v1 и правила качества/модерации, которые можно дать экспертам и использовать в admin/support.","expert-work-regulation-v1.html; expert-quality-moderation.html; support-refund-launch-control.html","В карточке регламента оставить пользовательское название; добавить ссылку на регламент v1 и критерии качества.","yellow","Связать нарушение регламента с жалобой, quality review, санкцией и видимостью эксперта."
"JX08","Оплата труда, начисления и мотивация","PM / founder позже","Эксперт и агент должны понимать, за что начислено, что удержано, и как качество влияет на выплаты.","Комиссии, бонусы, удержания, статусы начислений, видимость в рабочем месте.","Модель начислений без реальных выплат и список founder-решений для финализации.","expert-agent-compensation-handoff.html; expert-agent-compensation.html; founder-compensation-decisions.html","В карточке по ЗП оставить исходное название; добавить модель и список решений.","yellow","После test order добавить тестовое начисление и удержание без реальной выплаты."
"JX09","Support, жалобы, возвраты и проблемные сценарии","PM / Игорь / QA","Перед рекламой нужно знать, что делать, если эксперт не ответил, клиент недоволен, чат завис или оплата спорная.","Failure states, support ticket, report/refund, связь с заказом/чатом/платежом.","Пакет support/refund с проблемными сценариями и QA-проверкой.","support-refund-handoff.html; support-refund-igor-qa-package.html; co2p-support-refund-service-session.html; support-refund-readiness.html","Старую/существующую support карточку не переименовывать; добавить новый proof-пакет.","red","Проверить сценарии: нет ответа, плохой ответ, жалоба, refund request, read-only/blocked chat."
"JX10","Дизайн платной воронки и недостающие состояния Антону","Антон / PM","Дизайн найден, но не закрывает все коммерческие состояния платной консультации.","Onboarding production, advisor match, starter package, payment states, result/transcript, follow-up, support in LK.","Список конкретных экранов/состояний Антону, без общего “улучшить дизайн”.","anton-oracle-nebula-design-fixes.html; anton-paid-funnel-igor-qa-package.html; screen-backend-content-control.html","Если есть карточка по макетам/дизайну, оставить название; внутрь добавить список недостающих состояний.","yellow","Передать Антону P0-экранные состояния из coverage register и связать их с backend задачами."
"JX11","Проверка перед рекламой и аналитика запуска","PM / QA / founder","Реклама без test order и аналитики даст хаос, а не проверку продукта.","Pre-traffic QA, события, LTV/CAC, stop-сигналы, go/no-go.","Решение: можно ли проводить малый рекламный тест, с какими метриками и стоп-условиями.","pre-traffic-paid-consultation-control.html; pre-traffic-qa-decision-package.html; marketing-traffic-launch-control.html; marketing-economics-readiness-map.html","В Trello не делать это отдельным шумом, если уже покрыто карточками test order/QA/маркетинг; ссылку держать в Blue Panel.","red","Вернуться только после закрытия test order, support, no-send и legal/checkout disclosure."
