role,product_owner_ru,recommended_permissions,backend_scope_required,must_allow,must_deny,reason,status
super-admin,Владелец системы / технический root,All,нет,Все разделы включая roles/payment secrets/env/plugins/license/raw PHP,Нет прикладных запретов кроме аудита,Нужен полный восстановительный доступ,READY
admin,Операционный администратор,"операционные users/orders/support/moderation overview; read-only audit",да для sensitive zones,"dashboard; users/experts overview; orders/support overview; moderation overview","role mutation; payment secrets; env/license/plugins; raw PHP pages",Снижает blast radius относительно super-admin,NEEDS_IMPLEMENTATION_RULES
agent,Агент проекта,"users-agent; chief_under-view; chat/message доступ только через assigned scope",обязательно,"own agent workspace; assigned expert ids; assigned paid sessions; reply composer","unassigned expert; чужой chief_under; global users/messages/chat; payments; settings; roles; logs",Агент ведет только назначенные экспертные анкеты,CRITICAL_SCOPE_GAP
agent-moder,Диспетчер назначений агентов,"chief_under-all; users-view; ограниченный users-update; partners/users view if needed",да,"создание/изменение/снятие назначений; audit assignments","global chat text; payments; settings/roles; raw PHP",Управляет связями agent -> expert,NEEDS_DIRECT_URL_AUDIT
balance,Финансовый учет,"partners-balance; users-balance; balance_transaction-view; orders-view",да,"балансы; транзакции; payout/audit reports; order finance summary","chat/messages/transcript; settings/roles/pages; assignment mutation",Финансы отдельно от личной переписки,NEEDS_DIRECT_URL_AUDIT
payment-moderator,Платежный модератор,"orders-view/update for payment/refund; balance_transaction-view; support/refund status context",да,"payment/refund status; receipt/webhook/evidence status","provider secrets; raw transcript; assignments; roles/settings",Деньги и refund evidence без секретов и лишней переписки,NEEDS_DIRECT_URL_AUDIT
support,Первая линия поддержки,"support-view/update; limited users-view; order/session status summary",да,"tickets; limited user lookup; support case context","global chat; payment mutation; balance mutation; settings/roles",Помощь клиенту без превращения в администратора,NEEDS_DIRECT_URL_AUDIT
support-moder,Старшая поддержка,"support-all; escalation; evidence bundle links; internal notes",да,"support queue; escalation; request refund review","final payment mutation without finance; roles/settings; global chat outside case",Разделение поддержки и финансов,NEEDS_DIRECT_URL_AUDIT
content-moder,Контент-модератор,"news/help/info_block; safe content/language copy",да для raw PHP/pages,"news/help/info blocks; safe public copy","raw PHP pages without sanitization; chat; payments; roles/settings secrets",Контент не должен иметь доступ к деньгам и интимным консультациям,NEEDS_RAW_PHP_GUARD
user-moderator,Модератор пользователей,"users-view/update moderation fields; reports; bans; photos; verifications",да,"жалобы; баны; фото; верификации; safety flags","orders/payments/balances; global transcript; settings/roles",Модерация пользователей отдельно от чатов и денег,NEEDS_DIRECT_URL_AUDIT
