"sort","key","subject","event_name","event_exists","condition_id","delay","status","available_params","used_variables","missing_variables","extra_available_params","recommendation","backend_comment"
"0","user_registration","Добро пожаловать в {{siteName}}","user.register","True","0","0","compatible","siteName, confirmUrl, confirmationExpiresAt, siteUrl, privacyUrl, refundPolicyUrl, termsUrl, supportEmail, legalMerchantName, userName, password, showPassword","legalMerchantName, privacyUrl, refundPolicyUrl, siteName, siteUrl, supportEmail, termsUrl, userName","","confirmUrl, confirmationExpiresAt, password, showPassword","Можно загружать по текущему event после проверки trigger/queue.","Автоматически после регистрации. Может комбинироваться с условиями NOT_LOGGED_1_DAY/3_DAYS/7_DAYS для отдельных follow-up шаблонов."
"1","email_confirmation","Подтвердите email для {{siteName}}","user.email_confirmation","True","0","0","compatible","siteName, confirmUrl, confirmationExpiresAt, siteUrl, privacyUrl, refundPolicyUrl, termsUrl, supportEmail, legalMerchantName, userName","confirmationExpiresAt, confirmUrl, legalMerchantName, privacyUrl, refundPolicyUrl, siteName, siteUrl, supportEmail, termsUrl, userName","","","Можно загружать по текущему event после проверки trigger/queue.","Повторная отправка подтверждения после действия пользователя."
"10","payment_refund_update","Статус возврата обновлён","payment.refund.update","False","0","0","event_missing","","legalMerchantName, privacyUrl, refundPolicyUrl, siteName, siteUrl, supportCaseId, supportCaseUrl, supportUpdatedAt, termsUrl, userName","legalMerchantName, privacyUrl, refundPolicyUrl, siteName, siteUrl, supportCaseId, supportCaseUrl, supportUpdatedAt, termsUrl, userName","","Такого event_name нет в текущем списке; нельзя загружать как готовый шаблон без backend-доработки.","Нет в текущем enum/dropdown."
"11","advisor_followup_offer","Можно продолжить чат с {{advisorName}}","advisor.followup.offer","False","0","72","event_missing","","advisorName, chatUrl, emailPreferencesUrl, followupOfferUrl, legalMerchantName, privacyUrl, refundPolicyUrl, siteName, siteUrl, termsUrl, unsubscribeUrl, userName","advisorName, chatUrl, emailPreferencesUrl, followupOfferUrl, legalMerchantName, privacyUrl, refundPolicyUrl, siteName, siteUrl, termsUrl, unsubscribeUrl, userName","","Такого event_name нет в текущем списке; нельзя загружать как готовый шаблон без backend-доработки.","Нет в текущем enum/dropdown."
"12","review_request","Оцените опыт консультации в чате","review.request","False","0","24","event_missing","","emailPreferencesUrl, legalMerchantName, privacyUrl, refundPolicyUrl, reviewUrl, siteName, siteUrl, termsUrl, unsubscribeUrl, userName","emailPreferencesUrl, legalMerchantName, privacyUrl, refundPolicyUrl, reviewUrl, siteName, siteUrl, termsUrl, unsubscribeUrl, userName","","Такого event_name нет в текущем списке; нельзя загружать как готовый шаблон без backend-доработки.","Нет в текущем enum/dropdown."
"13","message_chat_saved","Ваш чат с экспертом сохранён","message.chat_saved","False","0","48","event_missing","","chatUrl, emailPreferencesUrl, legalMerchantName, privacyUrl, refundPolicyUrl, siteName, siteUrl, termsUrl, unsubscribeUrl, userName","chatUrl, emailPreferencesUrl, legalMerchantName, privacyUrl, refundPolicyUrl, siteName, siteUrl, termsUrl, unsubscribeUrl, userName","","Такого event_name нет в текущем списке; нельзя загружать как готовый шаблон без backend-доработки.","Нет в текущем enum/dropdown."
"14","support_safety_notice","Важная информация о поддержке","support.safety_notice","False","0","0","event_missing","","legalMerchantName, privacyUrl, refundPolicyUrl, siteName, siteUrl, supportEmail, supportUrl, termsUrl, userName","legalMerchantName, privacyUrl, refundPolicyUrl, siteName, siteUrl, supportEmail, supportUrl, termsUrl, userName","","Такого event_name нет в текущем списке; нельзя загружать как готовый шаблон без backend-доработки.","Нет в текущем enum/dropdown."
"15","user_age_restricted","Доступ к сервису ограничен","user.age_restricted","False","0","0","event_missing","","legalMerchantName, privacyUrl, refundPolicyUrl, siteName, siteUrl, supportEmail, supportUrl, termsUrl, userName","legalMerchantName, privacyUrl, refundPolicyUrl, siteName, siteUrl, supportEmail, supportUrl, termsUrl, userName","","Такого event_name нет в текущем списке; нельзя загружать как готовый шаблон без backend-доработки.","Нет в текущем enum/dropdown."
"16","balance_topup_success","Ваш баланс {{siteName}} пополнен","balance.topup.success","False","0","0","event_missing","","amount, currency, legalMerchantName, paymentMethod, privacyUrl, refundPolicyUrl, siteName, siteUrl, supportEmail, termsUrl, transactionId, userName","amount, currency, legalMerchantName, paymentMethod, privacyUrl, refundPolicyUrl, siteName, siteUrl, supportEmail, termsUrl, transactionId, userName","","Такого event_name нет в текущем списке; нельзя загружать как готовый шаблон без backend-доработки.","Нет в текущем enum/dropdown."
"17","service_purchase_success","Покупка {{serviceName}} подтверждена","service.purchase.success","False","0","0","event_missing","","amount, currency, legalMerchantName, paymentMethod, privacyUrl, refundPolicyUrl, serviceName, siteName, siteUrl, supportEmail, termsUrl, transactionId, userName","amount, currency, legalMerchantName, paymentMethod, privacyUrl, refundPolicyUrl, serviceName, siteName, siteUrl, supportEmail, termsUrl, transactionId, userName","","Такого event_name нет в текущем списке; нельзя загружать как готовый шаблон без backend-доработки.","Нет в текущем enum/dropdown."
