id,step,status,what_exists,not_proven,owner,next_action,link
CJ01,offer,yellow,"strategy Oracle/Nebula design offer logic","CTA to order/checkout route without misleading claims","PM + Anton","screen/backend/content contract",test-order-screen-contract.html
CJ02,service_or_expert_choice,red,"universal P2P model understanding","service/package/profile/category binding to order","PM + Igor","clarify MVP assignment model in R01",admin-control-order-gate.html
CJ03,auth_continue,yellow,"Confideline auth base","return to same order after auth","Igor + QA","check inside safe order scenario",qa-test-order-execution-brief.html
CJ04,safe_order,red,"R01 request and acceptance sheet ready","order_id no-charge marker admin card","Igor","get R01",first-two-critical-proof-requests-2026-06-06.html
CJ05,question_binding,red,"question binding described in proof packs","question_id on same order_id","Igor + QA","check after R01",test-order-client-order-proof-register.html
CJ06,assignment_status,red,"SLA/status logic described","assignment deadline client status","Igor + E01","bind with R02",expert-runtime-proof-register.html
CJ07,answer_delivery,red,"admin chat/workspace handoff exists","answer_id across client/admin/expert screens","Igor + E01 + QA","test after R01/R02",expert-runtime-proof-register.html
CJ08,notifications_nosend,red,"no-send and email package exist","event log on one order_id","Igor + QA","include in safe order",notification-nosend-proof-register.html
CJ09,support_problem,red,"problem states described","support_case_id with order/chat/expert/reason","Igor + support + QA","check problem case",support-problem-proof-register.html
CJ10,docs_rules,yellow,"legal/checkout package can be prepared","seller/provider/descriptor/refund/geography approval","PM + founder/legal","prepare without publishing",legal-checkout-docs-evidence-inventory.html
CJ11,repeat_followup,yellow,"retention/economics logic exists","follow-up after result","PM + marketing","after first QA proof",marketing-launch-evidence-inventory.html
CJ12,analytics_report,red,"report/capture logic exists","source/session/order/value/expert/support row","PM + QA + Igor","capture after safe order",test-order-proof-capture-sheet.html
