id,layer,status,proven,missing,pm_decision,proof
"G01","Стратегия платформы","green","Зафиксирована модель: сначала универсальная платформа платных P2P-консультаций, Nebula как первая ниша.","Стратегия не заменяет проверку работы сайта.","Держать platform-first подход: универсальный backend сначала, эзотерическая упаковка после закрытия базового пути.","strategy-board.html; alexey-master-plan.html"
"G02","Backend Confideline","yellow","Найдены пользователи, роли, сообщения, заказы, платежные настройки, уведомления, report/block/ban, admin dashboard.","Не доказана единая domain-связка платной консультации: order → question → service/session → expert → answer → support → analytics.","Использовать Confideline как backend-базу, но не считать Nebula готовой без runtime test order.","backend-admin-readiness-map.html; backend-code-evidence-map.html; test-order-readiness-gate.html"
"G03","Frontend и дизайн Oracle/Nebula","yellow","Найдены публичные Nebula pages, Oracle/Nebula project map, LK source pack на 19 экранов, designer gap brief.","Не закрыты коммерческие состояния: starter package, checkout states, question intake, paid lifecycle, result/transcript, follow-up, support inside cabinet.","Антону отдавать точечные P0-состояния, а не общий запрос “улучшить дизайн”.","screen-backend-content-control.html; nebula-design-source-contract.html; oracle-nebula-mvp-screen-readiness-map.html"
"G04","Trello и план июня","yellow","Июньский план, execution matrix и правило “названия карточек не менять” зафиксированы в Blue Panel.","Не все Trello-карточки обновлены результатами и proof-ссылками; в этом проходе Trello не изменялся.","Trello вести как план для Заказчика, Blue Panel как proof-базу; ссылки добавлять в карточки после согласования.","june-plan.html; june-execution-control.html; trello-june-customer-brief.html"
"G05","Blue Panel как PM-инфраструктура","green","Есть мастер-план, страница для Алексея, план июня, readiness, execution, screen/backend/content register, proof CSV.","Панель нужно продолжать чистить от устаревших мест и поддерживать после новых фактов.","Считать Blue Panel рабочим cockpit, но не признаком готовности продукта.","alexey-master-plan.html; launch-readiness-master-control.html; pm-current-state-proof-ledger.html"
"G06","Документы, legal, checkout disclosure","red","Live Confideline имеет legacy Terms/Privacy/Cookie; Nebula public содержит FAQ/Terms/Privacy/Refund pages как дизайн/верстку; legal package структура собрана.","Нет финального seller/payment/refund/geography/descriptor approval; legacy docs нельзя считать финальными для Nebula.","Готовить HTML-ready пакет, но не публиковать как финальные правила до approval.","legal-docs-compliance-readiness-map.html; co2p-legal-checkout-public-docs.html"
"G07","Обучение и школа экспертов","yellow","Уроки 1–7 и training materials подняты; собраны школа v1, журнал допуска, задача Ксении как ревизору.","Нет финальной ревизии Ксении и статуса допуска каждого из 5 экспертов.","Закрывать как операционный пакет: уроки → тест → пробный ответ → ручной допуск.","expert-training-materials-register.html; expert-school-v1-operational-pack.html; first-five-expert-admission-journal.html"
"G08","Экспертский контур и рабочее место","red","Есть co2p-пакеты: workspace, compensation, quality, regulation, admin role-based approach.","Не доказано, что эксперт/агент реально получает консультацию, видит срок, отвечает и получает статус/начисление.","Проверять только через test order и роль эксперта в админке.","expert-agent-workspace-handoff.html; co2p-expert-agent-workspace-service-session.html; expert-agent-compensation-handoff.html"
"G09","Клиентский путь","red","Маршрут описан: оффер → регистрация → эксперт/пакет → вопрос → чат/ответ → support → repeat.","Нет runtime proof, что клиент реально проходит путь на сайте от оффера до ответа.","Главный критерий запуска — один доказанный контрольный заказ без реальных списаний.","client-journey-readiness-map.html; test-order-runtime-cockpit.html; qa-test-order-execution-brief.html"
"G10","Админка и операционный центр","yellow","Найдены admin routes, dashboard rows, reports, orders, messages/chat, users, roles, logs, moderation база.","Не доказано, что админ видит весь платный маршрут без ручного поиска.","Собрать операционную карточку заказа/консультации: статус, клиент, эксперт, дедлайн, support, события.","backend-admin-readiness-map.html; admin-operations-control-map.html; confideline-admin-route-evidence-map.html"
"G11","Support, жалобы, возвраты","red","Есть Report/Block/Ban база, admin report queue, refund/dispute dashboard rows, support/refund co2p-пакет.","Нет paid support case, связанного с order/session/chat/payment/expert и решением.","Support считать блокером до проблемного сценария на test order.","support-refund-launch-control.html; co2p-support-refund-service-session.html; support-refund-readiness.html"
"G12","Email, уведомления, рассылки","yellow","Найдены Notification model, manager, queue job, AppMailer, email package и no-send подход.","Нет service_session event timeline и no-send preview на контрольном заказе.","Не отправлять реальные письма; сначала снять no-send proof по заказу, вопросу, назначению, ответу, support.","events-notifications-launch-control.html; co2p-events-notifications-nosend-service-session.html; email-notifications-handoff.html"
"G13","QA и проверка перед рекламой","red","Есть QA-контур Confideline, public QA reports, test-order templates, fixtures checklist, pre-traffic QA decision package.","Нет реального runtime QA по Nebula paid consultation.","Рекламу запрещать до PASS/WARN/STOP отчета по test order.","qa-evidence-runtime-gap-register.html; test-order-runtime-qa-report-template.html; pre-traffic-qa-decision-package.html"
"G14","Маркетинг, экономика, трафик","red","Есть go/no-go пакет, policy-сверка, dashboard KPI rows, CAC/LTV рамка, stop-сигналы.","Нет live purchase event, source-to-order analytics, expert capacity proof и legal/payment gates.","Готовить маркетинг можно; покупать трафик нельзя.","marketing-traffic-launch-control.html; marketing-economics-readiness-map.html; co2p-marketing-first-traffic-gonogo.html"
"G15","Запуск MVP с 5 экспертами","red","Есть месячный план, красный маршрут, execution matrix, co2p-пакеты и proof-инфраструктура.","Не закрыты test order, expert runtime, support runtime, no-send runtime, QA PASS, legal/payment/founder decisions.","MVP пока в подготовке, не в запуске. Следующий реальный proof — контрольный заказ.","launch-before-traffic-action-plan.html; red-route-execution-plan.html; june-execution-control.html"
