step,area,qa_action,expected_result,min_proof,if_fails,decision
1,Оффер и trust,Открыть страницу или верстку Nebula и проверить понятность услуги,"Видны цена формат срок ограничения support legal links",Скрин оффера и ссылка на экран,"Правка Антону/фронту",стоп
2,Checkout test mode,Создать тестовый заказ без движения денег,"Order создан как test/mock сумма и статус видны",Test order ID и скрин статуса,"Игорю: test payment/order режим",стоп
3,Вопрос клиента,Отправить вопрос после заказа,"Вопрос привязан к order_id и service_session_id",Скрин клиента и админки,"Игорю: order question session link",стоп
4,Очередь админки,Открыть админскую очередь консультаций,"Новая консультация видна без ручного поиска",Скрин очереди и карточки,"Игорю: очередь фильтры карточка",стоп
5,Назначение,Назначить эксперта или агента,"Исполнитель срок статус history assignment сохранены",Скрин назначения и timeline,"Игорю: assignment workflow",стоп
6,Рабочее место эксперта,Зайти ролью исполнителя и открыть задачу,"Видны вопрос контекст deadline чат правила ответа",Скрин рабочего места,"Игорю: роль доступ экран задачи",стоп
7,Ответ клиенту,Отправить тестовый ответ по регламенту,"Ответ виден клиенту статус консультации изменился",Скрин чата клиента эксперта админки,"Игорю: связка ответа и статуса",стоп
8,События и уведомления,Проверить timeline и no-send preview,"События созданы письма не отправлены",Event log и preview,"Игорю: event/no-send журнал",правки
9,Проблемный сценарий,Создать жалобу или просрочку,"Support ticket связан с order session chat expert",Скрин тикета и решения,"Игорю: support/refund карточка",стоп
10,Качество и начисление,Проверить quality note и тестовое начисление,"Итог влияет на quality visibility compensation без выплат",Скрин quality/compensation,"Игорю: quality compensation link",правки
11,Итоговый отчет,Собрать публичный QA report,"Есть PASS/WARN/STOP блокеры задачи вывод",Ссылка на QA report/Blue Panel,"Рекламу не включать без отчета",стоп
