ID;Когда;Фокус;Статус;Кто ведет;Что сделать;Какой proof нужен;Ожидаемый результат;Ссылка
D1;сейчас;Отправить proof-запросы;красный;PM;Отправить Игорю runtime/backend запрос и Ксении запрос по допуску экспертов;Отправленные запросы или ссылка на страницу выдачи задач;Команда понимает, какой proof нужен и в каком формате;team-proof-dispatch-board.html
D2;сейчас;Принять ответы через proof-inbox;красный;PM;Классифицировать ответы как accepted, returned или blocked;Заполненная строка proof-inbox с причиной решения;Нет субъективного “вроде готово”;team-proof-intake-decision-board.html
D3;после ответа Игоря;Проверить QA-start gate;желтый;PM + Игорь;Сверить route, order id, session/question binding, answer, no-send log;QSP/AC accepted без критичных дыр;Можно готовить QA-запрос;control-order-qa-start-package.html
D4;после ответа Ксении;Назначить исполнителя для QA;желтый;PM + Ксения;Подтвердить минимум одного допущенного эксперта для контрольного заказа;Expert admission accepted по конкретному исполнителю;QA получает реального исполнителя, а не абстрактную роль;expert-admission-proof-acceptance-board.html
D5;после D3/D4;Подготовить no-send и support;желтый;PM + Игорь + QA;Убедиться, что контрольный заказ не отправит реальные письма и оставит support/failure след;No-send и support/refund acceptance rows готовы;QA можно запускать безопасно;notification-nosend-proof-acceptance-board.html
D6;только после READY;Запустить QA;желтый;PM → QA;Выдать QA-запрос только после accepted gate;QA request sent after READY;Тестировщик начинает проход без имитации готовности;qa-runtime-copy-request.html
D7;после D6;QA контрольного заказа;желтый;QA;Пройти полный путь: выбор, оплата/симуляция, вопрос, назначение, ответ, support;Публичный отчет QA PASS/WARN/STOP;Появляется runtime-факт готовности или список дефектов;control-order-qa-start-package.html
D8;после QA;Пересчитать светофор;желтый;PM;Обновить launch readiness и proof ledger по фактам;Обновленная readiness-страница;Решение о следующем шаге основано на доказательствах;launch-readiness-master-control.html
D9;параллельно;Довести всех 5 экспертов;красный;PM + Ксения;Провести E01-E05 и CAP01-CAP05 до accepted;Accepted rows по 5 экспертам и capacity;Можно обсуждать первый трафик;expert-capacity-proof-acceptance-board.html
D10;параллельно;Сверить дизайн и backend-контракты;желтый;PM + Антон;Сопоставить Oracle/Nebula макеты, backend Confideline и контент;Screen/backend/content rows без “по памяти”;Понятно, что верстать и что должно управляться в админке;site-design-backend-content-register.html
D11;параллельно;Подготовить legal/payment пакет;желтый;PM;Подготовить варианты и HTML-ready тексты без approval;Пакет подготовлен, но не утвержден;Founder/legal decision можно принимать быстро позже;public-docs-checkout-trust-operating-board.html
D12;параллельно;Маркетинг только preflight;желтый;PM;Готовить offer, лендинги, email, аналитику без запуска трафика;Preflight checklist без spend/live traffic;Маркетинг не ломает незакрытый runtime gate;marketing-preflight-board.html
