"Step","Block","Owner","Need","Acceptance","Evidence"
"1","Очередь назначенных консультаций","Игорь","Эксперт и агент видят только свои назначенные консультации: новые, в работе, просроченные, спорные и закрытые","Исполнитель открывает список и сразу понимает, что делать первым","Скрин списка “Мои консультации” по роли эксперта/агента"
"2","Карточка консультации","Игорь","В карточке есть заказ, клиент, вопрос, тема, язык, срок, статус оплаты, исполнитель, история действий и ссылка на чат","Исполнитель может ответить без ручного поиска данных в разных разделах","Скрин карточки консультации с полным контекстом"
"3","Назначение и переназначение","Игорь","Админ назначает эксперта/агента, видит причину назначения, срок ответа и историю изменений","После назначения задача появляется у исполнителя, а админ видит кто отвечает","Скрин назначения в админке и скрин задачи у исполнителя"
"4","Рабочий чат консультации","Игорь","Чат привязан к консультации и содержит сообщения, черновик, шаблоны, подсказки, заметки, перевод и статус отправки","Ответ исполнителя видит клиент, админ видит историю и статус ответа","Скрины чата клиента, исполнителя и админки"
"5","Срок ответа и просрочка","Игорь + QA","Для каждой консультации есть дедлайн, предупреждение, просрочка и эскалация","Просроченная консультация подсвечивается админу/support и может быть переназначена","Скрин просрочки и события эскалации"
"6","База знаний внутри рабочего места","Игорь + PM","Из карточки доступны регламент, школа, запреты, примеры хороших ответов, FAQ и инструкции по инструментам","Эксперт не выходит из сайта, чтобы найти правила ответа","Скрин блока “Правила/подсказки” внутри рабочей зоны"
"7","Качество и замечания","Игорь + QA","Модератор/админ видит ответ, ставит оценку, замечание, доработку, санкцию или эскалацию","Плохой ответ связывается с консультацией, исполнителем, жалобой и решением","Скрин оценки качества и замечания по тестовой консультации"
"8","Тестовое начисление","Игорь","После ответа создается тестовое начисление или удержание с причиной, без реальной выплаты","Эксперт/агент видит начисление, админ видит основание и связь с консультацией","Скрин начисления по закрытой тестовой консультации"
"9","Доступность и нагрузка","Игорь + PM","Админ видит онлайн/оффлайн, лимит активных консультаций, паузу, график или причину недоступности","5 экспертов нельзя перегрузить сверх заданной емкости","Скрин настройки доступности и лимита активных задач"
"10","Проверка QA на одном заказе","QA + PM","Тестировщик проходит один сценарий: назначение → ответ → качество → начисление → закрытие","Опубликован отчет со скринами и вердиктом, можно ли отдавать рабочее место в тест первых 5 экспертов","Публичный QA-отчет по рабочему месту"
