"Id","Layer","Status","CanNow","Blocked","Proof","Owner","Next","Link"
"MK01","Позиционирование и оффер","Желтый","Готовить формулировку первой услуги, LP copy, FAQ, trust blocks, disclaimer","Нельзя считать оффер подтвержденным без клика до test order и checkout disclosure","Скрин LP/offer + CTA route + совпадение с checkout и legal wording","PM + Антон","Сверить offer с frontend gate и legal pack","frontend-screen-backend-content-gate.html"
"MK02","Коммерческие страницы и SEO-контент","Желтый","Готовить страницы услуг, FAQ, blog/organic контент, структуру категорий","SEO не заменяет рабочий платный путь и не доказывает конверсию","Карта страниц + контент + internal links + отсутствие dead-end","PM + Антон","Вынести SEO/organic как дочернюю инициативу после core paid flow","organic-pr-ugc-trust-content-control.html"
"MK03","Paid traffic","Красный","Готовить креативы, UTM, списки каналов, preflight, stop-сигналы без запуска","Покупка трафика запрещена до QA PASS/WARN, capacity proof, support/no-send proof и legal/payment decisions","QA report + launch readiness yellow/green + founder approval","PM + Founder","Держать paid traffic в STOP до контрольного заказа","first-traffic-capacity-economy-gate.html"
"MK04","CAC/LTV и экономика первого теста","Желтый","Подготовить формулы, поля preflight, daily report, stop-loss","Нет фактических заказов, оплат, repeat, refund/dispute, стоимости support","Первый daily report с spend, paid orders, margin, support, SLA","PM","Заполнить после test order и утверждения starter offer","first-traffic-cac-ltv-calculator.html"
"MK05","Емкость 5 экспертов","Красный","Собрать availability, SLA, expected answer time, дневной лимит","Нет допуска 5 экспертов и нет runtime проверки expert workspace/answer","Журнал допуска + capacity guardrails + PF05-PF07 QA evidence","PM + QA + Ксения","Заполнить expert admission journal перед трафиком","expert-training-admission-evidence-inventory.html"
"MK06","События, UTM, purchase tracking","Красный","Описать required events и naming: source, campaign, order_id, value, currency","Нет runtime event log на test order и no-send уведомлениях","Event log/preview + order source/value/currency + no duplicate conversion","Игорь + QA","Связать purchase/order events с runtime evidence","notification-event-nosend-gate.html"
"MK07","Support и возвраты в экономике","Красный","Подготовить failure reasons, refund review wording, support report поля","Нет support-case runtime proof и финального refund path","Support case linked to order/session/chat/expert + decision","Support + QA + PM","Включить problem state в контрольный заказ","support-failure-state-gate.html"
"MK08","Email/retention/follow-up","Желтый","Готовить transactional и operational письма, follow-up, repeat сценарии, no-send preview","Нельзя отправлять реальные письма и считать retention без consent/no-send proof","No-send log + delivery rules + unsubscribe/consent for marketing messages","PM + Игорь + QA","Связать с notification gate и email package","notification-event-nosend-gate.html"
"MK09","Influencers/PR/UGC/trust","Желтый","Готовить whitelist, outreach, disclosure template, правила отзывов, trust content","Нельзя использовать фейковые отзывы, скрытую рекламу, обещания результата","Brief/disclosure checklist + approved landing + policy review","PM","Держать как prelaunch/trust initiative без paid push","organic-pr-ugc-trust-content-control.html"
"MK10","Правила рекламных площадок и креативы","Желтый","Готовить stop-words, creative review checklist, безопасные формулировки","Перед реальным запуском нужна ручная проверка актуальных правил выбранного канала и LP","Creative checklist + policy source + approved LP/checkout wording","PM","Обновить policy review под выбранный канал перед запуском","marketing-economics-readiness-map.html"
"MK11","Daily report первого трафика","Желтый","Подготовить шаблон отчета и decision fields: continue/fix/stop","Нет данных без контрольного заказа и рекламного теста","Daily report по первому тесту: spend, orders, SLA, support, quality, decision","PM + QA","Связать шаблон с runtime/order/source fields","first-traffic-daily-report-template.html"
"MK12","Founder/legal/payment gates","Красный","PM готовит вопросы и HTML-ready документы","Нельзя публиковать checkout/LP как боевые без seller/provider/descriptor/refund/geography","Founder/legal/payment decision record + final docs review","Founder + legal/payment","Вернуться перед LP/checkout publication","legal-public-docs-checkout-pack.html"
"MK13","Масштабирование","Красный","Держать backlog AI/app/SEO/influencers/subscriptions как future initiatives","Нельзя масштабировать до фактов: QA, CAC, support, repeat, capacity","3+ стабильных дня теста или другой agreed threshold с отчетом","PM + Founder","После первого теста пересчитать readiness и решать scale/no-scale","launch-readiness-master-control.html"
