Источник,Решение,Вход,Что означает,Что обновить,Как меняет статус
Игорь,accepted,igor-runtime-copy-request.html,safe order/backend/admin route принят: AC01-AC09 имеют ID/скрины/no real charge/no real send,qa-start-readiness-checklist.html; external-proof-inbox.html; test-order-proof-capture-sheet.html; pm-current-state-proof-ledger.html,"Технический STOP может стать желтым/READY для QA, но запуск еще красный до эксперта и QA verdict."
Игорь,returned,igor-runtime-copy-request.html,часть AC не закрыта или proof слабый,external-proof-inbox.html; current-next-action-board.html; team-ready-request-packets.html,Вернуть Игорю конкретный AC и недостающий факт; QA не стартует.
Игорь,blocked,igor-runtime-copy-request.html,на текущем backend невозможно закрыть AC без доработки,external-proof-inbox.html; launch-blocker-burndown-board.html; june-task-delivery-packages.html,Создать/обновить handoff на доработку; readiness остается красным.
Ксения / эксперт,accepted,ksenia-expert-admission-copy-request.html,минимум один эксперт получил verdict ready/conditional ready для test order,first-five-expert-admission-gate.html; first-five-expert-admission-journal.html; qa-start-readiness-checklist.html; pm-current-state-proof-ledger.html,Экспертный STOP для QA может быть снят; первый трафик все равно красный до допуска всех 5.
Ксения / эксперт,returned,ksenia-expert-admission-copy-request.html,"нет пробного ответа, SLA, языка/анкеты, конкретного verdict или замечания слишком общие",external-proof-inbox.html; first-five-expert-admission-journal.html; ksenia-expert-admission-copy-request.html,Вернуть запрос с недостающими пунктами; QA не стартует без минимум одного исполнителя.
Ксения / эксперт,not admitted,ksenia-expert-admission-copy-request.html,эксперт не проходит качество или не готов по SLA/безопасности,first-five-expert-admission-journal.html; first-five-expert-admission-gate.html,Оставить красный/blocked по эксперту; выбрать другого кандидата или дообучать.
QA,PASS,qa-runtime-copy-request.html,"PF01-PF09 и PF12 доказаны, no real charge/send, отчет публичен",test-order-runtime-public-report-shell.html; launch-readiness-master-control.html; pm-current-state-proof-ledger.html; alexey-master-plan.html; june-plan.html,Runtime-блокер первой консультации можно перевести из красного минимум в рабочий proof; paid traffic все равно запрещен до capacity/legal/payment.
QA,WARN,qa-runtime-copy-request.html,"core путь работает, но есть некритичные долги",test-order-runtime-public-report-shell.html; launch-readiness-master-control.html; current-next-action-board.html,Runtime может стать желтым; affected PF получают задачи владельцам; paid traffic не включать до решения/ретеста.
QA,STOP,qa-runtime-copy-request.html,критичный PF не доказан или есть риск real charge/send,test-order-runtime-public-report-shell.html; launch-readiness-master-control.html; launch-blocker-burndown-board.html; runtime-team-request-control.html,Запуск остается красным; вернуть дефекты Игорю/PM/Ксении с владельцем и retest path.
Антон,accepted,frontend-design-backend-evidence-inventory.html,"экраны платной воронки связаны с действием, состояниями ошибок и backend-вопросами",frontend-screen-backend-content-gate.html; screen-backend-content-control.html; june-task-delivery-packages.html,"Frontend/design может улучшить желтый слой, но не меняет runtime readiness без backend/QA proof."
Основатель/legal/payment,accepted,founder-payment-legal-decisions.html,seller/provider/descriptor/refund/geography/Phase 1 model явно утверждены,legal-trust-launch-gate.html; co2p-legal-checkout-public-docs.html; launch-readiness-master-control.html,Legal/checkout gate можно переводить по фактам; до этого LP/checkout не публиковать.
