"ID";"Контент-блок";"Где нужен";"Статус";"Источник / база";"Что должно быть внутри";"Кто готовит";"Кто утверждает";"Что блокирует";"Proof / ссылка"
"CNT01";"Главный оффер landing";"Landing, first screen, CTA";"желтый";"Стратегия, конкуренты, Oracle/Nebula дизайн";"Что продаем, кому, формат текста, срок ответа, почему доверять";"PM";"Founder";"Нет runtime proof заказа и финального pricing/checkout";"page-content-backend-readiness-map-2026-06-06.html"
"CNT02";"Блок доверия до оплаты";"Landing, checkout, FAQ";"желтый";"AskNebula/PbExpert анализ + наша честная модель";"Эксперты, контроль качества, support, без скрытых подписок";"PM";"Founder";"Нет expert admission proof и QA report";"first-five-expert-admission-capture-sheet-2026-06-06.html"
"CNT03";"FAQ “как работает сервис”";"Landing, checkout, cabinet";"желтый";"Стратегия, client journey, competitor patterns";"Шаги: выбрать услугу, оплатить, задать вопрос, получить ответ, обратиться в support";"PM";"Founder";"Нет runtime screenshots для точной привязки";"prelaunch-qa-capture-sheet-2026-06-06.html"
"CNT04";"Описание пакетов и цены";"Package page, checkout";"красный";"План MVP, founder/payment decisions later";"Что входит, цена, валюта, срок ответа, one-time nature";"PM";"Founder/payment";"Нет утвержденных price/provider/descriptor и safe checkout proof";"public-docs-checkout-capture-sheet-2026-06-06.html"
"CNT05";"Checkout consent microcopy";"Checkout";"красный";"Public docs checklist, legal/payment gate";"Согласие с Terms/Privacy/Refund/disclaimer, цена, формат, support path";"PM";"Founder/legal/payment";"Нет final seller/payment/refund/geography approval";"public-docs-checkout-capture-sheet-2026-06-06.html"
"CNT06";"Disclaimer до оплаты";"Landing, checkout, FAQ, email footer";"красный";"Public docs checklist, risk controls";"Эзотерический/self-reflection контекст, нет гарантий, не medical/legal/financial advice";"PM";"Founder/legal";"Нужна legal/founder approval перед публикацией";"public-docs-checkout-capture-sheet-2026-06-06.html"
"CNT07";"Privacy краткий текст";"Registration, checkout, support";"красный";"Privacy policy package";"Какие данные нужны, кто видит сообщения, support/admin access, analytics";"PM";"Founder/legal";"Нет final privacy approval и route proof";"public-docs-checkout-capture-sheet-2026-06-06.html"
"CNT08";"Refund/support wording";"Checkout, FAQ, support, Terms";"красный";"Support/refund gate";"Как запросить review, причины, кто решает, сроки, без автоматических обещаний";"PM";"Founder/legal/payment";"Refund window/reasons не утверждены";"support-problem-control-order-capture-sheet-2026-06-06.html"
"CNT09";"Текст формы вопроса клиента";"Question form";"красный";"Client journey, QA brief";"Как задать вопрос, лимиты, примеры хорошего вопроса, sensitive warning";"PM";"PM/Founder";"Нет question_id runtime proof";"screen-contract-capture-sheet-2026-06-06.html"
"CNT10";"Статус заказа и ожидание ответа";"Thank you/status page, email";"красный";"Order status flow, email events";"Заказ принят, срок ответа, что будет дальше, support link";"PM";"PM/Founder";"Нет order status runtime proof и no-send log";"nosend-control-order-capture-sheet-2026-06-06.html"
"CNT11";"Текст результата / follow-up";"Client cabinet/result";"красный";"Answer quality standard, retention logic";"Как показать ответ, следующий шаг, повторный вопрос, support entry";"PM";"PM/Founder";"Нет answer visibility proof";"prelaunch-qa-capture-sheet-2026-06-06.html"
"CNT12";"Регламент ответа эксперта";"Expert workspace, school";"желтый";"AskNebula/PbExpert materials, our regulation v1";"Структура ответа, эмпатия, персонализация, безопасность, запреты";"PM";"PM + Ksenia reviewer";"0/5 accepted experts";"first-five-expert-admission-capture-sheet-2026-06-06.html"
"CNT13";"Уроки школы экспертов v1";"Training panel/docs";"желтый";"Trello attachments AskNebula/PbExpert, extracted lessons";"Цель, правила, примеры, ошибки, упражнение, тест, pass criteria";"PM";"PM + Ksenia reviewer";"Нет admission journal по E01-E05";"expert-school-v1-operational-pack.html"
"CNT14";"Задача Ксении-ревизору";"Trello/Blue Panel review task";"желтый";"Nebula expert training contour";"Что проверить, как проверить, что не переписывать, какой output";"PM";"PM";"Нет фактической ревизии материалов";"first-five-expert-admission-capture-sheet-2026-06-06.html"
"CNT15";"Email templates client";"Email/no-send preview";"красный";"Email handoff, notification events";"Регистрация, заказ принят, вопрос получен, ответ готов, support updates";"PM";"PM/Founder";"Нет no-send event log proof";"nosend-control-order-capture-sheet-2026-06-06.html"
"CNT16";"Email templates expert/admin/support";"Email/no-send preview/admin log";"красный";"Email handoff, admin operations";"Назначение, SLA warning, overdue, complaint, support owner, QA alert";"PM";"PM/Founder";"Нет role-based event proof";"nosend-control-order-capture-sheet-2026-06-06.html"
"CNT17";"Support status texts";"Support page/admin/cabinet";"красный";"Support problem capture sheet";"Жалоба принята, в работе, решение, закрыто, что делать дальше";"PM";"PM/Founder";"Нет support_case runtime proof";"support-problem-control-order-capture-sheet-2026-06-06.html"
"CNT18";"Admin labels/status naming";"Admin queue/dashboard";"красный";"Admin operations sheet";"Человеческие статусы заказа, SLA, owner, reason, verdict";"PM";"PM + Igor";"Нет admin timeline proof";"admin-operations-capture-sheet-2026-06-06.html"
"CNT19";"Маркетинговые тексты первого трафика";"Ads, organic, PR, influencer briefs";"красный";"Marketing preflight, strategy, competitor analysis";"Честный оффер, без гарантий, disclosure, stop-rules, source tracking";"PM";"Founder/legal/marketing";"Paid traffic запрещен до QA/capacity/docs/analytics";"first-traffic-preflight-operating-board.html"
"CNT20";"Отчет первого дня / метрики";"Daily report, analytics board";"красный";"Purchase analytics capture sheet";"Source, session, order, value, expert, support, status, CAC/LTV notes";"PM";"PM/Founder";"Нет PAC proof на safe order";"purchase-analytics-control-order-capture-sheet-2026-06-06.html"
