"id","area","status","owner","must","proven","missing","next","proof"
"A01","Единая карточка консультации","red","Игорь + PM","Заказ, клиент, вопрос, исполнитель, срок, чат, события, support, начисление и итог в одном route.","Есть backend-кирпичи: order, users, messages, reports, notifications.","Нет proof единой карточки paid consultation lifecycle.","На safe test order показать одну карточку/route, где виден весь путь.","backend-admin-readiness-map.html"
"A02","Очередь новых заказов и заказов без вопроса","red","Игорь + Support","Новые test/paid заказы, источник, цена, статус оплаты, вопрос есть/нет, следующий шаг.","Order/admin база найдена; сценарий без вопроса описан.","Нет runtime статуса “ожидает вопроса” и no-send reminder preview.","Проверить на test order: заказ создан, вопрос отсутствует, support видит очередь.","test-order-runtime-cockpit.html"
"A03","Назначение эксперта или агента","red","Игорь + админ","Ручное/автоматическое назначение исполнителя с учетом доступности, языка, нагрузки, анкеты и SLA.","Есть пакет workspace и роли через админку.","Нет proof назначения исполнителя на конкретную консультацию.","Показать назначение на test order и запуск срока ответа.","expert-agent-workspace-handoff.html"
"A04","Рабочее место исполнителя","red","Игорь + QA","Исполнитель видит свои задачи, вопрос, чат, срок, подсказки, базу знаний, статус и замечания.","Пакет Игорю сформирован.","Нет runtime proof под ролью эксперта/агента.","Проверить workspace на test order под ролью исполнителя.","expert-agent-workspace-handoff.html"
"A05","Контроль сроков и SLA","red","Игорь + Support","Дедлайн, soon overdue, overdue, escalated, переназначить, удержать начисление, уведомить.","SLA есть в регламенте и execution plan.","Нет SLA-таймера/очереди просрочки на runtime.","Смоделировать просрочку test order и проверить очередь.","expert-work-regulation-v1.html"
"A06","Support и problem states","red","Support + QA + PM","Проблема связана с заказом, чатом, исполнителем, причиной, решением и уведомлением.","Support/refund сценарии и acceptance matrix есть.","Нет runtime support case.","Смоделировать одну проблему: эксперт не ответил или клиент недоволен.","support-problem-acceptance-matrix.html"
"A07","No-send события и уведомления","red","Игорь + QA","Каждый шаг пишет событие и показывает preview письма/уведомления без реальной отправки.","Email/event пакеты есть.","Нет no-send log на одном заказе.","Снять event log: заказ, вопрос, назначение, дедлайн, ответ, support, follow-up.","nosend-event-proof-matrix.html"
"A08","Качество ответа и ревизия","yellow","PM + Ксения + QA","Оценка ответа по рубрике: срок, полнота, тон, безопасность, запреты, продажа, жалоба.","Регламент v1 и школа v1 есть.","Нет review queue и проверки реального/пробного ответа.","Оценить один пробный ответ и показать последствия.","expert-work-regulation-v1.html"
"A09","Модерация, предупреждения и баны","yellow","PM + Игорь","Warning, hide, visible ban, shadow restriction, reason, audit log, связь с консультацией/ответом.","Report/Block/Ban база Confideline есть.","Нет связи violation → paid consultation → expert visibility/quality.","Сформировать sanction flow и проверить на тестовом нарушении.","support-refund-launch-control.html"
"A10","Ранжирование и поднятие экспертов","yellow","PM + Игорь + основатель","Формула видимости: качество, SLA, конверсия, жалобы, доступность, manual boost, freeze, anti-abuse.","Потребность зафиксирована в карте состояния.","Нет P0 формулы и admin override.","Собрать ranking decision model: что автоматом, что вручную, что запрещено.","pm-global-project-state-map.html"
"A11","Языки и переводы","yellow","PM + Игорь","Язык клиента, язык эксперта, язык ответа, перевод, качество перевода, кто отвечает за ошибку.","Риск многоязычности зафиксирован.","Нет P0-решения по языкам запуска и хранению language fields.","Определить US/UK English-first P0 и правила перевода после test order.","pm-global-project-state-map.html"
"A12","Начисления, удержания и выплаты","yellow","PM + основатель","Preview начисления по консультации, hold, bonus, deduction, dispute, payout status.","Compensation package есть.","Нет тестового начисления на закрытом заказе.","После test order показать начисление без реальной выплаты.","expert-agent-compensation-handoff.html"
"A13","Аналитика работы эксперта/агента","yellow","PM + Игорь","Ответы, скорость, просрочки, жалобы, качество, выручка, начисления, conversion, repeat.","Метрики и go/no-go логика описаны.","Нет runtime dashboard/KPI по исполнителям.","Собрать минимальные KPI на базе test order и первых 5 экспертов.","co2p-marketing-first-traffic-gonogo.html"
"A14","Ежедневный dashboard PM/Admin","red","PM + Игорь","Утром видно: новые, без вопроса, без назначения, просрочено, жалобы, ответы, выручка, нагрузка.","Очередь команды и daily route описаны.","Нет dashboard по paid consultation.","Сначала собрать report по одному test order, затем daily dashboard.","team-action-queue.html"
"A15","QA доказательство админки","red","QA + PM","QA report показывает, что админ видит весь маршрут без ручного поиска.","QA brief и report shell есть.","Нет фактического runtime QA.","После READY gate провести QA и опубликовать PASS/WARN/STOP.","qa-test-order-execution-brief.html"
