"id","area","design","design_url","backend","admin","content","qa","status","blocker"
"M01","Главная и оффер","home.html / index.html / home-popup-open.html","https://cutthreat.github.io/nebula-pages-public/home.html","CMS pages, theme settings, signup/login, analytics, CTA routing","Pages, settings, users, analytics/events","Оффер платной текстовой консультации; что получит клиент; срок ответа; доверие; FAQ; disclaimer; CTA; тексты popup","Клик CTA -> signup/login -> выбор услуги/test order без тупика","желтый","CTA и post-click путь не доказаны runtime proof"
"M02","Вход, регистрация, восстановление","login.html / signup-step-1.html / signup-step-2.html / auth-forgot-new.html","https://cutthreat.github.io/nebula-pages-public/login.html","User auth, registration, password reset, email verification/session","Users, email templates, security logs","Labels, validation errors, consent text, privacy links, password reset email, return-to-order copy","Guest -> signup/login/forgot -> return to purchase/question path","желтый","Связь auth с продолжением покупки не доказана"
"M03","Коммерческие страницы услуг","psychic/tarot/palm/phone/cheap/all/love/zodiac/taurus pages","https://cutthreat.github.io/nebula-pages-public/psychic-reading-new.html","CMS pages, service categories, expert cards, pricing, CTA to order","Pages, profile fields/categories, SEO/translate, settings","SEO text, service promise, category FAQ, trust blocks, CTA, legal note, price/package explanation","Each service page -> same paid consultation path; no dead-end CTA","желтый","Услуги не связаны с заказом/экспертом runtime proof"
"M04","Каталог и карточки экспертов","psychic reader cards/search/favorites/profile idea","https://cutthreat.github.io/nebula-pages-public/all-psychic-new.html","Dating profile/search foundation adapted to expert availability, rating, languages, categories","Users, profile fields, roles, ratings, languages, moderation","Expert bio, specializations, languages, availability, rating explanation, disclaimer, trust copy","Choose expert/category -> assign consultation; ranking/visibility rules visible","красный","Правило выбора конкретного эксперта vs очередь не доказано"
"M05","Покупка консультации / checkout","generic payment surface, paid flow missing as full screen contract","paid-consultation-test-flow.html","Order, payment/test mode, balance transaction, consultation/session creation","Orders, payment settings, balance transactions, logs","Price, package contents, refund boundary, success/fail/pending texts, receipt email","Create test order without real payment -> question/session created","красный","Сквозной test order не доказан"
"M06","Вопрос клиента после оплаты","question intake not fully proven in public pages","backend-frontend-proof-map.html","order -> question -> consultation/session link","Orders, messages/chat, queue, logs","Question prompt, examples, limits, language, what happens next, ETA/SLA copy","Question visible to client/admin/expert under same order ID","красный","Связь вопроса с заказом не доказана"
"M07","Чат клиента и ответ эксперта","chat UI / admin chat workspace v2","https://cutthreat.github.io/confideline/web/admin-chat-workspace-v2/elements-dictionary-panel.html?tab=flow&v=fd72087a67ea33da42b0b2acc09d864d7f9d17bf","Messages, chat, consultation status, SLA, moderation, delivery state","Messages/chat, users, orders, bans/reports/logs","Reply guidelines, placeholders, delivery states, safety notes, translation notes, follow-up copy","Expert sends answer -> client sees answer -> status/log updated","желтый","Paid consultation lifecycle not proven in one runtime path"
"M08","Личный кабинет клиента","dashboard/profile/chat list/thread/favorites/search from Oracle/Nebula map","oracle-nebula-design-backend-content-qa.html","Client dashboard, order history, consultation status, support, repeat purchase","Users, orders, messages, support, events","Status labels, empty states, history, support links, repeat CTA, refund/help copy","Client sees order, status, answer, support case, repeat path","красный","Client cabinet after purchase not proven as complete flow"
"M09","Рабочее место эксперта/агента","separate cabinet not required for MVP, can start via admin role tabs","expert-agent-workspace-handoff.html","Assigned sessions, SLA, chat, profile assignment, earnings, quality notes","Roles/RBAC, messages/chat, orders, balance, logs","Expert rules, answer checklist, knowledge links, warning texts, earnings labels","Expert role sees only needed tabs and completes consultation","красный","Role-based expert workspace not proven runtime"
"M10","Школа экспертов","training panel desired, v1 can be documents + tests + manual admission","expert-training-source-extraction.html","Optional training module later; v1 can use docs/forms/journal","Users/roles/manual admission, pages/help if hosted","Lessons, tests, examples, mistakes, admission rubric, Ksenia review form","5 experts have journal status: lessons/tests/practice/admission","желтый","Source lesson contents partially blocked; real 5 expert journal not filled"
