"N","Area","Status","Fact","Missing","Next","Owner","Link"
"1","Стратегия платформы","Зеленый","Зафиксировано направление: сначала универсальная paid P2P-платформа, Nebula/Oracle как первая ниша поверх нее.","Стратегия не доказывает работу сайта и не заменяет проверку платного сценария.","Держать приоритет универсального backend и переносить нишевые правки после закрытия базового пути услуги.","PM + основатель","strategy-board.html"
"2","Мастер-план и план июня","Зеленый","Есть опубликованный мастер-план, план июня, отдельная страница для Алексея и рабочий порядок задач месяца.","Часть задач июня является PM-пакетами, а не внедренной функциональностью.","По каждой задаче месяца фиксировать результат ссылкой на Blue Panel и не менять названия Trello без команды пользователя.","PM","alexey-master-plan.html"
"3","Trello как рабочая доска","Желтый","Trello используется для согласования месячных задач; текущие названия карточек считаются источником истины.","Не все карточки имеют фактический proof внедрения; часть статусов отражает подготовку, а не рабочий сайт.","Держать связку Trello -> Blue Panel: в Trello краткая постановка и результат, в Blue Panel доказательная база.","PM","trello-current-source-snapshot.html"
"4","Backend Confideline / админка","Желтый","Confideline рассматривается как backend и админка; найдены сущности заказов, платежей, email-условий и карты admin/backend readiness.","Не доказан единый путь платной консультации: заказ -> вопрос -> исполнитель -> ответ -> поддержка -> события.","Передать Игорю пакет контрольного заказа и получить скрины/логи рабочего пути.","Игорь + PM + QA","backend-admin-readiness-map.html"
"5","Frontend Oracle/Nebula","Желтый","Есть обновленная карта 14 экранных сценариев: дизайн/фронт, backend/admin, контент, недостающий proof, владелец и следующий шаг.","0 зеленых paid-flow; не доказаны checkout, вопрос, paid chat lifecycle, результат, support, role-based админка и аналитика.","Закрывать сначала красный маршрут контрольного заказа, затем оформлять экранные контракты Антону и Игорю.","PM + Антон + Игорь","screen-backend-content-control.html"
"6","Контрольный заказ","Красный","Подготовлены gate, фикстуры, QA-шаблон и пакет передачи контрольного заказа.","Нет одного безопасного тестового заказа без реального списания, пройденного от клиента до ответа эксперта.","Сначала закрыть условия готовности, затем провести test order и обновить светофор только по фактам.","Игорь + QA + PM","test-order-readiness-gate.html"
"7","Клиентский путь","Красный","Путь описан: оффер, оплата, вопрос, ожидание, ответ, follow-up, support.","Нет доказанного прохода живого клиентского сценария на сайте.","После готовности test order пройти путь мышкой, снять скрины и QA PASS/WARN/STOP.","QA + PM","co2p-runtime-qa-pretraffic-scenario.html"
"8","Рабочее место эксперта и агента","Красный","Собран пакет рабочего места: задача, вопрос, SLA, чат, начисления, качество, поддержка.","Не доказано, что эксперт или агент реально получает задачу и отвечает в текущей админке.","Проверить на контрольном заказе назначение исполнителя, ответ, статус и видимость админа.","Игорь + QA","co2p-expert-agent-workspace-service-session.html"
"9","Email, события, уведомления","Желтый","Есть пакет no-send/event: события, получатели, preview, suppression, ошибки.","Нет timeline событий на реальном контрольном заказе.","Проверить журнал событий без отправки реальных писем клиентам.","Игорь + QA","co2p-events-notifications-nosend-service-session.html"
"10","Support, тикеты, жалобы, возвраты","Красный","Собран support/refund пакет: статусы, эскалация, review, связь с заказом и качеством.","Не доказан проблемный сценарий на рабочем сайте.","Смоделировать просрочку или недовольство клиента на test order и снять proof.","Игорь + QA + PM","co2p-support-refund-service-session.html"
"11","Школа экспертов и первые 5 экспертов","Желтый","Уроки 1-7 и формы обучения извлечены; реестр материалов, школа v1, задача Ксении и журнал допуска опубликованы.","Нет ревизии Ксении, нет результатов теста и нет ручного допуска каждого из 5 экспертов.","Провести ревизию материалов, заполнить журнал по 5 реальным экспертам и проверить пробный ответ каждого.","PM + Ксения","expert-training-materials-register.html"
"12","Регламент работы экспертов","Желтый","Есть v1 регламента по срокам, качеству, запретам, эскалации и видимости.","Не проверено применение регламента на реальном ответе эксперта.","Проверить регламент на тестовом ответе и внести правки по факту.","PM + Ксения + QA","expert-work-regulation-v1.html"
"13","Юридические документы и checkout-тексты","Красный","Есть структура пакета public docs, disclosure, refund boundary и мест показа.","Финал зависит от юрлица, payment provider, descriptor, refund window и географии запуска.","Готовить HTML-ready пакет, но не считать legal/payment закрытыми до founder/legal решения.","PM + основатель/legal","co2p-legal-checkout-public-docs.html"
"14","Маркетинг и первый трафик","Красный","Есть go/no-go логика, stop-сигналы, понимание каналов и ограничение: трафик только после QA.","Нет QA PASS, нет proof capacity 5 экспертов, нет финальных legal/payment решений.","Готовить материалы и план, но не запускать рекламу до контрольного заказа и готовности support/уведомлений.","PM + основатель","co2p-marketing-first-traffic-gonogo.html"
"15","QA перед рекламой","Красный","Собраны QA-сценарий, briefing и шаблон публичного отчета.","Нет фактического прохода сайта с результатом можно / есть замечания / нельзя запускать.","Запускать тестировщика только после READY по контрольному заказу.","QA + PM","qa-test-order-execution-brief.html"
"16","Пакет передачи команде","Зеленый","Есть индекс co2p-пакетов для Игоря, QA, Антона, Ксении и основателя.","Индекс передачи не означает, что задачи внедрены.","Использовать как рабочий маршрут: задача -> макет/ТЗ -> внедрение -> QA proof -> обновление Trello.","PM","co2p-runtime-implementation-handoff-index.html"
"17","Blue Panel как источник фактов","Зеленый","Панель публикуется на GitHub Pages, есть аудит ссылок и страницы proof.","Нужно постоянно убирать старые формулировки, технический шум и расхождения с Trello.","После каждого фактического результата обновлять реестр, светофор, Trello-ссылку и публичную страницу.","PM","blue-panel-link-audit.html"
