zone,visible,minimal_proof,admin_action,owner,if_missing,status
AOC01 карточка заказа,"order_id; test marker; клиент; услуга; сумма/валюта; статус","Скрин/route карточки заказа","Открыть консультацию и понять состояние",Игорь,"Нет центральной точки управления",red
AOC02 вопрос клиента,"question_id; текст; session/order binding","Скрин вопроса внутри карточки/очереди","Проверить правильность вопроса","Игорь + QA","Ответ может быть не связан с заказом",red
AOC03 назначение,"performer_id; profile_id; assigned_at; deadline; SLA","Скрин/лог назначения","Назначить или переназначить исполнителя","Игорь + админ","Нет управляемого исполнителя",red
AOC04 workspace,"Задача; вопрос; срок; поле ответа","Скрин под ролью E01","Проверить работу внутри платформы","Игорь + E01","Исполнитель работает вне системы",red
AOC05 SLA,"Deadline; overdue; escalation; owner","Состояние SLA на test order","Увидеть риск просрочки","Игорь + support","Просрочки нельзя контролировать",red
AOC06 ответ,"answer_id; текст; автор; timestamp; client/admin view","Скрин answer view + лог","Проверить факт услуги","E01 + Игорь + QA","Услуга не доказана",red
AOC07 события,"event_id; template; variables; recipient_role; external_send=false","No-send event log","Проверить коммуникации","Игорь + QA","Нельзя безопасно тестировать уведомления",red
AOC08 support case,"support_case_id; reason; owner; decision; closed_at","Support case на том же order_id","Разобрать проблему","Support + Игорь + QA","Нет пути жалобы",red
AOC09 качество,"Scorecard/quality flag; последствия","Оценка ответа E01","Принять/вернуть/эскалировать ответ","PM + Ксения + QA","Качество не управляется",yellow
AOC10 начисление,"Preview; hold; bonus/deduction; payout status","Preview на test order без выплаты","Понять финитог эксперта","Игорь + PM + founder","Экономика эксперта слепая",yellow
AOC11 аналитика,"source; session; order; value; currency; service; expert; support outcome","Одна analytics row","Связать покупку с источником","Игорь + PM","CAC/LTV невалидны",red
AOC12 daily summary,"Новые; просроченные; проблемные; закрытые; деньги; нагрузка; владельцы","Daily row по test_run_id/order_id","Управлять операционкой дня",PM,"Нет контроля дня",yellow
