"list","name","url","closed","hasUpdateLabel","descLength","checklists","checklistItems","attachments","comments","dateLastActivity"
"План на Июнь","Codex plan","https://trello.com/c/gJnFd2wT/298-codex-plan","False","False","1424","1","5","5","1","04.06.2026 19:39:20"
"План на Июнь","Прогнать все макеты готовых ТЗ через Codex","https://trello.com/c/awgleR9M/290-%D0%BF%D1%80%D0%BE%D0%B3%D0%BD%D0%B0%D1%82%D1%8C-%D0%B2%D1%81%D0%B5-%D0%BC%D0%B0%D0%BA%D0%B5%D1%82%D1%8B-%D0%B3%D0%BE%D1%82%D0%BE%D0%B2%D1%8B%D1%85-%D1%82%D0%B7-%D1%87%D0%B5%D1%80%D0%B5%D0%B7-codex","False","False","1176","1","5","16","2","04.06.2026 20:06:30"
"План на Июнь","Email tempates","https://trello.com/c/e8aFOO8G/299-email-tempates","False","False","1467","1","5","3","0","04.06.2026 21:59:13"
"План на Июнь","Описать регламент работы на основе Nebula / PbExpert","https://trello.com/c/oZYN15XV/292-%D0%BE%D0%BF%D0%B8%D1%81%D0%B0%D1%82%D1%8C-%D1%80%D0%B5%D0%B3%D0%BB%D0%B0%D0%BC%D0%B5%D0%BD%D1%82-%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%8B-%D0%BD%D0%B0-%D0%BE%D1%81%D0%BD%D0%BE%D0%B2%D0%B5-nebula-pbexpert","False","False","1833","1","5","9","0","04.06.2026 21:22:07"
"План на Июнь","Продумать ЗП для сотрудников","https://trello.com/c/bNsEmcDz/291-%D0%BF%D1%80%D0%BE%D0%B4%D1%83%D0%BC%D0%B0%D1%82%D1%8C-%D0%B7%D0%BF-%D0%B4%D0%BB%D1%8F-%D1%81%D0%BE%D1%82%D1%80%D1%83%D0%B4%D0%BD%D0%B8%D0%BA%D0%BE%D0%B2","False","False","1483","1","5","4","0","04.06.2026 20:11:21"
"План на Июнь","Школа экспертов для первых 5 экспертов","https://trello.com/c/36nRKvdb/302-%D1%88%D0%BA%D0%BE%D0%BB%D0%B0-%D1%8D%D0%BA%D1%81%D0%BF%D0%B5%D1%80%D1%82%D0%BE%D0%B2-%D0%B4%D0%BB%D1%8F-%D0%BF%D0%B5%D1%80%D0%B2%D1%8B%D1%85-5-%D1%8D%D0%BA%D1%81%D0%BF%D0%B5%D1%80%D1%82%D0%BE%D0%B2","False","False","1654","1","5","8","0","04.06.2026 21:10:45"
"План на Июнь","Пакет рабочего места эксперта и агента в админке","https://trello.com/c/bRjDaHwL/303-%D0%BF%D0%B0%D0%BA%D0%B5%D1%82-%D1%80%D0%B0%D0%B1%D0%BE%D1%87%D0%B5%D0%B3%D0%BE-%D0%BC%D0%B5%D1%81%D1%82%D0%B0-%D1%8D%D0%BA%D1%81%D0%BF%D0%B5%D1%80%D1%82%D0%B0-%D0%B8-%D0%B0%D0%B3%D0%B5%D0%BD%D1%82%D0%B0-%D0%B2-%D0%B0%D0%B4%D0%BC%D0%B8%D0%BD%D0%BA%D0%B5","False","False","1472","1","5","3","0","04.06.2026 21:45:32"
"План на Июнь","Проверка страниц и функций перед запуском рекламы","https://trello.com/c/A4zqo2EI/304-%D0%BF%D1%80%D0%BE%D0%B2%D0%B5%D1%80%D0%BA%D0%B0-%D1%81%D1%82%D1%80%D0%B0%D0%BD%D0%B8%D1%86-%D0%B8-%D1%84%D1%83%D0%BD%D0%BA%D1%86%D0%B8%D0%B9-%D0%BF%D0%B5%D1%80%D0%B5%D0%B4-%D0%B7%D0%B0%D0%BF%D1%83%D1%81%D0%BA%D0%BE%D0%BC-%D1%80%D0%B5%D0%BA%D0%BB%D0%B0%D0%BC%D1%8B","False","False","1905","1","5","14","0","04.06.2026 22:09:16"
"План на Июнь","Работа с Антоном / дизайн","https://trello.com/c/rlMQoaVy/301-%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D0%B0-%D1%81-%D0%B0%D0%BD%D1%82%D0%BE%D0%BD%D0%BE%D0%BC-%D0%B4%D0%B8%D0%B7%D0%B0%D0%B9%D0%BD","False","False","2166","1","5","5","0","04.06.2026 19:34:19"
"План на Июнь","Новый макет страны / города","https://trello.com/c/PrkrhWqN/297-%D0%BD%D0%BE%D0%B2%D1%8B%D0%B9-%D0%BC%D0%B0%D0%BA%D0%B5%D1%82-%D1%81%D1%82%D1%80%D0%B0%D0%BD%D1%8B-%D0%B3%D0%BE%D1%80%D0%BE%D0%B4%D0%B0","False","False","976","1","5","0","0","04.06.2026 18:14:51"
"Стратегия","ТЗ. Авто продвижение анкет агентов на сайте","https://trello.com/c/bAu5gL1l/245-%D1%82%D0%B7-%D0%B0%D0%B2%D1%82%D0%BE-%D0%BF%D1%80%D0%BE%D0%B4%D0%B2%D0%B8%D0%B6%D0%B5%D0%BD%D0%B8%D0%B5-%D0%B0%D0%BD%D0%BA%D0%B5%D1%82-%D0%B0%D0%B3%D0%B5%D0%BD%D1%82%D0%BE%D0%B2-%D0%BD%D0%B0-%D1%81%D0%B0%D0%B9%D1%82%D0%B5","False","False","0","0","0","0","1","01.06.2026 16:38:03"
"Стратегия","seo-аудит от Оли","https://trello.com/c/OoNR6BFT/237-seo-%D0%B0%D1%83%D0%B4%D0%B8%D1%82-%D0%BE%D1%82-%D0%BE%D0%BB%D0%B8","False","False","184","0","0","0","1","01.06.2026 16:38:03"
