ID,Факт,Связанные данные,Что вернуть как proof,Accepted,Returned/STOP,Статус
SPC01,Заказ найден,"test_run_id; order_id; client_id","Safe/test marker; скрин или admin link","Заказ существует и безопасен; реального списания нет","Проблема без конкретного заказа",ждем proof
SPC02,Связка с консультацией,"session/task_id; question_id; answer_id если есть","Скрин order -> question -> answer/overdue path","Понятно какой вопрос/ответ вызвал проблему","Жалоба отдельно от консультации",ждем proof
SPC03,Исполнитель и анкета связаны,"performer_id; profile_id; role","Скрин/ссылка назначенного исполнителя","Проблема привязана к эксперту/анкете","Нельзя понять кто отвечал",ждем proof
SPC04,Проблема создана,"support_case_id; reason_type","late_answer / weak_answer / chat_issue / refund_review / retry_request","Кейс создан с причиной и временем","Устная переписка без карточки",ждем proof
SPC05,Владелец назначен,"owner role/person; SLA; priority","Скрин owner/assignee и срока реакции","Ответственный виден и обязанность понятна","Кейс висит без владельца",ждем proof
SPC06,Решение выбрано,"decision_type; decision_reason","retry / do-over / escalate / credit_review / refund_review / reject_with_reason","Решение записано в кейсе; реального refund нет","Решение только словами в переписке",ждем proof
SPC07,No-send статус клиента,"event_id; template; variables; recipient role","Preview/event log без фактической отправки","Событие связано с support_case/order","Реальное письмо ушло или нет preview",ждем proof
SPC08,Последствие для эксперта,"quality note; warning; hold; no action reason","Скрин решения по качеству или no action","Решение связано с performer/order","Проблема не влияет на качество и не объяснено почему",ждем proof
SPC09,Кейс закрыт,"closed_at; resolution summary; owner","Скрин финального состояния resolved/closed","Есть итог дата владелец и next step","Кейс создан но не закрыт",ждем proof
SPC10,Попало в QA/readiness,"QA report row; readiness impact; next owner","Строка в QA/proof отчете или no change с причиной","Launch readiness обновлен или обоснованно не изменен","Proof есть но в статус запуска не попал",ждем proof
