"Layer","Status","HumanStatus","Proven","Missing","Proof","Next"
"Управление проектом и Blue Panel","green","Зеленый: рабочая основа есть","Есть Blue Panel, мастер-план, план июня, правила Trello, source-of-truth и публичные proof-страницы.","Нужно поддерживать синхронизацию после каждой новой правки и не допускать мусора в верхний слой.","alexey-master-plan.html; june-plan.html; source-of-truth-rules.html; trello-june-fact-status.html","Продолжать вести Blue Panel как реестр решений и proof, Trello как месячные задачи."
"Trello и план июня","yellow","Желтый: план ведется, но месяц не закрыт","В Trello “План на Июнь” закрыто 44/50 checklist-пунктов; в ядре Nebula открыт 1 пункт — ревизия Ксении.","Фактическая ревизия Ксении и отдельный GEO-поток 0/5.","trello-june-fact-status.html; june-remaining-checklist-blockers.html","Не переименовывать карточки без команды; закрыть ревизию Ксении после ее ответа."
"Backend Confideline / универсальная платформа","red","Красный для запуска","Есть пользователи, роли, поиск, чатовая база и админские контуры; подготовлены handoff-пакеты.","Не доказан рабочий lifecycle платной консультации: заказ, вопрос, назначение, ответ, support, refund, analytics.","backend-admin-readiness-map.html; backend-consultation-domain-gap-proof.html; consultation-domain-layer-tz.html","Передать Игорю service_session / paid consultation layer и проверить no-real-payment сценарием."
"Frontend / дизайн Oracle-Nebula","yellow","Желтый: макеты и карта есть, связка не закрыта","Есть публичная верстка/макеты, экранные группы, crosswalk дизайн → функция → контент → QA.","Не доказана полная верстка и связка с backend для каталога, карточек экспертов, checkout, кабинета и чата.","frontend-design-readiness-map.html; nebula-screen-contract.html; oracle-nebula-design-backend-content-qa.html; anton-oracle-nebula-design-fixes.html","Закрывать экраны через co2p: макет, backend-связь, content, acceptance, QA."
"Путь клиента","red","Красный для рекламы","Описан путь от оффера до ответа, support и повторной покупки; content pack v1 собран.","Не доказан сквозной live/test путь: клиент выбрал, оплатил тестово, задал вопрос, получил ответ, увидел уведомления и support.","client-journey-readiness-map.html; jun-08-screen-content-pack-v1.html; paid-consultation-test-flow.html","Сделать тестовый заказ без реальных платежей и снять QA proof."
"Платная консультация / заказ","red","Красный: главный runtime-разрыв","Есть ТЗ, preflight, handoff Игорю и понимание доменного слоя консультации.","Нет доказанного runtime proof service_session/order/question/assignment/answer/payment states.","paid-consultation-igor-qa-package.html; igor-test-order-consultation-handoff.html; test-order-runtime-proof-plan.html","Игорь внедряет/подтверждает backend-связь; QA проходит end-to-end без реальных списаний."
"Экспертский контур и школа","yellow","Желтый: PM-пакет собран, живой допуск не доказан","Уроки 1-7 Nebula/PbExpert извлечены, школа v1, регламент v1, журнал допуска и задача Ксении подготовлены.","Нет фактической ревизии Ксении и заполненного журнала реальных 5 экспертов.","expert-training-all-lessons-extraction.html; expert-work-regulation-v1.html; expert-school-v1-operational-pack.html; ksenia-review-ready-package.html","Получить ревизию Ксении, внести правки, заполнить журнал по 5 экспертам."
"Рабочее место эксперта/агента","red","Красный как runtime","Есть handoff-пакет: роли, вкладки, статусы, начисления, качество, события.","Не доказано, что эксперт/агент реально получает задачу, видит SLA, отвечает, видит начисления и статусы.","expert-agent-workspace-igor-qa-package.html; expert-agent-workspace-readiness.html; expert-agent-workspace-handoff.html","Проверить в админке по ролям после внедрения/настройки."
"Админка, support, жалобы, возвраты","red","Красный для первых клиентов","Описаны статусы обращений, support/refund handoff, модерация и admin ops.","Не доказана рабочая очередь обращений, связь с заказом/чатом, шаблоны решений и escalation.","admin-ops.html; support-refund-readiness.html; support-refund-igor-qa-package.html","Собрать/проверить support queue в админке и failure states: эксперт молчит, клиент недоволен, платеж завис."
"Email, уведомления, события","yellow","Желтый: пакет есть, отправка не доказана","Есть event map, email handoff, шаблоны, переменные, no-send подход.","Нет runtime proof генерации событий и отправки/preview писем по всем критичным состояниям.","events.html; email-notifications-handoff.html; email-notifications-igor-qa-package.html","Проверить no-send preview и логи событий без реальной рассылки клиентам."
"Юридические документы и дисклеймеры","red","Красный до публикации checkout/трафика","Есть legal readiness, HTML-ready контур, список Terms/Privacy/Refund/Disclaimer/FAQ и checkout disclosures.","Нет утвержденного legal seller/payment/refund wording, финальных документов и публикации на сайте.","legal-docs-compliance-readiness-map.html; legal-docs-readiness.html; legal-content-package.html","Держать как founder/legal gate; PM может готовить HTML-ready пакет, но не публиковать как финал."
"Маркетинг, экономика, LTV, трафик","red","Красный: рекламу не включать","Есть стратегия, экономика первых продаж, CAC/LTV допущения, stop-сигналы и план малого рекламного теста.","Нет доказанного платного пути, аналитики, capacity 5 экспертов и юридически безопасного checkout.","marketing-economics-readiness-map.html; marketing-traffic-readiness.html; first-sales-economics.html; marketing-traffic-test-handoff.html","Готовить креативы/офферы, но запускать трафик только после pre-traffic QA PASS."
"QA и проверка перед рекламой","red","Красный до end-to-end proof","Есть pre-traffic QA decision package, сценарии, failure states, link audit и QA reports contour.","Нет реального end-to-end QA с тестовым заказом, скринами, логами и итоговым PASS/WARN/STOP.","pre-traffic-qa-decision-package.html; launch-test-scenario.html; pre-traffic-paid-consultation-control.html; blue-panel-link-audit.html","После внедрения платного пути запустить тестировщика, собрать скрины и итоговый QA report."
QA-доказательства Confideline,Красный для Nebula runtime,QA-каталог и proof-gap зафиксированы,Нет runtime QA по test order,qa-evidence-runtime-gap-register.html,Заполнить test-order-runtime-qa-report-template после внедрения
