id,zone,status,what_exists,not_proven,owner,next_action,link
A01,consultation_card,red,"backend/admin base and proof packs","one paid consultation lifecycle card","Igor + PM","get R01 safe order and admin card",first-two-critical-proof-requests-2026-06-06.html
A02,order_queue,red,"queue scenarios described","new/no-question/no-assignment/payment-error queues","Igor + support","show queues on test order",test-order-runtime-cockpit.html
A03,assignment,red,"workspace and roles described","assignment on concrete order_id","Igor + admin","assign E01/agent on safe order",expert-agent-workspace-handoff.html
A04,executor_workspace,red,"handoff package ready","runtime executor role","Igor + QA","screenshot under E01 role",expert-agent-workspace-handoff.html
A05,sla,red,"regulation and SLA logic exists","deadline overdue escalation","Igor + support","check deadline on test order",expert-work-regulation-v1.html
A06,support_problem,red,"problem states described","support case tied to order_id","Support + QA + PM","simulate complaint/overdue",support-problem-proof-register.html
A07,nosend_events,red,"email/event packages exist","no-send log on one order","Igor + QA","capture order/question/assignment/answer/support events",notification-nosend-proof-register.html
A08,answer_quality,yellow,"regulation and scorecard contour","review of real/trial answer","PM + Ksenia + QA","score E01 answer",expert-trial-answer-quality-scorecard.html
A09,moderation_visibility,yellow,"Confideline moderation base and visibility model","violation to consultation to visibility binding","PM + Igor","define sanction flow",expert-visibility-moderation-control.html
A10,compensation,yellow,"compensation handoff","payout preview on closed test order","PM + Igor + founder","show preview without payout",expert-agent-compensation-handoff.html
A11,purchase_analytics,red,"purchase analytics logic","source/session/order/value/expert/support row","Igor + PM + QA","capture analytics row after safe order",purchase-analytics-proof-acceptance-board.html
A12,daily_summary,yellow,"daily cycle and PM control","daily report on real test order","PM","assemble after QA order",admin-daily-visibility-execution-board.html
