"ID";"Контур";"Статус";"Что уже есть";"Что не доказано";"Что делает PM сам";"Что делает Ксения";"Что нужно для QA/трафика";"Proof"
"EXP01";"Школа экспертов v1";"желтый";"Операционный пакет школы, модули, критерии готовности, материалы извлечены частично";"Нет факта прохождения конкретными E01-E05";"Оформляет уроки как рабочую программу, тест и pass criteria";"Проверяет понятность как эксперт-новичок, не переписывает архитектуру";"Минимум E01 прошел базовый контур до QA";"expert-school-v1-operational-pack.html"
"EXP02";"Регламент работы эксперта";"желтый";"Регламент v1, правила ответа, запреты, SLA, support escalation, примеры good/bad";"Нет подписанного/принятого регламента E01-E05";"Доводит регламент до выдачи и связывает с quality scorecard";"Отмечает непонятные/нереалистичные места";"Регламент принят E01 перед контрольным заказом";"expert-work-regulation-v1.html"
"EXP03";"Quality scorecard пробного ответа";"желтый";"Есть критерии: структура, эмпатия, персонализация, безопасность, следующий шаг";"Нет пробных ответов E01-E05 и оценок";"Готовит тестовый вопрос, критерии, accepted/returned verdict";"Может дать мнение по эзотерической естественности ответа";"E01 accepted answer для QA; E01-E05 для traffic capacity";"expert-trial-answer-quality-scorecard.html"
"EXP04";"Допуск E01-E05";"красный";"Лист приема E01-E05 и EA01-EA10 готов";"0/5 accepted, нет SLA, анкет, доступов, пробных ответов";"Ведет журнал, ставит verdict, не красит без proof";"Собирает/проверяет материалы по экспертам по инструкции";"E01 accepted до QA; 5 accepted или capacity-limit до трафика";"first-five-expert-admission-capture-sheet-2026-06-06.html"
"EXP05";"Назначение анкет и bootstrap-модель";"красный";"Понимание, что bootstrap с несколькими анкетами временный";"Нет profile_id/анкеты по каждому эксперту";"Формирует требование к админке и журналу назначения";"Не утверждает модель, только проверяет понятность работы эксперта";"Эксперт видит назначенную анкету в рабочем месте";"first-five-expert-admission-gate.html"
"EXP06";"Рабочий доступ эксперта/агента";"красный";"Пакет рабочего места и admin workspace handoff есть";"Нет скрина/лога входа E01 в рабочую вкладку и видимости тестовой задачи";"Описывает expected result и QA-критерии";"Не проверяет backend, только может пройти как пользователь после доступа";"E01 видит заказ/вопрос/SLA и может отправить ответ";"expert-agent-workspace-handoff.html"
"EXP07";"SLA и доступность";"красный";"В регламенте есть логика сроков и эскалаций";"Нет подтвержденного окна доступности E01-E05";"Формирует форму сбора availability/capacity";"Собирает ответы у экспертов строго по форме";"E01 доступен в окно QA; E01-E05 имеют дневной capacity";"first-five-expert-admission-capture-sheet-2026-06-06.html"
"EXP08";"Safety и запреты";"желтый";"В регламенте есть запреты: гарантии, страх, мед/юр/фин советы, увод с платформы";"Нет подтверждения, что E01-E05 приняли правила и не нарушают их в пробном ответе";"Встраивает safety в scorecard и test";"Отмечает рискованные формулировки";"Accepted пробный ответ без safety breach";"expert-work-regulation-v1.html"
"EXP09";"Runtime участие в контрольном заказе";"красный";"Runtime proof register и QA brief есть";"Нет факта назначения E01 на safe order и отправки ответа клиенту";"Готовит order/expert proof acceptance";"Не участвует как backend owner";"QA видит назначение, ответ и клиентский результат";"prelaunch-qa-capture-sheet-2026-06-06.html"
"EXP10";"Первый трафик и емкость 5 экспертов";"красный";"Есть gate первого трафика и понимание capacity";"Нет 5 accepted экспертов или явного traffic limit";"Связывает admission с go/no-go маркетинга";"Может подтвердить практическую готовность экспертов после ревизии";"Трафик запрещен до QA PASS/WARN и capacity proof";"first-traffic-capacity-economy-gate.html"
