Шаг;Владелец;Что сделать;Что вернуть;Критерий accepted;Если не выполнено
1. Назначить слоты E01-E05;PM;Зафиксировать 5 конкретных людей запуска;Имя/код, язык, специализация, контакт, роль;Каждый слот идентифицирован;Слот остается красным
2. Выдать минимальный пакет обучения;PM;Дать школу v1, регламент, пример good/bad ответа, safety-запреты;Ссылка/файл, дата выдачи, подтверждение получения;Эксперт понимает, что изучить;Эксперт не допускается к пробному ответу
3. Собрать подтверждение обучения;Ксения как ревизор;Проверить, что эксперт прочитал и понял, не оценивать архитектуру;Дата, чек-лист, вопросы эксперта, вердикт понятности;Нет критических непонятностей;Вернуть PM на правку материалов
4. Дать пробный вопрос;PM;Отправить единый тестовый вопрос и формат ответа;Текст пробного ответа, дата, время ответа;Ответ есть и может быть оценен;Эксперт не допускается
5. Оценить ответ scorecard;PM + Answer Quality;Проверить структуру, эмпатию, персонализацию, safety, следующий шаг;Оценка accepted/minor fixes/rejected;Accepted или minor fixes для QA-only;Returned/rejected с причиной
6. Подтвердить SLA и availability;PM/Ксения;Собрать окно доступности, срок ответа, timezone, backup;Таблица доступности и лимит заказов/день;Есть окно для QA и первый capacity;Без SLA эксперт не ставится на заказ
7. Назначить анкету/профиль;PM + админ/Игорь;Привязать эксперта к bootstrap-профилю/анкете;profile_id/имя анкеты/язык/ограничения;Эксперт понимает от чьего профиля работает;Без анкеты только подготовка
8. Проверить рабочий доступ;Игорь/QA;Показать, что эксперт видит заказ/вопрос/SLA и может ответить;Скрин/route/log;Доступ доказан на тестовой задаче;Нельзя запускать QA с этим экспертом
9. Поставить PM verdict;PM;Принять решение по каждому E01-E05;accepted / accepted for QA only / returned / blocked;Решение связано с proof;Статус остается красным
10. Подготовить QA slot;PM + QA;Выбрать E01 для контрольного заказа;Слот, окно, safe order link, ожидание ответа;QA знает кого проверять;QA не стартует
