Слот;Статус сейчас;PM может сделать сам;Нужно от эксперта;Нужно от Ксении;Нужно от Игоря/QA;Минимум для QA;Для первого трафика;Следующий шаг
E01;красный не заполнено;Подготовить строку материалы тест кейс scorecard;Данные прохождение школы пробный ответ SLA язык доступность;Ревизия понятности и риска ответа/материалов;Доступ роль profile workspace в safe order;EP01-EP08 + PM verdict;EP01-EP10 + capacity;Выбрать кандидата E01 и отправить admission pack
E02;красный не заполнено;Подготовить строку материалы тест кейс scorecard;Данные прохождение школы пробный ответ SLA язык доступность;Ревизия понятности и риска ответа/материалов;Доступ роль profile workspace в safe order;EP01-EP08 + PM verdict;EP01-EP10 + capacity;Выбрать кандидата E02 и отправить admission pack
E03;красный не заполнено;Подготовить строку материалы тест кейс scorecard;Данные прохождение школы пробный ответ SLA язык доступность;Ревизия понятности и риска ответа/материалов;Доступ роль profile workspace в safe order;EP01-EP08 + PM verdict;EP01-EP10 + capacity;Выбрать кандидата E03 и отправить admission pack
E04;красный не заполнено;Подготовить строку материалы тест кейс scorecard;Данные прохождение школы пробный ответ SLA язык доступность;Ревизия понятности и риска ответа/материалов;Доступ роль profile workspace в safe order;EP01-EP08 + PM verdict;EP01-EP10 + capacity;Выбрать кандидата E04 и отправить admission pack
E05;красный не заполнено;Подготовить строку материалы тест кейс scorecard;Данные прохождение школы пробный ответ SLA язык доступность;Ревизия понятности и риска ответа/материалов;Доступ роль profile workspace в safe order;EP01-EP08 + PM verdict;EP01-EP10 + capacity;Выбрать кандидата E05 и отправить admission pack
PM-E01;PM работа;Единый тестовый кейс;Ответы E01-E05;Ксения может пройти как эксперт;не требуется;готовит сравнение;не verdict;Подготовить/использовать expert-trial-answer-copy-request
PM-E02;PM работа;Scorecard ответа;Текст ответа;Ксения отмечает понятность;не требуется;готовит оценку;не verdict без ответа;Использовать expert-trial-answer-quality-scorecard
PM-E03;PM работа;Copy-request Ксении;не требуется;Ксения получает задачу ревизора;не требуется;готовит review path;не финальный допуск;Использовать ksenia-expert-admission-copy-request
PM-E04;PM работа;Admission journal fields;Эксперт заполняет факты;Ксения помогает проверить;Игорь позже workspace;структурирует proof;не заполняет за людей;Заполнять first-five-expert-admission-journal
PM-E05;PM работа;Verdict rules;Ответ + SLA;ревизия;workspace proof позже;дает границы QA;не финальный без proof;Применить accepted/returned/blocked
