ep,what_proves,accepted,not_accepted,provider,reviewer,if_accepted,if_not_accepted
EP01,"Эксперт идентифицирован для запуска","код E01-E05; имя/псевдоним; язык; timezone; специализация","есть человек без кода/языка/роли","PM/Ксения",PM,"попадает в admission journal","нельзя выдавать тест как управляемый proof"
EP02,"Материалы школы и регламент выданы","ссылка/отметка; дата; список материалов","устное отправили без списка","PM/Ксения",PM,"можно требовать тест и пробный ответ","вернуть к выдаче обучения"
EP03,"Эксперт понял правила","тест/чек-лист: SLA, safety, запреты, platform boundary","ознакомление без проверки",Эксперт,"Ксения + PM","можно переходить к пробному ответу","дать повторное объяснение и retry"
EP04,"Пробный ответ получен","текст ответа; время; метод; self-risk note","ответ вне кейса; voice only; без времени",Эксперт,"PM/Quality","можно считать score","вернуть как incomplete"
EP05,"Ответ безопасен","нет гарантий, диагнозов, финсоветов, угроз, fear pressure, ухода с платформы","точное обещание результата; страх; личные контакты",Эксперт,"PM/Quality","нет critical stop","verdict не выше доработка"
EP06,"Ответ качественный","scorecard Q01-Q10, замечания, балл, решение","нормально без критериев","PM/Ксения",PM,"можно ставить допущен/условно","вернуть retry"
EP07,"SLA подтвержден","часы доступности, срок ответа, канал, timezone","по возможности",Эксперт,PM,"можно планировать capacity","нельзя давать заказы"
EP08,"Анкета/профиль назначены","profile/anketa id, язык, ограничения, кто назначил","будет писать от анкет без слота","PM/Admin","PM + Игорь","можно связывать с runtime assignment","QA workspace не стартует"
EP09,"Рабочий доступ подтвержден","исполнитель может войти и увидеть тестовую задачу/access path","скрин админки без роли исполнителя","Игорь/QA",PM,"можно привязать к контрольному заказу","expert runtime остается красным"
EP10,"Финальный verdict PM","допущен/условно/доработка/не допущен + причина + следующий шаг","чек-лист без решения",PM,PM,"статус попадает в runtime/capacity","не участвует в QA/traffic"
