"ID","Group","Status","Work","Result","Proof","Boundary","NextOwner","Next"
"AUTO01","PM закрывает сам","Зеленый","Поддерживать Blue Panel как источник фактов","Каждый результат имеет страницу, CSV, публичную ссылку и связь с мастер-планом.","pm-launch-coverage-index.html; stakeholder-link-audit.html","Не считать документ внедренной функцией.","PM/Codex","Обновлять после каждого нового proof или изменения статуса."
"AUTO02","PM закрывает сам","Зеленый","Проверять связность Blue Panel","Ключевой маршрут панели не ведет в битые страницы.","stakeholder-link-audit.html","Аудит ссылок не доказывает работу сайта.","PM/Codex","Повторять после новых публикаций."
"AUTO03","PM закрывает сам","Желтый","Синхронизировать Trello и Blue Panel без переименований","В Trello сохраняется постановка, в Blue Panel живет proof результата.","trello-current-source-snapshot.html; june-card-fact-readiness.html","Не редактировать Trello без команды.","PM/Codex","Готовить короткие результаты и ссылки для карточек."
"AUTO04","PM закрывает сам","Желтый","Довести HTML-ready legal/checkout пакет","Terms/Policy/Disclaimer/FAQ/checkout wording готовы к ревизии.","legal-public-docs-checkout-pack.html","Финал зависит от seller/payment/refund/geography/legal review.","Founder/legal","Держать пакет как черновик до legal/payment gate."
"AUTO05","PM закрывает сам","Желтый","Довести экранные контракты Oracle/Nebula","Для ключевых экранов описаны экран, backend, контент, состояния и QA-критерий.","frontend-screen-backend-content-gate.html; screen-backend-content-control.html","Зеленый статус требует runtime/верстки/backend proof.","Антон + Игорь + QA","Связать сначала offer, order, question, answer, support."
"AUTO06","PM готовит для команды","Желтый","Пакет рабочего места эксперта/агента","Игорю понятны поля workspace: задача, вопрос, срок, чат, ответ, качество, начисления.","expert-runtime-proof-register.html; expert-agent-workspace-handoff.html","Нужен показ в админке на контрольном заказе.","Игорь + QA","Проверить PF05-PF07 на runtime proof."
"AUTO07","PM готовит для команды","Желтый","No-send события и уведомления","События, получатели, preview, suppression и ошибки готовы к проверке.","notification-event-nosend-gate.html","Нужен no-send event log на тестовом заказе.","Игорь + QA","Проверить order/question/assignment/answer/support/follow-up."
"AUTO08","PM готовит для команды","Желтый","Support/failure сценарий","Выбран problem state и описан expected support-case.","support-failure-state-gate.html","Нужен связанный order/session/chat/expert support-case.","Игорь + QA + Support","Включить один problem state в контрольный заказ."
"AUTO09","PM готовит для команды","Зеленый как сценарий","QA-сценарий контрольного заказа","QA понимает маршрут, expected states, screenshot naming и PASS/WARN/STOP.","qa-test-order-execution-brief.html; test-order-runtime-public-report-shell.html","Фактический QA стартует только после READY от Игоря.","Игорь + QA","Передать QA после снятия STOP-gate."
"AUTO10","PM готовит для команды","Желтый","Школа и регламент экспертов","Материалы, уроки, регламент, тест и задача Ксении собраны.","first-five-expert-admission-gate.html; expert-training-materials-register.html","Нужны реальные ответы и допуск 5 экспертов.","Ксения + PM","Заполнить журнал допуска по каждому эксперту."
"AUTO11","Нужен runtime proof","Красный","Полный путь платной консультации","Пока есть proof-карта PF00-PF12, но нет пройденного заказа.","runtime-proof-master-register.html","PM не может заменить реальный заказ документом.","Игорь + QA + PM","Safe test order -> admin route -> expert answer -> support -> QA report."
"AUTO12","Нужен runtime proof","Красный","Админский контроль заказа","Требования к admin visibility описаны.","admin-control-order-gate.html","Нужны скрины/логи реального тестового заказа.","Игорь + QA","Показать заказ, вопрос, assignment, events, support в админке."
"AUTO13","Нужен runtime proof","Красный","Допуск первых 5 экспертов","Gate допуска подготовлен.","first-five-expert-admission-gate.html","Нужны реальные результаты 5 экспертов.","PM + Ксения","Проставить допущен/доработка/не допущен по каждому."
"AUTO14","Решения основателя","Желтый","Legal/payment/refund/geography","PM-пакет подготовлен, финальный gate отложен.","legal-public-docs-checkout-pack.html","Нужны legal seller, provider, descriptor, refund window, launch geography.","Основатель + legal/payment","Вернуться перед LP/checkout publication."
"AUTO15","Решения основателя","Желтый","Ставки и выплаты экспертам/агентам","Модель можно готовить, но параметры требуют решения.","expert-agent-compensation-handoff.html","Нужны ставки, валюта, период выплат, удержания, бонусы.","Основатель + PM","После решения привязать к test order начислениям."
"AUTO16","Решения основателя","Красный для рекламы","Первый трафик и CAC/LTV","Go/no-go рамка есть.","first-traffic-capacity-economy-gate.html","Нельзя запускать без QA PASS/WARN, capacity proof и legal/payment решений.","PM + основатель","Готовить материалы, не покупать трафик."
