ID;Шаг;Что делает QA;Что доказывает;Обязательный proof;Если не проходит
QA01;Landing / вход;Проверяет offer, CTA, disclaimer, ссылки на документы;Клиент понимает, что покупает;Скрин landing/CTA/docs area;WARN/STOP если вводит в заблуждение или нет условий
QA02;Регистрация / вход;Проходит guest/auth без потери выбранной услуги;Клиент не теряет коммерческий путь;Скрин до/после auth + выбранная услуга;FAIL если путь сбрасывается без восстановления
QA03;Safe checkout / заказ;Создает безопасный заказ без реального списания;Order id и payment/test marker существуют;Скрин order id + no real charge proof;STOP если есть риск реального платежа
QA04;Вопрос клиента;Вводит вопрос, категорию/тему, контекст;Question связан с order/session;Скрин клиента + админки с тем же marker;FAIL если вопрос теряется или не связан с заказом
QA05;Назначение исполнителя;Проверяет ручное/авто назначение эксперта/анкеты;Есть ответственный исполнитель и SLA;Скрин assignment + deadline;STOP если заказ без владельца
QA06;Рабочее место эксперта;Заходит под ролью исполнителя и видит задачу;Эксперт может дать ответ внутри сайта;Скрин вопроса, срока, поля ответа;FAIL если исполнитель не видит задачу
QA07;Ответ эксперта;Публикует тестовый ответ;Ответ связан с заказом, клиентом и автором;Скрин ответа в роли эксперта, клиента и админки;FAIL если ответ не доставляется или не виден
QA08;No-send события;Проверяет события по заказу, вопросу, назначению, ответу;Уведомления создаются без реальной отправки;Event log / preview;STOP если есть реальная отправка или нет лога
QA09;Support / problem-state;Создает жалобу/просрочку/плохой ответ;Support case связан с order/session/expert;Скрин support case + владелец + решение;STOP если проблема неуправляема
QA10;Админская видимость;Проверяет ежедневную панель/карточку консультации;Админ видит заказ без ручного поиска;Скрин order timeline/admin visibility;WARN/FAIL если данные разбросаны и неуправляемы
QA11;Аналитика покупки;Проверяет source/order/value/currency/service/expert/support outcome;CAC/LTV позже можно считать по фактам;Строка/event purchase analytics;WARN/STOP для трафика если связки нет
QA12;Публичный отчет;Публикует PASS/WARN/STOP с доказательствами;PM может пересчитать readiness;GitHub Pages QA report link;Без отчета QA не считается завершенным
