"Area","Card","Trello","Item","Owner","Status","Color","Why","Next"
"Ядро Nebula","Прогнать все макеты готовых ТЗ через Codex","https://trello.com/c/awgleR9M","Сформировать пакеты задач для передачи Игорю","PM / Codex","Можно закрывать автономно после матрицы","Желтый","Матрица связей уже создана, но не все старые ТЗ превращены в co2p-пакеты с макетом, backend-связью и QA.","Выбрать только блоки запуска и сделать очередь co2p-пакетов для Игоря."
"Эксперты","Описать регламент работы на основе Nebula / PbExpert","https://trello.com/c/oZYN15XV","Извлечь материалы Nebula/PbExpert и записи Ксении","PM / Codex + доступы","Частично автономно, возможен access blocker","Желтый","Без полного извлечения нельзя доказать, что регламент учитывает все материалы конкурента и стажировку Ксении.","Повторно пройти Trello-вложения/комментарии и локальный индекс; закрытые Google/Drive/Figma ссылки вынести в access-list."
"Эксперты","Описать регламент работы на основе Nebula / PbExpert","https://trello.com/c/oZYN15XV","Передать Ксении как ревизору понятности","Ксения / PM контроль","Ждет фактической ревизии","Желтый","PM может написать регламент, но Ксения должна проверить понятность для реального сертифицированного эксперта.","Сформировать короткую задачу Ксении: что читать, где отмечать непонятное, какой результат вернуть."
"Команда и деньги","Продумать ЗП для сотрудников","https://trello.com/c/bNsEmcDz","Вынести решения основателя: ставки, валюта, период выплат, legal и удержания","Основатель","Founder decision","Красный","PM может предложить модель, но не может утвердить реальные ставки, валюту, период выплат и юридические удержания.","Подготовить одну таблицу решений с вариантами и рекомендацией PM."
"Школа экспертов","Школа экспертов для первых 5 экспертов","https://trello.com/c/36nRKvdb","Собрать все уроки из Trello, включая комментарии и вложения","PM / Codex + доступы","Частично автономно, возможен access blocker","Желтый","Пользователь указал, что часть ссылок на уроки была в правой области Trello-комментариев; это нужно доказательно добрать.","Повторный проход по карточке обучения: описание, вложения, комментарии, внешние ссылки, локальный текст уроков."
"Перед рекламой","Проверка страниц и функций перед запуском рекламы","https://trello.com/c/A4zqo2EI","Сопоставить страницы с макетами Oracle/Nebula","PM / Codex","Можно закрывать автономно при доступе к макетам/PNG","Желтый","Нужно показать не просто сайт не готов, а где есть текущий backend, где будущий макет, где верстка, где контент.","Сделать реестр экранов: текущая страница/route, макет Oracle/Nebula, backend-опора, контент, QA статус."
"Перед рекламой","Проверка страниц и функций перед запуском рекламы","https://trello.com/c/A4zqo2EI","Добавить нужный контент для каждого экрана","PM / Codex + контент-источники","Можно закрывать автономно после реестра экранов","Желтый","Для запуска нужны тексты offer, FAQ, disclaimers, empty states, emails, support, а не только UI.","По каждому экрану указать: контент есть / нужен / источник / кто утверждает."
"Отдельный поток","Новый макет страны / города","https://trello.com/c/PrkrhWqN","Проверить preview страницы страны","PM / Codex","Вне ядра Nebula MVP","Серый","Карточка в июньском списке, но не относится к запуску Nebula с 5 экспертами.","Вести отдельным GEO-потоком, не смешивать с мастер-планом Nebula."
"Отдельный поток","Новый макет страны / города","https://trello.com/c/PrkrhWqN","Проверить preview страницы города","PM / Codex","Вне ядра Nebula MVP","Серый","Карточка в июньском списке, но не относится к запуску Nebula с 5 экспертами.","Вести отдельным GEO-потоком, не смешивать с мастер-планом Nebula."
"Отдельный поток","Новый макет страны / города","https://trello.com/c/PrkrhWqN","Собрать список правок по блокам и текстам","PM / Codex","Вне ядра Nebula MVP","Серый","Это полезная работа по платформе, но она не снимает красный блокер запуска Nebula.","Сделать отдельный результат, если GEO остается в июньском плане."
"Отдельный поток","Новый макет страны / города","https://trello.com/c/PrkrhWqN","Подготовить итоговый пакет для Игоря","PM / Codex","Вне ядра Nebula MVP","Серый","Это отдельный пакет для Игоря, не часть запуска платных эзотерических консультаций.","Сделать отдельно от Nebula Launch Assembly."
"Отдельный поток","Новый макет страны / города","https://trello.com/c/PrkrhWqN","Зафиксировать ссылку на результат","PM / Codex","Вне ядра Nebula MVP","Серый","Ссылку нужно фиксировать после отдельного GEO-результата.","Не включать в readiness Nebula, пока нет отдельной команды."
