id;page;group;status;next
"N01";"index.html";"Главная / вход в продукт";"желтый";"Нужно связать с backend, контентом, состояниями ошибок и проверкой."
"N02";"home.html";"Главная / вход в продукт";"желтый";"Нужно связать с backend, контентом, состояниями ошибок и проверкой."
"N03";"home-popup-open.html";"Главная / вход в продукт";"желтый";"Нужно связать с backend, контентом, состояниями ошибок и проверкой."
"N04";"login.html";"Вход и регистрация";"желтый";"Нужно связать с backend, контентом, состояниями ошибок и проверкой."
"N05";"signup-step-1.html";"Вход и регистрация";"желтый";"Нужно связать с backend, контентом, состояниями ошибок и проверкой."
"N06";"signup-step-2.html";"Вход и регистрация";"желтый";"Нужно связать с backend, контентом, состояниями ошибок и проверкой."
"N07";"auth-forgot-new.html";"Вход и регистрация";"желтый";"Нужно связать с backend, контентом, состояниями ошибок и проверкой."
"N08";"psychic-reading-new.html";"Коммерческие страницы";"желтый";"Нужно связать с backend, контентом, состояниями ошибок и проверкой."
"N09";"tarot-reading-new.html";"Коммерческие страницы";"желтый";"Нужно связать с backend, контентом, состояниями ошибок и проверкой."
"N10";"palm-reading-new.html";"Коммерческие страницы";"желтый";"Нужно связать с backend, контентом, состояниями ошибок и проверкой."
"N11";"phone-psychic-new.html";"Коммерческие страницы";"желтый";"Нужно связать с backend, контентом, состояниями ошибок и проверкой."
"N12";"cheap-psychic-new.html";"Коммерческие страницы";"желтый";"Нужно связать с backend, контентом, состояниями ошибок и проверкой."
"N13";"all-psychic-new.html";"Коммерческие страницы";"желтый";"Нужно связать с backend, контентом, состояниями ошибок и проверкой."
"N14";"love-reading-new.html";"Коммерческие страницы";"желтый";"Нужно связать с backend, контентом, состояниями ошибок и проверкой."
"N15";"zodiac-compatibility-new.html";"Коммерческие страницы";"желтый";"Нужно связать с backend, контентом, состояниями ошибок и проверкой."
"N16";"taurus-compatibility-new.html";"Коммерческие страницы";"желтый";"Нужно связать с backend, контентом, состояниями ошибок и проверкой."
"N17";"faq-new.html";"Доверие и документы";"желтый";"Нужно связать с backend, контентом, состояниями ошибок и проверкой."
"N18";"privacy-policy-new.html";"Доверие и документы";"желтый";"Нужно связать с backend, контентом, состояниями ошибок и проверкой."
"N19";"blog-new.html";"Контент / блог";"желтый";"Нужно связать с backend, контентом, состояниями ошибок и проверкой."
"N20";"blog-input-new.html";"Контент / блог";"желтый";"Нужно связать с backend, контентом, состояниями ошибок и проверкой."
