Слот,Кто,Язык/специализация,Обучение и тест,Пробный ответ,Quality score,SLA/доступность,Анкета/профиль,Рабочий доступ,Безопасность,Capacity,Proof-ссылка,Verdict
E01,заполнить,заполнить,не подтверждено,нет принятого ответа,нет оценки,не подтверждено,не назначено,не проверен,не подтверждено,не подтверждено,нет,не допущен
E02,заполнить,заполнить,не подтверждено,нет принятого ответа,нет оценки,не подтверждено,не назначено,не проверен,не подтверждено,не подтверждено,нет,не допущен
E03,заполнить,заполнить,не подтверждено,нет принятого ответа,нет оценки,не подтверждено,не назначено,не проверен,не подтверждено,не подтверждено,нет,не допущен
E04,заполнить,заполнить,не подтверждено,нет принятого ответа,нет оценки,не подтверждено,не назначено,не проверен,не подтверждено,не подтверждено,нет,не допущен
E05,заполнить,заполнить,не подтверждено,нет принятого ответа,нет оценки,не подтверждено,не назначено,не проверен,не подтверждено,не подтверждено,нет,не допущен

ID,Факт,Что вернуть,Accepted,Returned/STOP
EA01,Эксперт идентифицирован,"Имя/код; язык; специализация; контакт; слот E01-E05",PM понимает кто участвует в запуске,"Один из экспертов без идентификации"
EA02,Обучение зафиксировано,"Уроки/регламент/тест: дата; ссылка; результат",Понятно какой минимум пройден,"Слова обучен без следа"
EA03,Пробный ответ принят,"Тестовый вопрос; ответ; дата; ссылка",Ответ можно оценить как будущую платную консультацию,"Нет текста ответа"
EA04,Quality score есть,"Оценка по scorecard",Есть verdict accepted/minor fixes/rejected,"Оценка нормально без критериев"
EA05,SLA подтвержден,"Окно доступности; срок ответа; часовой пояс; backup",Эксперт может взять контрольный заказ,"Доступность неизвестна"
EA06,Анкета назначена,"profile_id/анкета; язык; ограничения; кто назначил",Эксперт знает от чьего профиля работает,"Анкета потом выберем"
EA07,Рабочий доступ проверен,"Скрин входа/видимости тестовой задачи",Эксперт видит заказ вопрос сроки и может ответить,"Аккаунт есть но рабочая вкладка не проверена"
EA08,Безопасность подтверждена,"Подтверждение запретов и отсутствие нарушений",Нет опасных обещаний диагнозов финансовых/юридических гарантий,"Ответ нарушает safety или регламент не принят"
EA09,Capacity понятна,"Сколько заказов/день эксперт может принять",PM может ограничить трафик по емкости,"Нет лимита нагрузки"
EA10,PM verdict поставлен,"accepted / accepted for QA only / returned / blocked + причина",Понятен следующий шаг,"Нет финального решения"
