"domain","firstList","firstCard","firstShortLink","url","status","contentType"
"confideline.com","Архив (Выполнено)","Политики на сайт Юдейт","NoOHV9NV","http://ConfideLine.com","200","text/html; charset=UTF-8"
"russianhugs.com","Backend in process","Case 64 - авторизация ТГ","04tGMQ4T","http://russianhugs.com/","200","text/html"
"asknebula.com","Архив (Выполнено)","Платная консультация по эзотерике (как клиент)","1jG8Hv4M","https://asknebula.com/","200","text/html; charset=utf-8"
"asknebula.com","Полка (Когда-нибудь)","Квис-гороскоп + спецпредложение","yBeq6u8C","https://asknebula.com/charts/life-path-calculator","200","text/html; charset=utf-8"
"confideline.com","Архив (Выполнено)","Политики на сайт Юдейт","NoOHV9NV","https://confideline.com","200","text/html; charset=UTF-8"
"confideline.com","План на февраль","Отчет за февраль","cDsRWxoU","https://confideline.com/","200","text/html; charset=UTF-8"
"confideline.com","Архив (Выполнено)","Политики на сайт Юдейт","NoOHV9NV","https://confideline.com/page/cookie-policy","200","text/html; charset=UTF-8"
"confideline.com","Архив (Выполнено)","Политики на сайт Юдейт","NoOHV9NV","https://confideline.com/page/privacy-policy","200","text/html; charset=UTF-8"
"confideline.com","Архив (Выполнено)","Политики на сайт Юдейт","NoOHV9NV","https://confideline.com/page/terms-and-conditions","200","text/html; charset=UTF-8"
"confideline.com","План на май","Скрипт для загрузки текстов на сайт Confideline","YVFB8NoL","https://confideline.com/ru/country","200","text/html; charset=UTF-8"
"confideline.com","План на май","Скрипт для загрузки текстов на сайт Confideline","YVFB8NoL","https://confideline.com/ru/country/united-states","200","text/html; charset=UTF-8"
"confideline.com","План на июль","ТЗ обрезка фото под шаблон (из реестра)","pxVeimmh","https://confideline.com/settings/upload","200","text/html; charset=UTF-8"
"cutthreat.github.io","План на май","MVP для тестирование гипотезы (PreSale)","dNbWGDkm","https://cutthreat.github.io/ai-tarot-journal-preview/","200","text/html; charset=utf-8"
"cutthreat.github.io","План на апрель","Доработка по юридиеским вопросам","ZjzlDJnF","https://cutthreat.github.io/confideline/legal-docs-ru/index.html","200","text/html; charset=utf-8"
"cutthreat.github.io","План на май","Список доработок для Chat Advance","YyUljXJ0","https://cutthreat.github.io/confideline/web/admin-chat-workspace-v2/","200","text/html; charset=utf-8"
"cutthreat.github.io","План на май","Список доработок для Chat Advance","YyUljXJ0","https://cutthreat.github.io/confideline/web/admin-chat-workspace-v2/CHAT_WORKSPACE_V2_MIGRATION_GUIDE.md","200","text/markdown; charset=utf-8"
"cutthreat.github.io","План на май","ТЗ по ролям админ-панели","4nzfjUBq","https://cutthreat.github.io/confideline/web/admin-roles-tz-panel.html","200","text/html; charset=utf-8"
"cutthreat.github.io","На проверке","ТЗ аналитика на Дашборде","whZiCsxv","https://cutthreat.github.io/confideline/web/dashboard-analytics-mockup.html","200","text/html; charset=utf-8"
"cutthreat.github.io","План на март","ТЗ регистрации эксперта","YK8WzA8i","https://cutthreat.github.io/confideline/web/expert-registration-mockup.html","200","text/html; charset=utf-8"
"cutthreat.github.io","План на май","Новый макет страны / города","PrkrhWqN","https://cutthreat.github.io/confideline/web/geo-delhi-city-preview.html","200","text/html; charset=utf-8"
"cutthreat.github.io","План на май","Новый макет страны / города","PrkrhWqN","https://cutthreat.github.io/confideline/web/geo-india-country-preview.html","200","text/html; charset=utf-8"
"cutthreat.github.io","План на май","ТЗ по детальнйо аналитике","LU7bhqD1","https://cutthreat.github.io/confideline/web/partner-interactions-analytics/","200","text/html; charset=utf-8"
"cutthreat.github.io","План на май","ИИ-тестировщик","EsBbyMOL","https://cutthreat.github.io/confideline/web/qa-reports/","200","text/html; charset=utf-8"
"cutthreat.github.io","План на апрель","Верстка 5 страниц дизайн-макетов Nebula","LlZWg03H","https://cutthreat.github.io/nebula-pages-public/home.html","200","text/html; charset=utf-8"
"docs.google.com","План на апрель","Детектор ИИ текстов для Ксении","GP2CEfXt","https://docs.google.com/document/d/13BC0dmzAVFrE7Y9B2iZP6lHwQ_1elmzSDXUOwfiav1c/edit?usp=sharing","200","text/html; charset=utf-8"
"docs.google.com","План на март","Концепт работы сайта по предоплаченным картам","K1tPYkKy","https://docs.google.com/document/d/14RjZrGGIZS_RbsAe_N8tq_VAM_mueTBd8AHFEc0aIUw/edit?usp=sharing","200","text/html; charset=utf-8"
"docs.google.com","На проверке","Составить 10 ТЗ для прогера","N8GBzNgc","https://docs.google.com/document/d/150xwL7XSnArcklCUSmlMpmjes44tXT8ToQI_6s4dC7Y/edit?usp=sharing","200","text/html; charset=utf-8"
"docs.google.com","План на май","Отчет за май","Qd3T5Hzp","https://docs.google.com/document/d/18EWmUD64J30VVevRyrCpD4gogzjO6tukX4Ylyzl-XWI/edit?tab=t.0#heading=h.8qt8jnpwsqhd","200","text/html; charset=utf-8"
"docs.google.com","На проверке","Составить 10 ТЗ для прогера","N8GBzNgc","https://docs.google.com/document/d/18EWmUD64J30VVevRyrCpD4gogzjO6tukX4Ylyzl-XWI/edit?usp=sharing","200","text/html; charset=utf-8"
"docs.google.com","На проверке","Составить 10 ТЗ для прогера","N8GBzNgc","https://docs.google.com/document/d/19Rk-Mkx5ODMVSCpLdLPh8xVfUtTKvBaNEnXI7BWVGAE/edit?usp=sharing","200","text/html; charset=utf-8"
"docs.google.com","На проверке","Составить 10 ТЗ для прогера","N8GBzNgc","https://docs.google.com/document/d/1aezJjoNF4JDn7aO4FHWnf5hJMRC203C_Ufi6oKCrrwg/edit?tab=t.0#heading=h.paf8sxptaxdw","200","text/html; charset=utf-8"
"docs.google.com","Архив (Выполнено)","Тестирование сайта Юдейт по премиум","lngbLfNo","https://docs.google.com/document/d/1appXvKwHWoogd2ZavEgrTe9tJDoso4o4C6O8QXxzkJg/edit?tab=t.0","200","text/html; charset=utf-8"
"docs.google.com","Архив (Выполнено)","ТЗ для премиум функций (из реестра задач)","SlTHhSJp","https://docs.google.com/document/d/1appXvKwHWoogd2ZavEgrTe9tJDoso4o4C6O8QXxzkJg/edit?tab=t.0#heading=h.4j2t6kfocr99","200","text/html; charset=utf-8"
"docs.google.com","На проверке","Составить 10 ТЗ для прогера","N8GBzNgc","https://docs.google.com/document/d/1BbezsAlrrZPNJG0rcRgEN-p_Qwa1pnxRU659y5kKAnU/edit?usp=sharing","200","text/html; charset=utf-8"
"docs.google.com","Полка (Когда-нибудь)","Найти и сработаться с прогером","aM3yiOA6","https://docs.google.com/document/d/1biMWPgF12dD_WHNOUmjRgwR4dCvg9zkBYYdw0eN5wvY/edit?tab=t.0","200","text/html; charset=utf-8"
"docs.google.com","На проверке","ТЗ для доработок шаблона S","ipujgjLt","https://docs.google.com/document/d/1BQ01hADfevuCQgx_6XnHN9qzjzCIvqbatu02dDdsSUo/edit?usp=sharing","200","text/html; charset=utf-8"
"docs.google.com","Архив (Выполнено)","Прототип чат-бота","sQE044pT","https://docs.google.com/document/d/1CxyoOIOnXU1dAHMsl8Eqf9GjARRyZBmTzSWXoDLzQQg/edit?usp=sharing","200","text/html; charset=utf-8"
"docs.google.com","Стратегия","1.2. Анализ конкурентов","zQW2Htac","https://docs.google.com/document/d/1D3SkM0YOYzu4axT6qxBybyzBXar0cmLq4Z4bqr-7m-U/edit?usp=sharing","200","text/html; charset=utf-8"
"docs.google.com","План на ноябрь","ТЗ регистрация анкет из админки YouDate","SclXGnR0","https://docs.google.com/document/d/1EangjBnRT3bO2CiFZs10WU0vyEUOCn2-Fh27sDqIIBg/edit?tab=t.0","200","text/html; charset=utf-8"
"docs.google.com","Архив (Выполнено)","Небула. Подготовительный этап","T5o0gWEu","https://docs.google.com/document/d/1EnF0eejr3qyLarNPTTXxpTCA62a_IpSshjyu8WYfcZo/edit?usp=sharing","200","text/html; charset=utf-8"
"docs.google.com","Полка (Когда-нибудь)","Описать систему начислений партнерам за действия","fGgovEA0","https://docs.google.com/document/d/1eTV_SmzDgaDt3hmC4QszH4PATRUHiZ0-h9AYk1YM3xk/edit?tab=t.0","200","text/html; charset=utf-8"
"docs.google.com","Полка (Когда-нибудь)","Описать систему начислений партнерам за действия","fGgovEA0","https://docs.google.com/document/d/1eTV_SmzDgaDt3hmC4QszH4PATRUHiZ0-h9AYk1YM3xk/edit?usp=sharing","200","text/html; charset=utf-8"
"docs.google.com","Архив (Выполнено)","ТЗ по SEO (из реестра)","UIh5ipt1","https://docs.google.com/document/d/1fdKsIi-i6JKCwgwN23duHlC4_28zGuSz/edit?usp=sharing&ouid=117865673662155780117&rtpof=true&sd=true","200","text/html; charset=utf-8"
"docs.google.com","Архив (Выполнено)","Прототип главной страницы S","Y9GGGw4Q","https://docs.google.com/document/d/1FjRScFs1LZJi0OsF1E0cKOw_hwKmmwyeGyq8JpmzM3c/edit?tab=t.0","200","text/html; charset=utf-8"
"docs.google.com","Архив (Выполнено)","Макет главной страницы S","kmkP67pK","https://docs.google.com/document/d/1FjRScFs1LZJi0OsF1E0cKOw_hwKmmwyeGyq8JpmzM3c/edit?usp=sharing","200","text/html; charset=utf-8"
"docs.google.com","Полка (Когда-нибудь)","Используется ли у нас какойнибудь МемКеш. Если нет то надо делать.","8nSBLmmv","https://docs.google.com/document/d/1HHeEervj3s8Cpm7rS5yyUc914GmhNXbnalJplpfsuNk/edit?usp=sharing","200","text/html; charset=utf-8"
"docs.google.com","На проверке","Составить 10 ТЗ для прогера","N8GBzNgc","https://docs.google.com/document/d/1HYM5h1h8y03rd9V2tRnoRRo-MtNnf6NR3vPRaPotLTE/edit?usp=sharing","200","text/html; charset=utf-8"
"docs.google.com","План на апрель","Необходимо продумать дизайн-макет станицы чата в ЛК (Небула)","kc6DFwoU","https://docs.google.com/document/d/1I7WmcdGxNKP4_Us_FtPCF56wacBYzB9-hRvYsUtnMYU/edit?tab=t.0","200","text/html; charset=utf-8"
"docs.google.com","На проверке","Составить 10 ТЗ для прогера","N8GBzNgc","https://docs.google.com/document/d/1I8MqRhF30jnyIngcDO60WVc0RfyH5iTJpBC7vkqbK5Q/edit?tab=t.0","200","text/html; charset=utf-8"
"docs.google.com","На проверке","Составить 10 ТЗ для прогера","N8GBzNgc","https://docs.google.com/document/d/1igA7Y3mMd4-AfgAhsW5eVS81S9bRk9QOiaPyu06kzwM/edit?usp=sharing","200","text/html; charset=utf-8"
"docs.google.com","Архив (Выполнено)","Работа с дизайнером по страницам H","SbEOcTaR","https://docs.google.com/document/d/1kf-o471zgd4WTYmoOq8oJCg7onrksP8C8jLTo27iFJM/edit?usp=sharing","200","text/html; charset=utf-8"
"docs.google.com","Архив (Выполнено)","Описание необходимого функционала для аналога Nebula","ScHSOeqV","https://docs.google.com/document/d/1kxpfx89ZVkn5LVQsgxYzWD9Ovkz1HlcU8Tc72WJp6Kg/edit?usp=sharing","200","text/html; charset=utf-8"
"docs.google.com","Архив (Выполнено)","ТЗ по добавлению видео в группы (из реестра)","Zpf4j7Q7","https://docs.google.com/document/d/1L2bDeqhUCNbHoQ6sfDY1p3PGL-qZKjQM/edit?usp=sharing&ouid=117865673662155780117&rtpof=true&sd=true","200","text/html; charset=utf-8"
"docs.google.com","На проверке","Составить 10 ТЗ для прогера","N8GBzNgc","https://docs.google.com/document/d/1lez6V5Jsuv-MODGFx-FfFtc9BMpj_bOFTvfqmmYmGOg/edit?tab=t.0#heading=h.77cezoh835","200","text/html; charset=utf-8"
"docs.google.com","План на ноябрь","Тестовая среда для дизайнера","9SXjNiTD","https://docs.google.com/document/d/1LoVsGKI6e9Xa480sZxWojGFzgNXfoEprNUn__hOzou4/edit?tab=t.0","200","text/html; charset=utf-8"
"docs.google.com","На проверке","Сформировать тарифные планы для H и для S","HhB8ES6c","https://docs.google.com/document/d/1NSc_fAHTv_Y7jzHjlUSoZrLU9s-C1boJkF6VipYmxo0/edit?usp=sharing","200","text/html; charset=utf-8"
"docs.google.com","На проверке","Составить 10 ТЗ для прогера","N8GBzNgc","https://docs.google.com/document/d/1o5AJftkDxOG5cmmDeqmsAIOGOaJ6Fku1SSkt1Angzqo/edit?usp=sharing","200","text/html; charset=utf-8"
"docs.google.com","План на апрель","ТЗ для продвинутого платного чата 2.0","eTPwucCg","https://docs.google.com/document/d/1ocUT4WGOALsn4NFPbHE-Q-H1w0hz_Oc-cQg7WMmX3S4/edit?usp=sharing","200","text/html; charset=utf-8"
"docs.google.com","Архив (Выполнено)","Ревизия всех страниц Юдейт для проекта S","G11mfR6V","https://docs.google.com/document/d/1oWB5htMSMbrHLCUPaleygckM9xbOwSsRXmrJlEG4JAY/edit?tab=t.0#heading=h.327m7ywp3hmy","200","text/html; charset=utf-8"
"docs.google.com","Архив (Выполнено)","Ревизия всех страниц Юдейт для проекта S","G11mfR6V","https://docs.google.com/document/d/1oWB5htMSMbrHLCUPaleygckM9xbOwSsRXmrJlEG4JAY/edit?usp=sharing","200","text/html; charset=utf-8"
"docs.google.com","Архив (Выполнено)","Макет главной страницы S","kmkP67pK","https://docs.google.com/document/d/1qFcgipDdoiR9OvTaI05FmH3cLvyEXr4EnRs6HGMG0tw/edit?tab=t.0","200","text/html; charset=utf-8"
"docs.google.com","Архив (Выполнено)","Описать главную страницу для S","tjpYVtrk","https://docs.google.com/document/d/1qFcgipDdoiR9OvTaI05FmH3cLvyEXr4EnRs6HGMG0tw/edit?tab=t.0#heading=h.jhnjxknqeno","200","text/html; charset=utf-8"
"docs.google.com","На проверке","Составить 10 ТЗ для прогера","N8GBzNgc","https://docs.google.com/document/d/1qFcgipDdoiR9OvTaI05FmH3cLvyEXr4EnRs6HGMG0tw/edit?usp=sharing","200","text/html; charset=utf-8"
