"Layer","Status","Prepared","Proof","Missing","Owner","Next","Blocker"
"Стратегия и мастер-план","Зеленый как управленческая основа","Стратегия, короткий мастер-план для Алексея, план июня и связь с Trello опубликованы.","alexey-master-plan.html; strategy-board.html; june-execution-control.html","Нужна регулярная синхронизация после новых фактов и изменений карточек.","PM/Codex","Поддерживать Blue Panel как источник решений и proof-ссылок.","Нет"
"Полный путь платной консультации","Красный до runtime","PF00-PF12 описаны, дочерние proof-реестры созданы.","runtime-proof-master-register.html","Нет полного контрольного заказа с QA-отчетом.","Игорь + QA + PM","Подготовить fixture, получить READY от Игоря, допустить исполнителя и пройти заказ мышкой.","Да"
"Клиентские экраны и фронт Oracle/Nebula","Желтый, runtime красный","Карта критичных экранов, связка дизайн/backend/контент/failure states.","frontend-screen-backend-content-gate.html","Нет proof, что ключевые экраны сверстаны и связаны с backend на рабочем пути.","Антон + Игорь + PM","Начать с оффера, заказа, вопроса, ответа и support-экранов.","Да"
"Backend Confideline и админский контроль","Красный до runtime","Карта admin visibility/control по заказу, вопросу, исполнителю, SLA, events, support.","admin-control-order-gate.html; backend-admin-readiness-map.html","Нет скриншотов/логов, что админ видит весь заказ без ручного поиска.","Игорь + QA","Показать admin route на контрольном заказе.","Да"
"Рабочее место эксперта/агента","Красный до runtime","Пакет workspace: задача, срок, вопрос, чат, статус, качество, начисления.","expert-runtime-proof-register.html; expert-agent-workspace-handoff.html","Не доказано, что исполнитель получает и закрывает реальную задачу в системе.","Игорь + QA + PM","Проверить PF05-PF07 на контрольном заказе.","Да"
"Допуск первых 5 экспертов","Желтый по пакету, красный по факту допуска","Gate допуска, школа, регламент, условия допуска по каждому эксперту.","first-five-expert-admission-gate.html","Нет заполненного допуска каждого из 5 экспертов: тест, пробный ответ, SLA, ручное решение.","PM + Ксения","Заполнить допуск по реальным экспертам и связать одного с контрольным заказом.","Да"
"Email, события и no-send уведомления","Красный до event log","10 обязательных событий и правило безопасной проверки без отправки писем.","notification-event-nosend-gate.html","Нет no-send журнала событий по тестовому заказу.","Игорь + QA","Проверить события заказа, назначения, ответа, support и follow-up.","Да"
"Support и проблемные ситуации","Красный до runtime","9 failure states: просрочка, плохой ответ, жалоба, refund review, retry/credit, зависание чата.","support-failure-state-gate.html","Нет подтвержденного support-case, связанного с order/session/chat/expert.","Support + QA + PM","Включить один problem state в контрольный заказ.","Да"
"Документы сайта и checkout-тексты","Желтый","HTML-ready PM-пакет public docs, дисклеймеров, переменных и checkout consent.","legal-public-docs-checkout-pack.html","Финал зависит от seller/payment/descriptor/refund/geography и legal review.","PM + founder/legal","Готовить пакет без финальной публикации до legal/payment gate.","Частично"
"Маркетинг, первый трафик и емкость","Красный для paid traffic","Gate первого трафика, емкость 5 экспертов, stop-сигналы, CAC/LTV preflight.","first-traffic-capacity-economy-gate.html; first-traffic-cac-ltv-calculator.html","Нет QA PASS, capacity proof, фактической экономики первой продажи.","PM + founder","Готовить материалы, но не покупать трафик до runtime proof.","Да"
"Аналитика и ежедневный контроль","Желтый","Шаблоны daily report и связь с первым трафиком.","first-traffic-daily-report-template.html","Нет runtime-данных, dashboard/source of truth и ежедневного факта заказов.","PM + QA","Привязать отчет к контрольному заказу и первому трафику.","Частично"
"Trello и месячный контроль","Желтый","Снимок Trello, факт готовности задач, правило не переименовывать карточки без команды.","trello-current-source-snapshot.html; june-card-fact-readiness.html","Не все карточки имеют текущие статусные метки и proof результата.","PM","После каждого результата вставлять ссылку Blue Panel в карточку.","Нет"
"Языки и переводы","Желтый","English-first MVP, language fields, review и support-risk.","language-translation-ops-control.html","Не доказано на runtime: язык клиента, язык эксперта, ответ, перевод/review marker.","PM + Игорь + QA","Проверить language fields в контрольном заказе.","Частично"
"Модерация, видимость, баны и качество","Желтый/красный до runtime","Контур видимости экспертов, ранжирования, санкций, audit log и quality review.","expert-visibility-moderation-control.html","Нет runtime-policy proof и фактических админских действий по visibility/moderation.","PM + admin + QA","Сделать P0-модель ранжирования и санкций до первого трафика.","Частично"
"QA перед рекламой","Красный","QA brief, public report shell, proof naming и capture sheet.","qa-test-order-execution-brief.html; test-order-runtime-public-report-shell.html","Нет PASS/WARN/STOP по рабочему сайту.","QA + PM","Запускать QA только после READY по контрольному заказу и допуска исполнителя.","Да"
