"Area","Status","Evidence","Link","Proven","Missing","Next"
"Основной дизайн Nebula в Figma","Желтый","Figma-ссылка найдена в источниках, заявлено 74 экрана","nebula-design-source-contract.html","Источник дизайна больше не слепая зона","Полный экспорт/manifest экранов и screen-by-screen proof","Получить/извлечь manifest экранов и связать с публичной версткой"
"Публичная верстка Nebula","Зеленый как источник","Найдена публичная карта верстки и 20 html-страниц","https://cutthreat.github.io/nebula-pages-public/site-map.html","Можно открывать страницы и сверять визуальный слой","Связка с backend Confideline, состояниями ошибок и тестами","Для каждой страницы заполнить screen contract"
"Google Sheet по экранам и блокам","Зеленый как источник","Извлечено 14 экранных групп и 89 блоков","nebula-screen-contract.html","Есть структура страниц и блоков контента","Не все блоки превращены в задачи контента/backend/QA","Использовать как основу для экранного контракта"
"Главная и оффер","Желтый","Есть Home, блоки trust/benefit/testimonials и публичная страница","https://cutthreat.github.io/nebula-pages-public/home.html","Офферный экран визуально существует","Доказательство, что CTA ведет в правильный заказ/регистрацию и объясняет услугу","Собрать offer-proof: текст, CTA, доверие, FAQ, юридический note, аналитика"
"Коммерческие страницы услуг","Желтый","Есть psychic/tarot/palm/phone/love/zodiac/cheap/all pages","nebula-screen-contract.html","Страницы услуг и FAQ-блоки существуют в публичной верстке","Связка категории услуги с каталогом экспертов, ценой и заказом","Для каждой услуги определить CTA, цену, категорию, вопрос клиента и test order"
"Вход и регистрация","Желтый","В публичной карте есть login, signup step 1/2, forgot","nebula-design-source-contract.html","Фронтовые auth-экраны найдены","Доказательство связи с Confideline auth и возврата к покупке","Проверить путь guest → signup/login → продолжить заказ"
"Каталог/карточки экспертов","Красный","Дизайн использует блоки psychic readers и карточки экспертов","backend-frontend-proof-map.html","Идея каталога есть в дизайне и универсальной dating-базе","Решение и proof: выбираем конкретного эксперта или категорию/очередь","Сформировать правило каталога для Nebula и связать с назначением консультации"
"Покупка консультации","Красный","Дизайн пока не доказывает полный starter/paid consultation flow","paid-consultation-test-flow.html","Путь описан в PM-пакетах","Экранный путь оплаты/тестового заказа и связь с backend","Сделать экранный контракт: offer CTA → test order → question → success/error"
"Личный кабинет клиента и чат","Красный","Есть идея кабинета/чата и backend chat reports, но дизайн-связка не закрыта","backend-frontend-proof-map.html","Чат и кабинет как слои проекта существуют","Экран клиента после покупки: вопрос, статус, ответ, проблема, история","Сопоставить кабинет Oracle/Nebula с paid consultation lifecycle"
"FAQ, Privacy и документы","Желтый","FAQ и Privacy страницы есть в публичной верстке","https://cutthreat.github.io/nebula-pages-public/faq-new.html","Фронтовые страницы доверия есть","Финальные Terms/Privacy/Refund/disclaimers и legal approval","Связать legal content package с публичными страницами"
"Блог и контентный слой","Желтый","Blog и Blog inner page есть в публичной верстке","https://cutthreat.github.io/nebula-pages-public/blog-new.html","Контентный слой предусмотрен","SEO/контент-план, категории, авторы, связь с воронкой","Вынести в дочернюю маркетинговую задачу после закрытия paid flow"
"Адаптивность и визуальная приемка","Желтый","Публичные страницы открываются как верстка, но нет полного visual QA отчета по всем breakpoint","nebula-design-function-content-crosswalk.html","Есть база для визуальной сверки","Скриншоты desktop/mobile, расхождения, список правок Антону/верстке","Сделать визуальный pass по ключевым страницам после выбора приоритетных экранов"
"Связка дизайн → backend → контент → проверка","Красный","Есть crosswalk и backend-frontend proof map","backend-frontend-proof-map.html","Методика пятислойной сверки готова","Ни одна ключевая платная страница не закрыта как полностью доказанная","Начать с главной, услуги, регистрации, test order, кабинета клиента"
