"Block","Owner","Need","Acceptance","Proof"
"Единая карточка обращения","Игорь","Support ticket связан с client_id, order_id, service_session_id, chat_id, payment/test status, expert/agent, reason, priority, owner, deadline.","Support открывает одно обращение и видит все факты без ручного поиска по заказам, чатам и пользователям.","support-refund-handoff.html; co2p-paid-consultation-service-session.html"
"Создание обращения","Игорь + support","Обращение создается клиентом, support, админом или автоматически по failure state: просрочка, payment success without session, failed email, chat error.","QA может создать обращение вручную и смоделировать системное обращение по просрочке.","support-refund-readiness.html; admin-ops.html"
"Типы проблем","PM + support","Причины: оплата без услуги, нет вопроса, эксперт не ответил, плохой ответ, чат сломан, email не ушел, refund request, off-platform, account access.","Каждый тип проблемы имеет владельца, что проверить, возможное решение и связь с QA-сценарием.","support-refund-igor-qa-package.html"
"Статусы обращения","Игорь","new, in_review, waiting_client, waiting_expert, escalated, resolved, rejected, refund_review, refunded, closed.","Смена статуса сохраняет историю: кто изменил, когда, причина, следующий срок, уведомление no-send.","support-refund-handoff.html; events.html"
"Связь с экспертом и качеством","Игорь + модератор","Жалоба клиента открывает ответ, rubric качества, историю исполнителя, просрочки, видимость и санкции.","Модератор может поставить замечание, отправить на доработку, снизить видимость или поставить исполнителя на паузу.","expert-quality-moderation.html; co2p-expert-agent-workspace-service-session.html"
"Связь с начислениями","Игорь + PM","Спор/возврат удерживает или отменяет тестовое начисление исполнителю; решение фиксирует причину.","При refund_review начисление переходит на удержание; при resolved без refund возвращается к подтверждению.","expert-agent-compensation-handoff.html"
"Refund decision path","support + PM/founder/legal","Операционный путь: причина, факты, решение, комментарий, сумма/компенсация, кто утвердил; финальные правила зависят от legal/founder.","Можно принять test-mode решение по возврату без реального платежа, не нарушая legal gate.","legal-docs-readiness.html; support-refund-readiness.html"
"Шаблоны ответов support","PM + support","Готовые ответы: получили обращение, проверяем, нужен вопрос, эксперт задерживается, ответ на жалобу, refund review, resolved/rejected.","Support выбирает шаблон с переменными order/session/status и видит no-send preview.","jun-08-screen-content-pack-v1.html; email-notifications-igor-qa-package.html"
"События и уведомления","Игорь + QA","ticket_created, ticket_status_changed, refund_requested, refund_review_started, refund_decided, expert_overdue_escalated, quality_complaint_created.","События видны в no-send preview и в timeline service_session/support ticket.","events.html; email-notifications-handoff.html"
"Отчеты операционного центра","Игорь + PM","Сводка: новые обращения, просрочки, refund risk, причины жалоб, среднее время решения, проблемы по экспертам/категориям.","Админ видит daily queue и понимает, где горит запуск: эксперт, чат, платеж, email или качество.","admin-ops.html"
"QA proof failure states","QA/tester + PM","Проверить 7 failure states на одном тестовом заказе: no question, overdue, bad answer, chat fail, email fail, refund request, off-platform.","Публичный QA-report содержит скрины карточки обращения, service_session, events, no-send, решения и итог PASS/WARN/STOP.","pre-traffic-qa-decision-package.html; launch-test-scenario.html"
