"When","Step","Owner","Check","Accepted","Escalate","Link"
"Утро","Проверить светофор запуска","PM","Открыть светофор, индекс покрытия и owner board: не появился ли accepted proof, который меняет красный/желтый статус.","Статус меняется только если есть ID/скрин/лог/QA/report/decision.","Если proof появился, но неполный или противоречивый.","launch-layer-readiness-map-2026-06-06.html"
"Утро","Проверить proof-inbox","PM","Проверить ответы от Игоря, Ксении, Антона, QA, founder/legal/payment.","Каждый ответ получает accepted / returned / blocked.","Если владелец не дал нужные ID, скрины, журнал или причину blocked.","external-proof-inbox.html"
"Утро","Удержать два главных входа","PM","Подтвердить, что ближайший маршрут все еще R01 safe order и R02 E01/expert admission.","R01 и R02 имеют владельца, критерии и страницу приемки.","Если команда уходит в боковые задачи вместо R01/R02.","owner-proof-next-actions.html"
"День","Принять или вернуть ответы","PM","Сверить входящие ответы с контрактами приемки по слоям.","Ответ покрывает конкретный слой и имеет proof, достаточный для смены статуса.","Если ответ нельзя принять, вернуть с missing list и ссылкой на контракт.","layer-acceptance-contracts-2026-06-06.html"
"День","Закрывать автономные PM-работы","PM / Codex","Если внешних proof нет, закрывать то, что PM может сам: карты, реестры, контентные пакеты, screen contracts, QA-пакеты.","Результат опубликован в Blue Panel, связан с мастер-планом, имеет next owner.","Не эскалировать, если PM может сделать сам.","pm-autonomous-evidence-workqueue-2026-06-06.html"
"День","Не запускать преждевременно QA/traffic","PM","Проверить, что QA не отправлен до READY, трафик/платежи/письма/публикации не стартуют.","QA только после accepted R01/R02; traffic только после QA и launch gates.","Если кто-то предлагает запуск без proof.","mvp-test-launch-readiness-checklist-2026-06-06.html"
"Вечер","Обновить Blue Panel по фактам","PM","Если появился accepted/returned/blocked, обновить светофор, owner board, proof inbox, ближайшие действия.","Страница обновлена, есть ссылка, статус и следующий владелец.","Если proof затрагивает legal/payment/founder decision.","current-next-action-board.html"
"Вечер","Синхронизировать Trello только по результату","PM","Trello не переименовывать; если результат принят, готовить ссылку Blue Panel для карточки.","В Trello идет human-readable результат, а не технический шум.","Если задача остановлена или влияет на план месяца.","trello-june-fact-status.html"
"Вечер","Назначить next owner на завтра","PM","Зафиксировать одного-двух людей, от кого завтра нужен факт, и какой именно.","Следующий владелец, expected proof и критерий приемки понятны.","Если без решения Алексея/основателя нельзя продолжать.","owner-proof-next-actions.html"
"Понедельник","Weekly update","PM","По активным задачам дать короткий статус: в работе / проблема / блокер / что ждем / что сделано.","Комментарий важный, без технического мусора, связан с результатом задачи.","Если срок/результат месяца под риском.","june-pm-execution-control.html"
"Конец месяца","Monthly report","PM","Свести задачи месяца, статус выполнения, причины незакрытия, процент плана, ссылки на результаты.","Отчет понятен Заказчику и отделяет PM-пакет от runtime proof.","Если есть незакрытые критичные блокеры запуска.","june-plan.html"
