ID,Событие,Связанный объект,Кому/роль,Шаблон и переменные,Что вернуть как proof,Accepted,Returned/STOP,Статус
NSC01,Заказ создан,"test_run_id;order_id;client_id","клиент;админ","service;price;currency;order number;language","event_id;preview;admin screenshot;no-send marker","event связан с order_id preview корректный external_send=false","нет event_id или ушло реально",ждет
NSC02,Test payment success/mock,"order_id;payment_test_id","клиент;support;админ","payment status;amount;currency;question link","event_id;payment test marker;no real charge proof","test payment ясен no real charge доказан","риск real charge STOP",ждет
NSC03,Клиент не задал вопрос после оплаты,order_id без question_id,"клиент;support","reminder;question link;support link","queue/status screenshot;preview;no-send marker","оплаченный без вопроса заказ не теряется","нет очереди или reminder связан не с тем заказом",MVP/WARN
NSC04,Вопрос принят,"order_id;question_id;session/task_id","клиент;админ","question accepted;language;category/service","event_id;question/order link screenshot;preview","вопрос связан с заказом и session/task","вопрос без order/session returned",ждет
NSC05,Эксперт/анкета назначены,"session/task_id;performer/profile_id","эксперт/агент;админ","task link;deadline;client context;language","event_id;assignee screenshot;workspace screenshot;preview","исполнитель видит задачу и срок","нет assignment/workspace proof",ждет
NSC06,SLA deadline soon/overdue,"session/task_id;deadline","эксперт/агент;админ","remaining time;overdue reason;escalation link","event_id or manual queue screenshot;preview/no-send","просрочка видна или fallback отмечен","SLA контролируется памятью человека",MVP/WARN
NSC07,Ответ эксперта готов,"answer_id;session/task_id;order_id","клиент;админ","answer ready;chat/result link;support link","event_id;answer link screenshot;preview;no-send marker","answer_id связан с заказом и виден клиенту/админу","уведомление не связано с answer_id",ждет
NSC08,Support case created,"support_case_id;order_id;session/task_id","support;админ;модератор","reason;owner;priority;links","case screenshot;event_id;no-send preview","case связан с заказом/экспертом/сессией","жалоба отдельно от заказа returned",ждет
NSC09,Support decision/resolution,"support_case_id;resolution_id","клиент;support;админ","resolution type;comment;next step;refund/retry flag","resolution screenshot;event_id;preview;no-send marker","решение видно и связано с case/order","нет решения/owner/status",ждет
NSC10,Order closed/follow-up,"order_id;session/task_id;answer_id","клиент;админ;маркетинг later","closed status;rating/repeat CTA;support link","event_id;preview;no-send marker;analytics link if exists","заказ закрыт понятно follow-up не отправлен реально","нет close status или follow-up уходит наружу",MVP/WARN
