номер,проверка,что_должно_быть_видно,доказательство,если_не_работает,решение
1,Оффер и экран покупки,"Цена, формат, срок ответа, ограничения, понятный следующий шаг","Скрин клиентского экрана или макета","Правка Антону/фронту до теста трафика",стоп
2,Тестовый заказ без списания,"Заказ создан как тестовый, нет реального платежа","Test order ID + скрин статуса","Нельзя безопасно проверять платный путь",стоп
3,Вопрос клиента,"Вопрос связан с заказом, клиентом, темой и консультацией","Скрин клиента и админки","Клиентский запрос потеряется после оплаты",стоп
4,Очередь админки,"Админ видит заказ, вопрос, статус, дедлайн и действие назначения","Скрин очереди и карточки","Команда не сможет управлять услугой",стоп
5,Рабочее место эксперта/агента,"Исполнитель видит задачу, контекст, чат, срок и статус","Скрин роли исполнителя","Невозможно запускать 5 экспертов",стоп
6,Ответ клиенту,"Ответ виден клиенту, связан с консультацией, статус меняется","Скрины клиента, эксперта и админки","Услуга фактически не оказана",стоп
7,Уведомления без отправки,"События созданы, preview видно, реальные письма не ушли","No-send журнал","Исправить до рекламы или явно ограничить тест",правки
8,Support и жалобы,"Тикет связан с заказом, чатом, исполнителем и решением","Скрин support/refund case","Клиентские проблемы будут теряться",стоп
9,Экономика и начисление,"Видно чек, источник, экспертское начисление, удержание/возврат","Скрин/таблица итогов","Можно тестировать только без масштабирования",правки
10,Итоговый отчет,"Один публичный отчет с PASS/WARN/STOP и задачами","Ссылка на Blue Panel / QA report","Решение о рекламе не считается принятым",стоп
