"PF","Layer","Proof","Child","Owner","Status","MissingImpact","NextStep"
"PF00","Оффер","Клиент понимает услугу, цену, формат ответа и post-payment path","test-order-client-order-proof-register.html","PM/Anton","yellow","Риск пустого клика и недоверия","Сверить оффер с макетом и страницей заказа"
"PF01","Тестовый заказ","Безопасный заказ без реального списания","test-order-client-order-proof-register.html","Igor/QA","red","QA полного пути невозможен","Подготовить fixture и провести заказ"
"PF02","Админка","Заказ виден администратору","test-order-client-order-proof-register.html","Igor/QA","red","Support и PM не видят проблему","Снять скрин списка и карточки"
"PF03","Вопрос клиента","Текст вопроса связан с заказом","test-order-client-order-proof-register.html","Igor","red","Эксперт отвечает без контекста","Проверить поля и передачу"
"PF04","Сессия услуги","Есть рабочая карточка услуги","test-order-client-order-proof-register.html","Igor","red","Нечем управлять после оплаты","Проверить карточку услуги"
"PF05","Назначение","Эксперт/агент получает анкету и заказ","expert-runtime-proof-register.html","Igor/QA","red","Заказ зависает без исполнителя","Проверить ручное назначение"
"PF06","Рабочее место","Эксперт видит все нужное для ответа","expert-runtime-proof-register.html","Igor/QA","red","Ответы хаотичны","Проверить чат, историю, подсказки, профиль, начисления"
"PF07","Ответ клиенту","Ответ доставляется клиенту и фиксируется","expert-runtime-proof-register.html","Expert/QA","red","Клиент не получает результат","Провести ответ по тестовому заказу"
"PF08","Уведомления","События создаются в no-send режиме","notification-nosend-proof-register.html","Igor/QA","red","Риск реальной отправки или пропуска события","Проверить очередь и no-send"
"PF09","Support","Проблема клиента становится кейсом","support-problem-proof-register.html","Support/QA","red","Клиент остается без решения","Создать тестовый support-кейс"
"PF10","Языки","Есть политика несовпадения языка клиента и эксперта","language-translation-ops-control.html","PM/Igor","yellow","Запуск только с языковым ограничением","Зафиксировать launch-language policy"
"PF11","Качество и выплаты","Виден контроль качества и начисления","expert-agent-compensation-handoff.html","PM/Admin","yellow","Нет прозрачности качества и денег","Связать критерии качества, начисления и approval"
"PF12","Публичный отчет","Есть читаемый QA-отчет для всех ролей","test-order-runtime-public-report-shell.html","QA/PM","red","Нет допуска к трафику","Заполнить отчет после теста"
