ID,Домен,Что проверяем,Минимальный proof,PASS,WARN,STOP,Связанный ресурс,Текущий статус
QAC01,READY входы,R01 и R02 приняты PM как accepted,Ссылки на capture sheet и owner/date,2/2 accepted,Minor warning принят PM,Любой вход missing/partial,first-two-proof-response-capture-sheet-2026-06-06.html,STOP
QAC02,Оффер,Клиент понимает услугу срок ограничения support,Скрины landing/checkout/docs,Нет misleading/dating legacy,Текст требует полировки,Нет disclosure/docs/цены/условий,public-docs-checkout-trust-proof-contract-2026-06-06.html,STOP
QAC03,Safe order,Тестовый заказ без реального списания,test_run_id/order_id/no-charge marker,Заказ безопасно создан,Нужна UX-полировка,Риск реального платежа или нет order_id,backend-admin-safe-order-execution-board-2026-06-06.html,STOP
QAC04,Вопрос клиента,Вопрос связан с заказом и виден админу/эксперту,question_id + screen/log,Связь доказана,UI неочевиден,Вопрос живет отдельно от заказа,paid-client-flow-proof-contract-2026-06-06.html,STOP
QAC05,Назначение,Исполнитель профиль SLA deadline,performer_id/profile_id/task_id/deadline,Владелец и срок есть,SLA wording слабый,Нет назначенного исполнителя,admin-operational-visibility-proof-contract-2026-06-06.html,STOP
QAC06,Рабочее место,Эксперт видит задачу и может ответить внутри платформы,Скрин E01 workspace,Ответ создается в системе,UX мешает но не блокирует,Эксперт работает вне сайта,expert-agent-workspace-handoff.html,STOP
QAC07,Ответ,Ответ связан с консультацией и виден клиенту/админу,answer_id + client/admin/expert views,Услуга доказана,Formatting issue,Ответ потерян/не связан/не виден,expert-runtime-proof-register.html,STOP
QAC08,Уведомления,События создаются безопасно без внешней отправки,event_id template external_send=false,No-send proof есть,Шаблон требует текста,Реальная отправка или нет логов,communications-support-analytics-execution-board-2026-06-06.html,STOP
QAC09,Support,Жалоба/проблема имеет owner решение связь с order_id,support_case_id + decision,Проблема управляема,SLA unclear,Нет маршрута проблемы,support-problem-proof-register.html,STOP
QAC10,Админка,PM/admin видит lifecycle заказа без ручного расследования,Admin screenshots/timeline,Операционка видна,Нужны UX-улучшения,Состояние собирается вручную,admin-operational-visibility-proof-contract-2026-06-06.html,STOP
QAC11,Аналитика,source/session/order/value/service/expert/support связаны,analytics row/report,Можно считать CAC/LTV позже,Некритичное поле missing,Нет source→order→value trace,purchase-analytics-proof-acceptance-board.html,STOP
QAC12,Качество ответа,Ответ оценен по регламенту и можно дать feedback эксперту,Scorecard/quality note,Качество управляемо,Нужно уточнить rubric,Плохой ответ без контроля,expert-training-to-admission-map-2026-06-06.html,STOP
QAC13,Ошибки и тупики,Timeout отказ пустой ответ плохой ответ support refund handoff,Скрины failure states и next actions,Клиент не остается в тупике,Copy/UX weak,Ошибка без понятного действия,client-journey-readiness-map.html,STOP
QAC14,Отчет и Go/No-Go,Публичный QA-отчет и обновление Blue Panel,URL отчета + readiness mapping,PM может принять решение,Нужно дооформление отчета,Скрины без отчета или verdict,launch-layer-readiness-map-2026-06-06.html,STOP
