Канал;Список;Карточка;Статус;Слой;Чего не хватает;Accepted proof;Первое действие;Blue;Trello
"Игорь → QA";"Стратегия";"1.5. Техническая часть";"красный";"Техническая часть";"Нет runtime proof backend/admin/client path: safe order, question binding, expert assignment, answer, events, support.";"safe order/admin route/no-send/support proof + QA verdict";"Сначала получить runtime proof от Игоря; QA запускать только после READY.";"mvp-launch-readiness-backlog-2026-06-06.html";"https://trello.com/c/K7Sn0ey2/215-15-%D1%82%D0%B5%D1%85%D0%BD%D0%B8%D1%87%D0%B5%D1%81%D0%BA%D0%B0%D1%8F-%D1%87%D0%B0%D1%81%D1%82%D1%8C"
"Игорь → QA";"Стратегия";"3. Готовность MVP";"красный";"Готовность MVP";"Нет E01/E01-E05 admission, safe order, QA verdict, no-send/support/admin proof.";"safe order/admin route/no-send/support proof + QA verdict";"Сначала получить runtime proof от Игоря; QA запускать только после READY.";"mvp-launch-readiness-backlog-2026-06-06.html";"https://trello.com/c/Mqfr0f8w/219-3-%D0%B3%D0%BE%D1%82%D0%BE%D0%B2%D0%BD%D0%BE%D1%81%D1%82%D1%8C-mvp"
"PM → Ксения";"Стратегия";"1.4. Поиск и работа с астрологами";"желтый";"Поиск и работа с экспертами";"Нет accepted proof по E01-E05: прохождение, пробный ответ, SLA, назначенная анкета, verdict допуска.";"accepted proof по E01/E01-E05: обучение, пробный ответ, SLA, анкета, verdict";"PM готовит структуру допуска, Ксения проверяет и возвращает заполненные proof-поля.";"expert-launch-admission-control-2026-06-06.html";"https://trello.com/c/Y5rPcPMI/214-14-%D0%BF%D0%BE%D0%B8%D1%81%D0%BA-%D0%B8-%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D0%B0-%D1%81-%D0%B0%D1%81%D1%82%D1%80%D0%BE%D0%BB%D0%BE%D0%B3%D0%B0%D0%BC%D0%B8"
"PM → Ксения";"План на Июнь";"Школа экспертов для первых 5 экспертов";"желтый";"Школа и допуск экспертов";"Нет accepted proof по E01-E05: прохождение, пробный ответ, SLA, назначенная анкета, verdict допуска.";"accepted proof по E01/E01-E05: обучение, пробный ответ, SLA, анкета, verdict";"PM готовит структуру допуска, Ксения проверяет и возвращает заполненные proof-поля.";"expert-launch-admission-control-2026-06-06.html";"https://trello.com/c/36nRKvdb/302-%D1%88%D0%BA%D0%BE%D0%BB%D0%B0-%D1%8D%D0%BA%D1%81%D0%BF%D0%B5%D1%80%D1%82%D0%BE%D0%B2-%D0%B4%D0%BB%D1%8F-%D0%BF%D0%B5%D1%80%D0%B2%D1%8B%D1%85-5-%D1%8D%D0%BA%D1%81%D0%BF%D0%B5%D1%80%D1%82%D0%BE%D0%B2"
"PM → Ксения";"Стратегия";"AI-ассистент по сводке диалога для экспертов и советы";"желтый";"Школа и допуск экспертов";"Нет accepted proof по E01-E05: прохождение, пробный ответ, SLA, назначенная анкета, verdict допуска.";"accepted proof по E01/E01-E05: обучение, пробный ответ, SLA, анкета, verdict";"PM готовит структуру допуска, Ксения проверяет и возвращает заполненные proof-поля.";"expert-launch-admission-control-2026-06-06.html";"https://trello.com/c/lj6vnWeG/259-ai-%D0%B0%D1%81%D1%81%D0%B8%D1%81%D1%82%D0%B5%D0%BD%D1%82-%D0%BF%D0%BE-%D1%81%D0%B2%D0%BE%D0%B4%D0%BA%D0%B5-%D0%B4%D0%B8%D0%B0%D0%BB%D0%BE%D0%B3%D0%B0-%D0%B4%D0%BB%D1%8F-%D1%8D%D0%BA%D1%81%D0%BF%D0%B5%D1%80%D1%82%D0%BE%D0%B2-%D0%B8-%D1%81%D0%BE%D0%B2%D0%B5%D1%82%D1%8B"
"PM автономно";"Стратегия";"6. Масштабирование и улучшение";"желтый";"Масштабирование";"Нет доказанной экономики, качества, retention и устойчивой операционки.";"parking lot после первых метрик CAC/LTV/качества";"PM закрывает автономно в Blue Panel без изменения Trello-карточки.";"first-traffic-economy-launch-gate-2026-06-06.html";"https://trello.com/c/WNvUTUqx/222-6-%D0%BC%D0%B0%D1%81%D1%88%D1%82%D0%B0%D0%B1%D0%B8%D1%80%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D0%B5-%D0%B8-%D1%83%D0%BB%D1%83%D1%87%D1%88%D0%B5%D0%BD%D0%B8%D0%B5"
"PM автономно";"План на Июнь";"Новый макет страны / города";"желтый";"Отдельный geo-поток";"Нужно отделить geo-поток от Nebula MVP, чтобы он не искажал июньскую загрузку и launch readiness.";"отдельный geo-track, не включенный в Nebula MVP readiness";"PM закрывает автономно в Blue Panel без изменения Trello-карточки.";"trello-bluepanel-sync-control-2026-06-06.html";"https://trello.com/c/PrkrhWqN/297-%D0%BD%D0%BE%D0%B2%D1%8B%D0%B9-%D0%BC%D0%B0%D0%BA%D0%B5%D1%82-%D1%81%D1%82%D1%80%D0%B0%D0%BD%D1%8B-%D0%B3%D0%BE%D1%80%D0%BE%D0%B4%D0%B0"
"PM автономно";"План на июнь";"Отчет за июнь";"желтый";"Отчетность месяца";"Нужны фактические результаты месяца, статусы задач, причины незавершения и итоговый процент выполнения.";"месячный отчет с задачами, статусами, ссылками и итоговым процентом";"PM закрывает автономно в Blue Panel без изменения Trello-карточки.";"june-plan.html";"https://trello.com/c/9esE7cSp/131-%D0%BE%D1%82%D1%87%D0%B5%D1%82-%D0%B7%D0%B0-%D0%B8%D1%8E%D0%BD%D1%8C"
"PM автономно";"План на июнь";"проанализировать вес контент из группы Небула и составить список непонятных вещей, вопросов и тд которые далее проработаем";"желтый";"Контент и банк знаний";"Нужно извлечь контент из источников Nebula, разделить на готовые тексты, вопросы, пробелы и решения.";"контент-реестр: источник, извлечено, вопрос, решение, где используется";"PM закрывает автономно в Blue Panel без изменения Trello-карточки.";"launch-content-source-register-2026-06-06.html";"https://trello.com/c/LzB7e7qX/116-%D0%BF%D1%80%D0%BE%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D0%B7%D0%B8%D1%80%D0%BE%D0%B2%D0%B0%D1%82%D1%8C-%D0%B2%D0%B5%D1%81-%D0%BA%D0%BE%D0%BD%D1%82%D0%B5%D0%BD%D1%82-%D0%B8%D0%B7-%D0%B3%D1%80%D1%83%D0%BF%D0%BF%D1%8B-%D0%BD%D0%B5%D0%B1%D1%83%D0%BB%D0%B0-%D0%B8-%D1%81%D0%BE%D1%81%D1%82%D0%B0%D0%B2%D0%B8%D1%82%D1%8C-%D1%81%D0%BF%D0%B8%D1%81%D0%BE%D0%BA-%D0%BD%D0%B5%D0%BF%D0%BE%D0%BD%D1%8F%D1%82%D0%BD%D1%8B%D1%85-%D0%B2%D0%B5%D1%89%D0%B5%D0%B9-%D0%B2%D0%BE%D0%BF%D1%80%D0%BE%D1%81%D0%BE%D0%B2-%D0%B8-%D1%82%D0%B4-%D0%BA%D0%BE%D1%82%D0%BE%D1%80%D1%8B%D0%B5-%D0%B4%D0%B0%D0%BB%D0%B5%D0%B5-%D0%BF%D1%80%D0%BE%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D0%B0%D0%B5%D0%BC"
"PM автономно";"Стратегия";"AI-ассистент на сайт (сбор инфы)";"желтый";"AI-помощники и автоматизация";"Нужно определить, какую задачу ассистент решает в core flow и не мешает ли запуску MVP.";"mini-PRD дочерней AI-инициативы после core proof";"PM закрывает автономно в Blue Panel без изменения Trello-карточки.";"pm-autonomous-evidence-workqueue-2026-06-06.html";"https://trello.com/c/egrNDweI/261-ai-%D0%B0%D1%81%D1%81%D0%B8%D1%81%D1%82%D0%B5%D0%BD%D1%82-%D0%BD%D0%B0-%D1%81%D0%B0%D0%B9%D1%82-%D1%81%D0%B1%D0%BE%D1%80-%D0%B8%D0%BD%D1%84%D1%8B"
"PM автономно";"Стратегия";"seo-аудит от Оли";"желтый";"SEO и внешнее продвижение";"SEO-аудит не связан с текущим go/no-go первого платного трафика и не доказывает готовность сайта.";"SEO backlog, отделенный от launch go/no-go";"PM закрывает автономно в Blue Panel без изменения Trello-карточки.";"marketing-ltv-acquisition-control.html";"https://trello.com/c/OoNR6BFT/237-seo-%D0%B0%D1%83%D0%B4%D0%B8%D1%82-%D0%BE%D1%82-%D0%BE%D0%BB%D0%B8"
"PM автономно";"Стратегия";"4. Подготовка к запуску (параллельно с разработкой)";"красный";"Подготовка к запуску";"Подготовка идет параллельно, но не заменяет доказательства работы сайта.";"Launch readiness proof index с accepted statuses по gates.";"PM закрывает автономно в Blue Panel без изменения Trello-карточки.";"launch-readiness-proof-index-2026-06-06.html";"https://trello.com/c/ySCW17BG/220-4-%D0%BF%D0%BE%D0%B4%D0%B3%D0%BE%D1%82%D0%BE%D0%B2%D0%BA%D0%B0-%D0%BA-%D0%B7%D0%B0%D0%BF%D1%83%D1%81%D0%BA%D1%83-%D0%BF%D0%B0%D1%80%D0%B0%D0%BB%D0%BB%D0%B5%D0%BB%D1%8C%D0%BD%D0%BE-%D1%81-%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D0%BA%D0%BE%D0%B9"
"Владелец / founder gate";"Стратегия";"1.6. Юридические вопросы";"желтый";"Юридические вопросы";"Нет утвержденных seller/provider/descriptor/refund/geography и финального legal/payment path.";"decision log: ставки/seller/provider/descriptor/refund/geography/go-no-go";"PM готовит варианты/риски, владелец принимает решение; до решения статус не зеленый.";"public-docs-checkout-capture-sheet-2026-06-06.html";"https://trello.com/c/9mcDFqLL/216-16-%D1%8E%D1%80%D0%B8%D0%B4%D0%B8%D1%87%D0%B5%D1%81%D0%BA%D0%B8%D0%B5-%D0%B2%D0%BE%D0%BF%D1%80%D0%BE%D1%81%D1%8B"
"Владелец / founder gate";"План на Июнь";"Продумать ЗП для сотрудников";"желтый";"Оплата и мотивация команды";"Нет утвержденных ставок, валюты, периода выплат, удержаний, бонусов и связи с качеством/SLA.";"decision log: ставки/seller/provider/descriptor/refund/geography/go-no-go";"PM готовит варианты/риски, владелец принимает решение; до решения статус не зеленый.";"expert-agent-compensation-handoff.html";"https://trello.com/c/bNsEmcDz/291-%D0%BF%D1%80%D0%BE%D0%B4%D1%83%D0%BC%D0%B0%D1%82%D1%8C-%D0%B7%D0%BF-%D0%B4%D0%BB%D1%8F-%D1%81%D0%BE%D1%82%D1%80%D1%83%D0%B4%D0%BD%D0%B8%D0%BA%D0%BE%D0%B2"
