proof,status_now,accepted_evidence,not_accepted,provider,acceptor,if_accepted,if_not_accepted
Safe test order,STOP,"Order ID; test marker; amount/currency; no real charge screenshot/log","words only; order without ID; unclear sandbox",Игорь,"PM + QA","QA can move to order visibility","QA does not start; traffic/payments forbidden"
Admin order visibility,STOP,"admin list and order card with client/service/amount/status/marker/created_at","database screenshot without UI; manual search only",Игорь/QA,PM,"admin path visible","support/admin remains red"
Order/question/session binding,STOP,"one marker/order/session across client/admin/executor; question linked to order","chat without order; question without session",Игорь,"PM + QA","executor and answer can be checked","expert runtime cannot start"
Executor assignment,STOP,"assigned performer/profile, who assigned, when, status","expert profile without concrete order",Игорь/QA,PM,"workspace can be checked","order treated as stuck"
Expert admission,STOP,"admission journal: lessons/regulation/trial answer/SLA/access/verdict","expert is ready without trial answer/status",PM+Ксения,"PM + QA","one expert can join control order","QA with expert forbidden"
Expert workspace,STOP,"executor role sees question/context/deadline/status/answer field/history","admin screenshot instead of executor access",Игорь/QA,PM,"test answer can be sent","JUN-07 remains red"
Answer delivery,STOP,"answer ID/timestamp/author/client view/admin view/session link","answer text outside site",Эксперт/QA,PM,"service path gets runtime proof","client journey remains red"
No-send events,STOP,"event log and preview with no-send marker for order/question/assignment/answer/support","real send; no recipient/template/variables",Игорь/QA,PM,"notification gate can become WARN/PASS","real emails/messages forbidden"
Support problem case,STOP,"support case ID/reason/owner/order-session-chat-expert link/decision/status","comment without ticket/order link",QA+Игорь,PM,"failure states get proof","support/refund remains red"
Language policy,WARN,"launch language rule and translation boundary","implicit assumption",PM,"PM + QA","launch possible with language restriction","multilingual launch forbidden"
Quality note,WARN,"answer quality score by regulation criteria","like/dislike without criteria",PM+Ксения,PM,"quality linked to admission/payment","expert contour remains yellow"
Compensation preview,WARN,"test accrual without real payout; amount/status/reason","real payout or note without order/session",Игорь/PM,PM,"test accounting can be implemented","compensation remains PM package"
Public QA verdict,STOP,"public PASS/WARN/STOP report with evidence links/defects/next decision","checked message without screenshots/verdict",QA+PM,"PM + заказчик","readiness recalculated by facts","traffic launch forbidden"
