"code","trello_name","phase","launch_status","owner","hours","checklist","attachments","comments","pm_result","missing","next_step","trello_url","blue_panel","blue_exists"
"JUN-01","Codex plan","Ведение проекта","желтый","PM","18","5/5","5","1","Blue Panel, мастер-план, снимок Trello, аудит ссылок и публикация результата есть.","Это процесс управления, а не функция сайта; требует регулярного обновления после каждого proof.","Продолжать вести панель как источник согласования и proof-ссылок.","https://trello.com/c/gJnFd2wT/298-codex-plan","alexey-master-plan.html","True"
"JUN-02","Прогнать все макеты готовых ТЗ через Codex","Разбор наработок","желтый","PM → Игорь/Антон","28","5/5","16","2","PM-разбор связанных ТЗ и макетов есть; часть можно упаковывать в co2p-пакеты.","Не все связанные задачи являются готовыми к внедрению; нужна приоритизация по запуску платной консультации.","Отдавать в работу только P0-пакеты, которые закрывают клиентский путь, админку, чат, уведомления или проверку.","https://trello.com/c/awgleR9M/290-%D0%BF%D1%80%D0%BE%D0%B3%D0%BD%D0%B0%D1%82%D1%8C-%D0%B2%D1%81%D0%B5-%D0%BC%D0%B0%D0%BA%D0%B5%D1%82%D1%8B-%D0%B3%D0%BE%D1%82%D0%BE%D0%B2%D1%8B%D1%85-%D1%82%D0%B7-%D1%87%D0%B5%D1%80%D0%B5%D0%B7-codex","jun-02-ready-tz-triage.html","True"
"JUN-03","Email tempates","Уведомления","красный","Игорь + QA","22","5/5","3","0","Пакет событий, шаблонов, получателей и no-send проверки подготовлен.","Не доказано, что события срабатывают на контрольном заказе и письма не уходят реальным клиентам.","Внедрить no-send режим, журнал событий и проверить на контрольном заказе.","https://trello.com/c/e8aFOO8G/299-email-tempates","email-notifications-handoff.html","True"
"JUN-04","Описать регламент работы на основе Nebula / PbExpert","Регламент","желтый","PM + Ксения","22","4/5","9","0","Регламент v1 и источники Nebula/PbExpert собраны, Trello checklist почти закрыт.","Нужна ревизия Ксении и подтверждение, что 5 экспертов понимают правила.","Дать Ксении пакет ревизии, затем внести правки и связать с допуском экспертов.","https://trello.com/c/oZYN15XV/292-%D0%BE%D0%BF%D0%B8%D1%81%D0%B0%D1%82%D1%8C-%D1%80%D0%B5%D0%B3%D0%BB%D0%B0%D0%BC%D0%B5%D0%BD%D1%82-%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%8B-%D0%BD%D0%B0-%D0%BE%D1%81%D0%BD%D0%BE%D0%B2%D0%B5-nebula-pbexpert","expert-work-regulation-v1.html","True"
"JUN-05","Продумать ЗП для сотрудников","Экономика команды","желтый","Основатель + PM","12","5/5","4","0","Модель начислений, роли, бонусы, удержания и вопросы основателя подготовлены.","Не утверждены ставки, валюта, правила выплат и удержаний.","Получить решения основателя; затем проверить начисления после контрольного заказа.","https://trello.com/c/bNsEmcDz/291-%D0%BF%D1%80%D0%BE%D0%B4%D1%83%D0%BC%D0%B0%D1%82%D1%8C-%D0%B7%D0%BF-%D0%B4%D0%BB%D1%8F-%D1%81%D0%BE%D1%82%D1%80%D1%83%D0%B4%D0%BD%D0%B8%D0%BA%D0%BE%D0%B2","expert-agent-compensation.html","True"
"JUN-06","Школа экспертов для первых 5 экспертов","Школа экспертов","желтый","PM + Ксения + QA","16","5/5","8","0","Школа v1, материалы, адаптация и пакет Ксении подготовлены.","Не доказано прохождение обучения каждым из 5 экспертов и качество тестовых ответов.","Заполнить журнал допуска 5 экспертов и провести симуляцию ответа.","https://trello.com/c/36nRKvdb/302-%D1%88%D0%BA%D0%BE%D0%BB%D0%B0-%D1%8D%D0%BA%D1%81%D0%BF%D0%B5%D1%80%D1%82%D0%BE%D0%B2-%D0%B4%D0%BB%D1%8F-%D0%BF%D0%B5%D1%80%D0%B2%D1%8B%D1%85-5-%D1%8D%D0%BA%D1%81%D0%BF%D0%B5%D1%80%D1%82%D0%BE%D0%B2","expert-school-v1-operational-pack.html","True"
"JUN-07","Пакет рабочего места эксперта и агента в админке","Рабочее место","красный","Игорь + QA","20","5/5","3","0","Пакет рабочего места эксперта/агента подготовлен: задачи, чат, сроки, статусы, начисления.","Не доказано, что рабочее место связано с реальным заказом и видно администратору.","Игорю связать с заказом; QA проверить задачу, срок, ответ, статус и начисление.","https://trello.com/c/bRjDaHwL/303-%D0%BF%D0%B0%D0%BA%D0%B5%D1%82-%D1%80%D0%B0%D0%B1%D0%BE%D1%87%D0%B5%D0%B3%D0%BE-%D0%BC%D0%B5%D1%81%D1%82%D0%B0-%D1%8D%D0%BA%D1%81%D0%BF%D0%B5%D1%80%D1%82%D0%B0-%D0%B8-%D0%B0%D0%B3%D0%B5%D0%BD%D1%82%D0%B0-%D0%B2-%D0%B0%D0%B4%D0%BC%D0%B8%D0%BD%D0%BA%D0%B5","expert-agent-workspace-handoff.html","True"
"JUN-08","Проверка страниц и функций перед запуском рекламы","Проверка перед рекламой","красный","PM + Игорь + QA","12","5/5","14","0","Пакеты preflight, фикстур, задачи Игорю и QA подготовлены.","Контрольный заказ еще не пройден; нет PASS/WARN/STOP отчета.","Подготовить фикстуры, получить READY от Игоря, затем запустить QA-проход.","https://trello.com/c/A4zqo2EI/304-%D0%BF%D1%80%D0%BE%D0%B2%D0%B5%D1%80%D0%BA%D0%B0-%D1%81%D1%82%D1%80%D0%B0%D0%BD%D0%B8%D1%86-%D0%B8-%D1%84%D1%83%D0%BD%D0%BA%D1%86%D0%B8%D0%B9-%D0%BF%D0%B5%D1%80%D0%B5%D0%B4-%D0%B7%D0%B0%D0%BF%D1%83%D1%81%D0%BA%D0%BE%D0%BC-%D1%80%D0%B5%D0%BA%D0%BB%D0%B0%D0%BC%D1%8B","test-order-runtime-cockpit.html","True"
"JUN-UX","Работа с Антоном / дизайн","Дизайн","желтый","Антон + PM","10","5/5","5","0","Есть пакет правок по Oracle/Nebula и платной воронке.","Не подтверждено, что правки внесены в макеты и связаны с backend/контентом.","Сначала согласовать экраны платной воронки: оффер, оплата, вопрос, чат, ответ, поддержка.","https://trello.com/c/rlMQoaVy/301-%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D0%B0-%D1%81-%D0%B0%D0%BD%D1%82%D0%BE%D0%BD%D0%BE%D0%BC-%D0%B4%D0%B8%D0%B7%D0%B0%D0%B9%D0%BD","anton-oracle-nebula-design-fixes.html","True"
"GEO","Новый макет страны / города","Geo Confideline","серый","отдельный поток","вне 160","0/5","0","0","Карточка есть в июньском Trello, но без вложений и без закрытого checklist.","Не относится к ядру запуска Nebula; нет отдельной оценки часов и отдельного geo-пакета.","Не смешивать с Nebula. Если делать в июне — оформить отдельной задачей/пакетом.","https://trello.com/c/PrkrhWqN/297-%D0%BD%D0%BE%D0%B2%D1%8B%D0%B9-%D0%BC%D0%B0%D0%BA%D0%B5%D1%82-%D1%81%D1%82%D1%80%D0%B0%D0%BD%D1%8B-%D0%B3%D0%BE%D1%80%D0%BE%D0%B4%D0%B0","trello-current-source-snapshot.html","True"
