ID,Когда,Область,Что проверить,Красный сигнал,Действие PM,Когда писать в Trello,Ссылка
D01,утро,Реестр ожиданий,"Есть ли active owner по каждому красному/желтому gate","Блокер без владельца или PM ждет Алексея там где может работать сам","Обновить реестр ожиданий и следующий шаг","Не писать если внутренняя PM-сверка",pm-escalation-waiting-register-2026-06-06.html
D02,утро,R01 Игорь,"Есть ли safe order proof: marker order question session performer answer no-send support","Нет ответа ID admin route или есть риск реального платежа/письма","Держать запрос вернуть missing list или blocked","Если задача стоит или появился blocker важный для месяца",first-two-critical-proof-requests-2026-06-06.html
D03,утро,R02 Ксения/E01,"Есть ли E01 accepted for QA и статус E01-E05","Есть имена без ответа SLA анкеты графика verdict","Вернуть missing list или обновить admission gate","Если влияет на школу/экспертный контур месяца",first-five-expert-admission-execution-board-2026-06-06.html
D04,день,Прием proof,"Все новые ответы скрины ссылки route CSV QA reports","Ответ пришел но не привязан к capture sheet и verdict","Занести в лист приема и поставить accepted/returned/blocked","Если proof закрывает результат карточки или меняет блокер",first-two-proof-response-capture-sheet-2026-06-06.html
D05,день,План июня,"Какая работа двигает запуск где proof где нет движения","Важная задача без результата владельца или proof-ссылки","Обновить Blue Panel и подготовить next action","Weekly update по понедельникам или при важном блокере",june-plan.html
D06,день,co2p-пакеты,"Смысл макет backend acceptance criteria QA","Задача уходит без проверяемого результата","Дособрать пакет или returned к PM","Когда пакет готов и ссылка результата добавляется в карточку",co2p-runtime-implementation-handoff-index.html
D07,вечер,QA-ready,"R01 accepted R02 accepted no-send/admin/support route понятны","QA хотят запускать без safe order или E01","Не запускать QA вернуть в gate со STOP","Если QA заблокирован по внешней причине",prelaunch-qa-runbook-2026-06-06.html
D08,вечер,Светофор запуска,"Нужно ли менять статус после accepted proof","Статус зеленый без runtime proof","Менять только затронутый gate","В Trello только итог задачи и ссылка",launch-layer-readiness-map-2026-06-06.html
D09,понедельник,Weekly Trello update,"Прогресс проблема кого ждем ссылка на результат","Карточка неделю без движения или причины","Короткий комментарий без технического шума","1 раз в неделю по понедельникам",trello-source-of-truth-operating-board.html
D10,конец месяца,Отчет Заказчику,"Выполнена частично нет причина ссылка общий процент","Нет доказательства результата или причина не зафиксирована","Собрать отчет в конце месяца/первый день нового месяца","После отчета и согласования",alexey-master-plan.html
