layer,status,what_exists,what_is_not_proven,required_proof,next_step,link
strategy,green,"Platform-first decision and Nebula as first niche","real launch metrics","sales QA CAC LTV after test","keep strategy tied to proof",strategy-board.html
pm_blue_panel,green,"master plan readiness map proof queue inbox daily cycle","updates after team answers","accepted returned blocked on R01/R02","accept first answers",alexey-master-plan.html
trello,green,"read-only snapshot and update label rule","actual execution of cards","Blue Panel result link after task completion","do not rename titles",trello-current-source-snapshot.html
backend_admin,yellow,"Confideline backend treated as service base","safe order lifecycle","order id screenshots logs admin timeline","send/accept R01",first-two-critical-proof-requests-2026-06-06.html
frontend_design,yellow,"Oracle/Nebula design contours exist","full screen/backend/content/error/QA binding","screen contract for critical screens","continue page-by-page review",page-content-backend-readiness-map-2026-06-06.html
expert_training,yellow,"school v1 and training materials","0/5 experts accepted","E01 accepted then E01-E05 admission journal","send/accept R02",first-five-expert-admission-execution-board-2026-06-06.html
notifications,yellow,"no-send package and event logic","event log on one safe order","no-send event list tied to order id","bind to R01",notifications-nosend-proof-package.html
support,yellow,"problem/refund scenarios described","runtime support case","support_case_id tied to test order","bind to R01 and QA",support-problem-proof-package.html
qa,red,"runbook and report form","no PASS/WARN/STOP run","public QA report","wait READY after R01/R02",prelaunch-qa-runbook-2026-06-06.html
marketing,red,"channels and preflight plan","capacity docs analytics QA","Go/No-Go after proof","paid traffic remains zero",first-traffic-execution-board-2026-06-06.html
legal_payment,red,"PM can prepare HTML-ready package","seller provider descriptor refund geography approval","founder/legal/payment decision","prepare only do not approve",public-docs-checkout-execution-board-2026-06-06.html
runtime_order,red,"request package exists","safe order id and lifecycle absent","R01 accepted","Igor response required",first-two-critical-proof-requests-2026-06-06.html
