"Condition","Why","Proof","Status","Owner","Next"
"Runtime QA PASS","one full order must work before traffic","public QA report PASS/WARN","red","QA/PM","run control order"
"First 5 experts admitted","avoid overdue and complaints","admission journal with training/trial answer/SLA/profile/access","red","PM/Ksenia reviewer","fill expert gate"
"Daily capacity calculated","know max orders/day","capacity formula based on expert availability and answer time","red","PM/Ops","collect expert availability"
"CAC/LTV preflight","traffic needs stop-loss economics","calculator with price, conversion, margin, CAC, refund assumption","yellow","PM","fill after price/offer"
"Offer not misleading","reduce complaints and chargeback risk","offer/checkout/disclaimer/refund wording review","yellow","PM/Anton","sync with frontend gate"
"Support failure path ready","first unhappy client needs process","support gate PASS/WARN","red","Support/QA","test failure path"
"No-send notification proof","status communications safe and visible","no-send log/preview for key events","red","Igor/QA","test notification gate"
"Analytics and daily report","test must produce decision data","daily report with spend/clicks/leads/orders/SLA/refunds/quality","yellow","PM","connect data sources"
"Stop signals approved","know when to stop spend","approved STOP list: SLA, complaints, broken checkout, CAC, refund, no expert","yellow","Founder/PM","approve thresholds"
"No scaling before conclusions","first sales do not prove model","post-test report continue/fix/stop","red","PM/Founder","fill after test"
