Слой;Статус;Что уже сделал PM;Что не доказано;Proof;Что нужно для completion
Backend Confideline;желто;Доска ежедневной видимости админки;safe order id и связка заказ/чат/админка;admin-daily-visibility-execution-board.html;accepted proof от Игоря
Frontend Oracle/Nebula;желто;screen contract по слоям;живой проход сверстанных экранов;screen-crosslayer-acceptance-board.html;screen QA proof
Trello и план месяца;желто;регламент ведения и ссылки Blue Panel;факт выполнения всех июньских карточек;june-pm-execution-control.html;accepted/returned по каждой задаче
Blue Panel;зеленое;cockpit, proof pages, public links;актуализация после proof;launch-readiness-executive-status.html;вести как источник статуса
Документы и доверие;желто;acceptance board документов;final legal/payment gate;public-docs-checkout-acceptance-board.html;решения владельца
Обучение экспертов;желто;контур допуска E01-E05;0/5 accepted proof;e01-e05-expert-admission-execution-board.html;accepted proof по экспертам
Экспертский workspace;красное;критерии рабочего контура;end-to-end работа эксперта;owner-proof-next-actions.html;proof входа/назначения/ответа/начисления
Путь клиента;красное;маршрут проверки оффер-оплата-вопрос-ответ;нет контрольного заказа;prelaunch-qa-execution-control.html;safe order + QA
Support;красное;сценарий проблемного заказа;нет case proof;support-problem-state-execution-board.html;привязанный support case
Email/уведомления;красное;слой признан критичным;нет no-send proof;marketing-retention-pretraffic-execution-board.html;логи без отправки клиентам
QA перед трафиком;красное;QA01-QA12;нет READY для QA;prelaunch-qa-execution-control.html;PASS/WARN/STOP
Маркетинг и retention;желто;ограничения до трафика;нет CAC/LTV proof;marketing-retention-pretraffic-execution-board.html;purchase analytics + тестовый трафик
Аналитика покупки;красное;сформулированы обязательные связи;нет event proof;launch-readiness-executive-status.html;source/session/order/value proof
Legal/payment;красное;PM-пакет подготовки;нет seller/provider/descriptor/refund/geography;public-docs-checkout-acceptance-board.html;founder/legal/payment decisions
Командный процесс;зеленое;owner proof разделен по ролям;нужно дисциплинированно принимать результаты;owner-proof-next-actions.html;accepted/returned/blocked режим
Завершение PM-цели;красное;инфраструктура собрана;runtime/QA/experts/analytics/legal gates отсутствуют;pm-objective-coverage-live-2026-06-06.html;после proof обновить completion audit
