"Id","Area","Screen","Status","PublicCopyEN","UITextsEN","NotesRU","Gate"
"C01","Главная и оффер","Home / landing hero / popup","Готово как черновик для согласования","Get a personal text reading from a real advisor. Ask your question, choose a specialist, and receive a thoughtful written answer in your account. No pressure, no hidden subscription.","CTA: Ask your question; Secondary: How it works; Trust note: Written guidance for reflection and entertainment, not medical, legal, or financial advice.","Убираем platform-first мусор. Оффер сразу объясняет услугу: вопрос → эксперт → письменный ответ.","Founder/legal approval before publication"
"C02","Вход и регистрация","Login / signup / forgot password","Готово как UX-copy","Create your account to keep your readings, messages, receipts, and support history in one place.","Errors: Check your email and password; Consent: I agree to Terms, Privacy Policy and service disclaimer; Recovery: Send reset link.","Регистрация подается как часть покупки и сохранения консультации, а не абстрактный аккаунт.","Terms/Privacy links required"
"C03","Страницы услуг","Tarot / Astrology / Love / Palm / Psychic category pages","Готово как шаблон категории","Choose a topic and ask a focused question. Your advisor will reply in writing with practical guidance, key insights, and a clear next step.","Category CTA: Start a reading; FAQ: What can I ask? How long is the answer? Can I ask about relationships?","Шаблон должен вести в единый paid path, а не быть SEO-страницей без действия.","SEO/editor pass later"
"C04","Каталог и карточки экспертов","Advisor list / advisor profile","Готово как структура карточки","Advisor bio, specialties, languages, availability, response style, rating, completed readings, and safety note. Example: Relationship astrology, tarot spreads, life direction. Replies in English and Spanish.","Badges: Online soon; Fast responder; New advisor; Verified profile; CTA: Choose this advisor; Empty: No advisors match these filters yet.","Добавлены поля доверия и ранжирования: специализация, языки, доступность, рейтинг, количество ответов.","Backend fields/ranking rules required"
"C05","Покупка консультации","Checkout / payment states","Готово как checkout-copy с legal placeholders","Your written reading includes one personal question, advisor review, and a saved answer in your account. You will see the final price before payment.","Pay securely; Payment successful; Payment is still processing; Payment failed, try again; Receipt sent to your email; Refunds are reviewed under our Refund Policy.","Есть тексты success/fail/pending/refund boundary. Descriptor/provider остаются внешним gate.","Legal seller/payment/refund final wording"
"C06","Вопрос клиента","Question form after payment","Готово как форма запроса","Write one clear question. Add names, dates, relationship context, or the decision you are trying to make. Avoid medical, legal, financial, emergency, or third-party harm requests.","Placeholder: What would you like guidance on?; Hint: A focused question helps your advisor give a better answer; Limit: One topic per reading; Next: Send to advisor.","Форма помогает получить качественный запрос и снижает риск неподходящих тем.","Ksenia review useful, not blocker for PM draft"
"C07","Чат и ответ","Client chat / expert chat","Готово как статусы lifecycle","Your question has been sent. Your advisor is preparing a written answer. We will notify you when it is ready.","Sent; Advisor assigned; Advisor is writing; Answer ready; Need help? Contact support; Translation note: This message may be translated for clarity.","Связано с admin chat workspace; тексты нужны для платного lifecycle.","Backend events mapping required"
"C08","Личный кабинет клиента","Client dashboard / order history","Готово как кабинетный copy","Track your readings, open answers, download receipts, ask support, and start a new reading when you are ready.","No readings yet; View answer; Waiting for advisor; Ask another question; Contact support; Request review; Receipt","Клиент после оплаты должен видеть статус услуги, историю, помощь и повторную покупку.","Frontend screens/backend order status required"
"C09","Рабочее место эксперта/агента","Admin role tabs / expert workspace","Готово как operational copy","","New paid question; Reply deadline; Client context; Draft answer; Quality checklist; Send for review; Earnings; Profile assigned; Knowledge base","Это не публичный текст, а интерфейсные подписи и подсказки для эксперта/агента в админке.","Role permissions/backend tabs required"
"C10","Школа экспертов","Training panel v1","Готово как структура обучения","","Lesson; Practice task; Example answer; Common mistakes; Final test; Admission status; Reviewer comments; Ready for paid questions","Основано на извлеченных уроках 1-7. Полные материалы не публикуем публично, делаем адаптированную школу.","Ksenia factual review remains"
"C11","Support, жалобы, возвраты","Support ticket / refund states","Готово как support-copy с policy placeholders","Tell us what happened and select the reading related to your request. We review support and refund requests case by case under our policies.","Choose order; Problem type; Message; Submit request; We received your request; In review; Resolved; More information needed","Есть тексты для статусов обращения; финальная refund policy зависит от legal/founder.","Refund window/rules final approval"
"C12","Email и уведомления","Transactional email / notifications","Готово как событийный набор","","Email subjects: Confirm your email; Payment received; Your question was sent; Your answer is ready; Support request received; Password reset; Advisor reminder","Тексты событий синхронизированы с email-пакетом; реальные письма не отправлять до no-send QA.","Email implementation/no-send preview"
"C13","Юридика и FAQ","Terms / Privacy / Refund / Disclaimer / FAQ","Готово как HTML-ready draft boundary","This service provides spiritual and entertainment-oriented guidance. It does not replace professional medical, legal, financial, psychological, or emergency services.","Terms of Service; Privacy Policy; Refund Policy; Disclaimer; Contact support; Cookies; Payment terms","Публичные документы можно готовить HTML-ready, но публикация только после legal/payment/founder gate.","Legal approval required"
"C14","Блог и прогрев","Blog / warm-up services / related articles","Готово как контентный шаблон","Explore practical guides, symbolic interpretations, and reflection prompts. When you need a personal answer, ask an advisor directly.","Related readings; Ask about this topic; Continue reading; Popular questions; Disclaimer note","Не блокирует MVP, но дает основу SEO/прогрева и связанных сервисов.","Editorial calendar later"
"C15","Модерация и безопасность","Admin moderation / reports / bans","Готово как admin-copy","","Flag reason; Unsafe request; Off-platform contact; Refund risk; Quality issue; Shadow limit; Warning sent; Account restricted; Escalate to admin","Нужны тексты санкций, причин жалоб, теневых ограничений и эскалаций для админки.","Admin implementation required"
"C16","Аналитика и QA","QA report / readiness dashboard","Готово как язык управления запуском","","Ready; Needs attention; Stop traffic; Waiting for owner; Proof missing; Runtime verified; Content approved; Legal gate","Это словарь статусов, чтобы команда и заказчик одинаково понимали готовность.","QA runtime proof required"
