"Step","Event","Recipients","Need","Acceptance","Evidence"
"1","Заказ создан","клиент, админ","Зафиксировать, что покупка начата, но услуга еще не оказана","В журнале есть событие заказа, получатели, шаблон, переменные и статус no-send","Скрин события order_created и карточки заказа"
"2","Оплата успешна или тестово успешна","клиент, админ, поддержка","Подтвердить оплату и перевести клиента к вопросу","Success создает событие оплаты и уведомление со ссылкой на вопрос; failed/canceled дают другой статус","Скрин 4 статусов оплаты и no-send уведомлений"
"3","Клиент не написал вопрос после оплаты","клиент, поддержка","Напомнить, что для консультации нужен вопрос, и показать поддержку, если клиент застрял","Есть напоминание, ссылка на форму вопроса и очередь “оплачен без вопроса”","Скрин очереди и no-send напоминания"
"4","Вопрос принят","клиент, админ","Подтвердить, что запрос получен, срок ответа понятен, консультация готова к назначению","В карточке консультации есть событие вопроса, срок, тема, язык и статус","Скрин карточки консультации и события question_received"
"5","Консультация назначена","эксперт/агент, админ","Исполнитель получает новую работу, срок ответа и ссылку на чат","Назначение создает уведомление исполнителю и видно в рабочем месте","Скрин задачи исполнителя и no-send уведомления"
"6","Скоро истекает срок ответа","эксперт/агент, админ","Предупредить о риске просрочки до нарушения SLA","Есть событие предупреждения и оно связано с дедлайном консультации","Скрин дедлайна и предупреждения"
"7","Ответ отправлен","клиент, админ, аналитика","Сообщить клиенту, что ответ готов, открыть чат/оценку/поддержку и зафиксировать время ответа","Ответ меняет статус консультации и создает уведомление клиенту","Скрин ответа, статуса и no-send уведомления"
"8","Жалоба или обращение","поддержка, админ, модератор","Не потерять проблему клиента и связать ее с заказом, чатом, исполнителем и причиной","Созданное обращение сразу видно поддержке и модератору","Скрин карточки обращения и события complaint_created"
"9","Решение по проблеме","клиент, поддержка, админ","Сообщить итог: доработка, переназначение, компенсация, отказ или следующий шаг","Закрытие обращения создает событие решения и клиентский текст без реальной отправки","Скрин решения и no-send уведомления"
"10","Начисление или удержание исполнителю","эксперт/агент, админ","Показать исполнителю тестовое начисление, удержание или причину изменения","После закрытия консультации есть событие начисления, связанное с качеством и жалобами","Скрин начисления и уведомления исполнителю"
"11","Повторная покупка или follow-up","клиент, маркетинг","После ответа можно подготовить мягкий follow-up, но не запускать массовый маркетинг до согласования","Событие есть как будущий триггер, но не отправляется автоматически на старте","Скрин disabled/future-trigger статуса"
