"step","name","status","owner","proven","missing","next","proof"
"1","Клиент понимает предложение","yellow","PM + Антон","Есть дизайн-источники, публичная верстка и карта MVP-экранов.","Не доказано, что CTA ведет в правильную покупку и юридически корректно объясняет услугу.","Финализировать offer-proof для главной и одной страницы услуги.","oracle-nebula-mvp-screen-readiness-map.html|frontend-design-readiness-map.html"
"2","Клиент выбирает услугу или эксперта","red","PM + Игорь","Есть dating-база профилей/поиска и дизайн карточек экспертов.","Не утверждено правило старта: конкретный эксперт, очередь по категории или ручное назначение.","Зафиксировать стартовую модель для 5 экспертов и связать ее с заказом.","client-journey-readiness-map.html|confideline-admin-route-evidence-map.html"
"3","Регистрация не ломает покупку","yellow","Игорь + QA","Есть auth-экраны Nebula и backend-база Confideline.","Нет proof, что после входа/регистрации клиент возвращается к выбранной услуге.","Проверить маршрут guest -> signup/login -> продолжить покупку.","oracle-nebula-mvp-screen-readiness-map.html|backend-code-evidence-map.html"
"4","Создается тестовый заказ без списания денег","red","Игорь","Order/payment база найдена в коде; есть PM-пакеты test order.","Нет runtime proof на текущем сайте, что заказ создается и виден в админке как услуга.","Сделать/подтвердить тестовый заказ с payment states success/failed/canceled/pending.","backend-code-evidence-map.html|paid-consultation-test-flow.html|igor-test-order-consultation-handoff.html"
"5","Клиент задает вопрос","red","Игорь + PM","Сценарий вопроса описан в платном маршруте.","Не доказана связь order -> question -> consultation -> admin.","Добавить вопрос в test order и показать его клиенту, эксперту и админу.","service-session-first-runtime-slice.html|co2p-paid-consultation-service-session.html"
"6","Эксперт или агент получает задачу","red","Игорь + PM","Есть expert workspace handoff и admin route evidence.","Нет единой очереди консультаций с назначением, сроком и статусом работы.","Собрать минимальную очередь: назначено, в работе, просрочено, ответ отправлен.","expert-agent-workspace-readiness.html|confideline-admin-route-evidence-map.html"
"7","Ответ приходит в чат клиента","red","Игорь + QA","Messages/Conversations существуют; admin chat workspace подготовлен.","Нет proof, что сообщение относится именно к оплаченной консультации.","Проверить один test order: клиентский чат, экспертский/админский вид, transcript.","confideline-admin-route-evidence-map.html|service-session-first-runtime-slice.html"
"8","Уведомления фиксируют события","yellow","Игорь + QA","Notification/email база и email handoff есть; есть no-send подход.","Нет журнала no-send событий в полном маршруте consultation.","Привязать события заказа, вопроса, назначения, ответа, просрочки и support к no-send preview.","email-notifications-handoff.html|co2p-events-notifications-nosend-service-session.html"
"9","Поддержка видит проблему клиента","red","Игорь + PM","Есть support/refund handoff; Report/Block база найдена.","Нет карточки обращения, связанной с заказом, чатом, исполнителем и решением.","Сделать problem route: эксперт не ответил / клиент недоволен / оплата зависла.","support-refund-readiness.html|co2p-support-refund-service-session.html"
"10","Админ видит весь маршрут без ручного поиска","red","Игорь + PM","Найдены admin controllers для orders/messages/users/reports/settings.","Нет единой карточки консультации, где собраны заказ, вопрос, исполнитель, чат, уведомления, support.","Собрать admin consultation card или route, который закрывает daily operations.","confideline-admin-route-evidence-map.html|admin-ops.html"
"11","QA может доказать готовность перед рекламой","red","QA + PM","Есть шаблоны QA, сценарий и proof-пакеты.","Нет фактического runtime отчета со скринами по одному test order.","После внедрения запустить сквозной тест и получить PASS/WARN/STOP.","test-order-runtime-qa-report-template.html|pre-traffic-qa-decision-package.html"
"12","Маркетинг понимает, можно ли покупать трафик","red","PM","Есть маркетинговая карта, экономика первых продаж и условия перед трафиком.","Нет доказанного маршрута и фактических событий, поэтому CAC/LTV пока нельзя проверять деньгами.","Разрешать только после test order proof и минимального dashboard событий.","marketing-traffic-readiness.html|first-sales-economics.html|launch-before-traffic-action-plan.html"
