Источник;Роль;Статус;Что принимаем;Как PM работает;Что меняет;Когда blocker
"Trello: План на июнь";"рабочая доска месяца";"yellow";"Названия, постановка, чек-листы, вложения, комментарии и метка “обновить” являются текущим источником правок по задачам месяца.";"PM не переименовывает карточки. Перед изменениями нужен snapshot. Результат задачи ведет в Blue Panel.";"Статус задачи месяца, владелец, результат, ссылка на proof.";"Если нет доступа/API или карточка противоречит уже согласованному результату."
"Trello: Стратегия";"стратегический источник";"yellow";"Карточки, комментарии справа, вложения и архивные карточки дают историю решений и гипотез.";"PM должен перечитывать не только описание, но и комментарии/вложения/архив; выводы не считать фактом без подтверждения.";"Стратегические решения, пробелы, связь с master plan.";"Если закрыты вложения/Google-ссылки или невозможно извлечь смысл карточки."
"Google Docs/Sheets/Drive";"внешний источник документов";"yellow";"Таблицы, презентации, документы и файлы могут быть первичным источником контента, исследований, макетов и задач.";"PM извлекает содержимое, фиксирует ссылку, дату, что именно взято, и переводит в Blue Panel только проверяемый вывод.";"Контент, исследования, списки функций, правки Антона, email/templates, обучение.";"Если ссылка закрыта, нестабильна или документ не извлекается."
"Figma/PNG Oracle/Nebula";"источник фронта и визуальной задумки";"yellow";"Макеты показывают задуманный клиентский интерфейс, личный кабинет, чат и Nebula-упаковку.";"PM делает screen contract: страница, смысл, элементы, backend-связь, контент, ошибки, QA proof.";"Готовность экрана к передаче Игорю/Антону и QA.";"Если нет доступа к макету/экспорту или не видно ключевых экранов."
"Confideline backend/admin";"runtime-источник факта";"red";"Только фактический безопасный заказ, ID, логи, админские страницы и события доказывают готовность backend.";"PM не принимает “должно работать”. Нужны order_id/test_run_id, скрины, admin route, no-send, support state.";"Красный/желтый/зеленый статус запуска по backend/admin/client path.";"Если Игорь не дает route proof или невозможно пройти safe order."
"QA reports и тестировщик";"независимая проверка";"red";"QA-отчет со скринами и verdict PASS/WARN/STOP является фактом перед трафиком.";"PM запускает QA только после READY: safe order, E01, no-send/admin/support. Старые отчеты не доказывают новый запусковый путь.";"Go/no-go перед первым трафиком.";"Если нет входных данных или тестировщик не может пройти сценарий."
"Blue Panel";"сводный cockpit";"green";"Панель агрегирует решения, статусы, proof-ссылки и next action для Алексея, Заказчика и команды.";"Blue Panel не является первоисточником внешнего факта; она показывает, откуда факт взят и что он меняет.";"Навигация, статус, мастер-план, доказательная база, handoff.";"Если ссылка битая, страница перегружена или источник не указан."
"Чат с пользователем и решения PM";"контекст и решение";"yellow";"Чат задает требования, ограничения, смысл и приоритеты.";"PM переносит важные решения в Blue Panel/реестр, но не использует память чата как единственный proof.";"Правила процесса, роли, ограничения, формат подачи, приоритеты.";"Если требование противоречит текущей Trello-карточке или требует founder decision."
"AskNebula/PbExpert/конкуренты";"исследование и benchmark";"yellow";"Материалы конкурентов дают примеры воронки, обучения, скриптов, регламентов, механик удержания.";"PM критически адаптирует под нашу легальную и прозрачную модель; competitor proof не доказывает готовность нашего сайта.";"Контент школы, регламент, маркетинговые гипотезы, UX-паттерны.";"Если нет ссылки на конкретный материал/урок/скрин или источник нельзя проверить."
"Игорь";"владелец backend/runtime proof";"red";"Дает факты по backend, admin route, safe order, events, no-send, support, analytics.";"PM принимает только конкретный результат: ID, ссылка, скрин, путь, ограничение, blocker.";"Backend/admin/client path статус.";"Если ответ общий, без маршрута и доказательств."
"Ксения";"ревизор обучения и экспертов";"yellow";"Помогает проверить понятность обучения, собрать данные E01-E05, дать эзотерическую sanity-check оценку.";"PM сам делает экспертную структуру; Ксения не является главным аналитиком, а ревизором и исполнителем пошаговых задач.";"Допуск экспертов, пробные ответы, SLA, готовность к QA.";"Если нет заполненного листа/скрина/ответа по конкретному эксперту."
"Антон";"владелец дизайн-правок";"yellow";"Делает дизайн по примеру AskNebula и правки по фронту/визуалу.";"PM формирует screen contract и сверяет макет с backend/контентом/QA, а не принимает красивый экран как готовую функцию.";"Готовность фронта к верстке и передаче Игорю.";"Если макет не связан с функцией, текстом или backend."
"Founder/legal/payment decisions";"решения владельца";"red";"Legal seller, payment provider, descriptor, refund path, geography и реальные публикации требуют отдельного утверждения.";"PM готовит варианты, риски и HTML-ready пакет, но не утверждает вместо владельца.";"Go/no-go для checkout, public LP, платежей и трафика.";"Всегда blocker, если решение не принято владельцем."
