Работа июня,Статус,Результат для Заказчика,Пакет команде,Проверка/QA,Главная ссылка,Дополнительная ссылка,Следующее действие
"Email-шаблоны, уведомления и рассылки",Желтый,"Заказчик видит, какие письма/уведомления нужны в сервисе и где они появляются в пути клиента.","Игорю: события, получатели, шаблоны, переменные, preview, no-send режим, ошибки и журнал.","QA проверяет, что на контрольном заказе события созданы, но реальные письма/сообщения не ушли.",co2p-events-notifications-nosend-service-session.html,notification-event-nosend-gate.html,Получить timeline no-send на контрольном заказе.
Чат в админке для экспертов,Желтый,"Заказчик видит, как эксперт работает с консультацией внутри админки.","Игорю: рабочее место, назначение заказа, вопрос, ответ, статусы, видимость админа, связь с начислениями.","QA проверяет, что эксперт получил задачу, ответил, а админ видит весь путь.",expert-runtime-proof-register.html,co2p-expert-agent-workspace-service-session.html,Проверить на безопасном заказе с допущенным исполнителем.
Доступ эксперта и рабочие вкладки,Красный,"Заказчик видит, какие вкладки и права нужны эксперту/агенту для работы без лишней админки.","Игорю: роли, доступы, назначение анкет, ограничения, начисления, видимость только своих задач.","QA проверяет вход под ролью, доступные вкладки, невозможность видеть лишнее и выполнение заказа.",co2p-expert-agent-workspace-service-session.html,expert-runtime-proof-register.html,Собрать роль/доступ и доказать назначение реального исполнителя.
Панель обучения экспертов,Красный,"Заказчик видит, как первые 5 экспертов проходят обучение и ручной допуск.","Ксении: ревизия понятности уроков, тестов, примеров ответов; PM ведет контур и критерии допуска. Игорю позже: экран школы/доступов.","QA/PM проверяет журнал допуска: уроки, тест, пробный ответ, SLA, доступ, анкета.",first-five-expert-admission-gate.html,first-five-expert-admission-journal.html,Допустить минимум одного исполнителя до QA и всех 5 до первого трафика.
Регламент работы эксперта,Желтый,"Заказчик видит правила качества: сроки, тон, запреты, продажи, эскалации и санкции.",Ксении: проверить понятность и применимость. Экспертам: регламент v1. QA: чек-лист качества ответа.,"QA проверяет пробный ответ по регламенту и фиксирует, где правило работает/не работает.",expert-work-regulation-v1.html,first-five-expert-admission-proof-contract.html,Проверить регламент на пробном ответе одного эксперта.
Контрольный заказ от клиента до ответа,Красный,Заказчик видит фактический отчет: сервис может или не может провести первую консультацию.,"Игорю: safe order, question binding, executor, answer, support, no-send события, admin timeline.",QA проходит путь клиент/эксперт/админ и выдает PASS/WARN/STOP со скринами.,test-order-runtime-public-report-shell.html,qa-test-order-execution-brief.html,Получить рабочий путь от Игоря и запустить QA.
Support и проблемные ситуации,Красный,"Заказчик видит, что жалоба, просрочка или плохой ответ не потеряются.","Игорю: support case, статусы, владелец, связь с заказом, эскалация, решение, журнал.",QA моделирует проблему и проверяет создание/закрытие кейса.,support-failure-state-gate.html,co2p-support-refund-service-session.html,Смоделировать проблемный сценарий на test order.
"Реестр страниц, экранов и связей с backend",Желтый,"Заказчик видит не просто список экранов, а что по каждому есть: дизайн, функция, текст, ошибки, QA.",Антону: правки экранов. Игорю: backend/admin связь. PM: контент и failure states.,"QA проверяет только те экраны, где есть понятный сценарий и backend-связь.",frontend-screen-backend-content-gate.html,screen-backend-content-control.html,Закрыть красные paid-flow экраны контрольного заказа.
Маркетинг и первый трафик,Красный,"Заказчик видит, почему рекламу нельзя включать сейчас и какие условия снимут запрет.","PM: каналы, офферы, stop-правила, CAC/LTV preflight, capacity первых 5 экспертов.","QA/PM подтверждает, что сервис выдерживает первый поток без потери заказов и жалоб.",first-traffic-capacity-economy-gate.html,first-traffic-cac-ltv-calculator.html,"Ждать QA PASS/WARN, capacity proof, legal/payment решения."
Документы сайта и дисклеймеры,Красный,"Заказчик видит, какие Terms/Privacy/Refund/disclaimer/FAQ нужны до checkout и рекламы.","PM: HTML-ready тексты и места размещения. Основатель/legal: юрлицо, provider, descriptor, refund, география.","QA проверяет наличие ссылок, понятность checkout wording и отсутствие противоречий в публичном пути.",legal-trust-launch-gate.html,co2p-legal-checkout-public-docs.html,"Подготовить пакет, но не считать gate закрытым до founder/legal/payment решений."
Стратегия и мастер-план для Заказчика,Зеленый,"Заказчик видит короткий мастер-план, статус, июньские работы и ссылки на доказательства.","PM: поддерживать Blue Panel, proof-ссылки, Trello-результаты и публичные версии без смены названий карточек.","Проверка: ссылки открываются, статусы не противоречат реестру доказательств, страница понятна без PM-инструкции.",alexey-master-plan.html,pm-current-state-proof-ledger.html,После каждого фактического результата обновлять светофор и публичную страницу.
Стандарт передачи задач команде,Желтый,"Заказчик видит, что команда получает задачи не “на словах”, а пакетами с результатом и приемкой.","Игорю/Антону/Ксении/QA: задача, контекст, макет/контент, backend-связь, критерии, ожидаемый proof.","QA проверяет по заранее описанному результату, а не по догадкам после внедрения.",co2p-runtime-implementation-handoff-index.html,team-ready-request-packets.html,Довести каждую июньскую задачу до пакета передачи и QA-критериев.
