Блок;Что готовим сейчас;Что должно быть доказано перед запуском;Статус сейчас;Можно ли делать PM без ожидания;Решение
Оффер первой покупки;Цена, формат, срок ответа, CTA, FAQ, ограничения, тексты LP/checkout/email;Оффер совпадает на лендинге, checkout и service email;готовить;Да;Собрать один starter offer без подписки
Trust и документы;Terms, Privacy, Disclaimer, Refund review, FAQ, consent wording;HTML-ready документы и owner/legal/payment gate;частично;Да, кроме утверждения legal/payment;Готовить пакет, не публиковать финально без решений
QA первого заказа;Маршрут и checklist подготовлены;QA PASS/WARN по safe order;нет proof;Нет, нужен Игорь/QA;Paid traffic запрещен
5 экспертов;Методика допуска, scorecard, journal, capacity table;E01-E05 имеют accepted proof, SLA и дневные лимиты;0/5 proof;Частично;Без capacity реклама создаст просрочки
Purchase analytics;Схема полей и daily report;source/session/order/value/currency/service/expert/support связаны на test order;нет proof;Частично;CAC/LTV невалидны до proof
Email service;События заказа, вопроса, назначения, ответа, support;No-send event log/preview по контрольному заказу;нет runtime proof;Да по текстам, нет по runtime;Без статусов клиент теряется
Email retention;Follow-up, next question, soft repeat, consent/отписка;No-send templates + consent/suppression rules;подготовка;Да;Retention готовить после service emails
Organic/PR/UGC;Темы, whitelist площадок, draft briefs, disclosure правила;Approved drafts без fake reviews и без внешней публикации;подготовка;Да;Можно готовить, не публиковать
Ad policy preflight;Чек-лист запрещенных обещаний, sensitive claims, fear pressure;Каждый креатив проверен до запуска;правила есть;Да;Без exact predictions и guarantees
Daily traffic report;Шаблон отчета: spend, orders, CAC, SLA, support, repeat signals;Первый день заполняется фактами из analytics/order/support;шаблон есть;Да;Использовать только после gates
