scenario,badge_code,badge_name_ru,semantic_scope,visibility_scope,include_condition,remove_condition,default_ttl_or_window,compatibility_or_priority,normalized_source,manual_override,notes
Chats,chats_sell,Sell,dialog_action,Chats Left Center,"offer_eligible=true; no Live, PP, Skeptic or Risk","offer sent; session started; blocker opened; sale closed",,"Hidden by Live PP Skeptic Risk","offer_eligibility / consultation_request","No direct badge override; underlying sale decision with audit","Internal signal for Expert/Agent to offer paid consultation"
Chats,chats_live,Live,session_operational,Chats Left Center Right,"session started and status is active, paused or reconnecting; connecting is not Live","manual completion by Expert/Agent or terminal/technical end after timeout",,"Hides Sell; remains during pause and reconnect","session_read_model / consultation.started / session.paused / session.reconnecting","No direct badge override","Temporary pause or reconnect does not remove Live"
Chats,chats_payment_process,PP,client_payment_flow,Relevant Chats cards,"client started wallet top-up or checkout; payment status pending processing or requires_action","succeeded failed cancelled expired or TTL","60m or provider TTL, whichever is earlier","Hides Sell; can coexist with Paid Live Trial","wallet_topup.started / payment.process_started / payment.status_changed","No direct badge override","Temporary signal: do not distract a client currently paying"
Chats,chats_paid,Paid,global_client_history,Chats cards for the client,"at least one confirmed successful wallet top-up exists in client history","Only by explicit financial rollback or chargeback policy; not by consultation completion",,"Compatible with PP Live Trial Revive; does not require a consultation","wallet_topup.succeeded / client_payment_history","No direct badge override","Not a consultation debit and not pair-scoped"
Chats,chats_trial,Trial,session_entitlement,Related Chat/session,"active consultation trial phase with remaining minutes greater than zero","trial exhausted expired or session leaves trial",,"May coexist with Live and Paid","trial_entitlement / trial.started / trial.exhausted","No direct badge override","Trial is a phase of the same consultation"
Chats,chats_skeptic,Skeptic,sale_objection,Chats card for dialog,"open structured skeptic_case with reason","case resolved closed accepted or declined",,"Hides Sell","skeptic_case / sale_objection_read_model","Underlying case only; mandatory reason and audit","Operational caution before sale"
Chats,chats_revive,Revive,dialog_reengagement,Related Chats card,"active revive_context for return to an unfinished or resumable context","client returned and session active; context closed or expired","24h default; admin-managed","Compatible with Paid; does not arise from Paid or PP alone","revive_context / return_context","Underlying context only; audit required","Exact opening event must be implemented explicitly"
Chats,chats_risk,Risk,pair_risk,Chats card for client-expert pair,"unresolved policy support safety or quality incident for the pair","incident resolved closed or expired by policy",,"Hides Sell; Safe may replace it in Chats","risk_incident / policy / quality / support","Staff or super-admin changes incident with reason and audit","Pair-scoped"
Chats,chats_safe,Safe,pair_safety_decision,Chats card for client-expert pair,"positive safety decision after review with author reason time and scope","new Risk; new review; decision expiry",,"Replaces Risk only in Chats; never shown in Pings","safety_decision / risk.resolved","Staff or super-admin decision with mandatory audit","Pair-scoped positive decision"
Chats,chats_coupon,Coupon,client_grant,Relevant Chats cards,"bonus or compensation coupon/credit grant is committed and currently valid","grant consumed expired or revoked",,"Does not hide Sell; request or available discount alone is insufficient","credit_grant.committed / coupon.grant","No direct badge override; grant must be audited","Open coupon_request is an internal process, not this badge"
Pings,pings_fire,Fire,lead_freshness,Pings Left Center,"open Ping age is 0-15 minutes","next freshness band; handling; conversion; close; expiry","15m default; admin-managed","Fire > Hot > NEW; only one freshness badge","ping.created_at / freshness_config","No direct badge override","Default window, not frontend hardcode"
Pings,pings_hot,Hot,lead_freshness,Pings Left Center,"open Ping age is 15-60 minutes","NEW band; handling; conversion; close; expiry","60m default; admin-managed","Below Fire and above NEW","ping.created_at / freshness_config","No direct badge override","Default window, not frontend hardcode"
Pings,pings_new,NEW,lead_freshness,Pings Left Center,"open Ping age is 1-24 hours","24h boundary; handling; conversion; close; expiry","24h default; admin-managed","Below Fire and Hot","ping.created_at / freshness_config","No direct badge override","Default window, not frontend hardcode"
Pings,pings_paid,Paid,global_client_history,Pings card for the client,"client has at least one confirmed successful wallet top-up","Only by explicit financial rollback or chargeback policy",,"Compatible with other non-conflicting Pings badges","wallet_topup.succeeded / client_payment_history","No direct badge override","Same global Paid fact as Chats; not paid intent for a particular lead"
Pings,pings_reply,Reply,lead_turn_ownership,Pings Left Center,"client sent first message or action that requires Expert response","Expert response saved; conversion; close; expiry",,"XOR Await","message.saved / outstanding_action","No direct badge override","If client sends the first message, the item is Chats with Reply, not Pings"
Pings,pings_await,Await,lead_turn_ownership,Pings Left Center,"Expert outreach is saved and delivered; client response is expected","client response; conversion; close; expiry",,"XOR Reply","ping.outreach_sent / message.delivered / outstanding_action","No direct badge override","Expert outreach alone does not convert Ping to Chats"
Pings,pings_revive,Revive,lead_reengagement,Pings card,"active revive_context attached to Ping","client returns; context closed; context expires","24h default; admin-managed","Contextual; does not replace Reply or Await","revive_context / return_context","Underlying context only; audit required","Exact opening event must be implemented explicitly"
Pings,pings_trial,Trial,client_entitlement,Pings card,"unused trial entitlement exists and remaining minutes are greater than zero","trial activated exhausted expired; lead converted or closed",,"May coexist with freshness and Paid","trial_entitlement / trial.issued","No direct badge override","In Pings it means available entitlement, not an active timer"
Pings,pings_risk,Risk,lead_pair_risk,Pings card,"active risk incident belongs to the Ping or its client-expert pair","incident resolved closed or expired",,"Safe is never shown in Pings","risk_incident / lead_risk_read_model","Staff or super-admin decision with mandatory audit","Safe is a Chats-only projection"
