Раздел,ID,Название,Статус,PM-решение,Proof
Поля,LANG-01,Язык клиента,Красный,Хранить язык клиента в клиентской карточке заказе и support,Нужен runtime proof
Поля,LANG-02,Язык заказа,Красный,Фиксировать язык итогового ответа в order/service session,Нужен runtime proof
Поля,LANG-03,Языки эксперта,Желтый,Использовать при назначении и capacity,Нужно проверить текущие поля профиля
Поля,LANG-04,Язык ответа,Красный,Фиксировать язык фактического ответа в transcript/QA,Нужен runtime proof
Поля,LANG-05,Факт и метод перевода,Красный,Показывать translation/review marker в audit log,Нужен runtime proof
Сценарий,S01,English to English,Зеленый,Основной MVP-сценарий для US/UK трафика,Проверить на test order
Сценарий,S02,Expert draft to English answer,Желтый,Разрешить только после review и audit marker,Проверить на пробном ответе
Сценарий,S03,Client non-English to English support fallback,Желтый,Не продвигать платно без готовой локали,Support сценарий
Сценарий,S04,Auto translation as final answer,Красный,Запретить без human review,Quality stop
AC,AC01,Test order с языком English,Красный,Язык заказа виден в service session,Скрин order/session
AC,AC02,Назначение эксперта по языку,Красный,Админ видит соответствие языков,Скрин assignment
AC,AC03,Workspace показывает язык ответа,Красный,Исполнитель видит требования к языку,Скрин workspace
AC,AC04,Ответ хранится как English answer,Красный,Ответ связан с order/session,Скрин chat/transcript
AC,AC05,Translation/review audit marker,Красный,Видно кто подтвердил качество перевода,Audit log
AC,AC06,Жалоба на язык/перевод,Красный,Support видит язык заказа ответа и эксперта,Support case
