Список;Карточка;Статус;Слой;Что видно;Чего не хватает;Proof;Следующий владелец;PM-действие;Blue;Trello
"План на июнь";"Отчет за июнь";"желтый";"Отчетность месяца";"9 влож., 0 комм., 0 чекл., описание: да";"Нужны фактические результаты месяца, статусы задач, причины незавершения и итоговый процент выполнения.";"Месячный отчет с задачами, статусами, ссылками на результаты и итоговым процентом.";"PM";"Держать как финальный отчетный контейнер, заполнять после accepted/returned proof.";"june-plan.html";"https://trello.com/c/9esE7cSp/131-%D0%BE%D1%82%D1%87%D0%B5%D1%82-%D0%B7%D0%B0-%D0%B8%D1%8E%D0%BD%D1%8C"
"План на июнь";"проанализировать вес контент из группы Небула и составить список непонятных вещей, вопросов и тд которые далее проработаем";"желтый";"Контент и банк знаний";"0 влож., 0 комм., 0 чекл., описание: нет";"Нужно извлечь контент из источников Nebula, разделить на готовые тексты, вопросы, пробелы и решения.";"Контент-реестр: источник, что взято, где используется, что требует решения.";"PM";"Закрывать автономно как часть контент-реестра и базы знаний.";"launch-content-source-register-2026-06-06.html";"https://trello.com/c/LzB7e7qX/116-%D0%BF%D1%80%D0%BE%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D0%B7%D0%B8%D1%80%D0%BE%D0%B2%D0%B0%D1%82%D1%8C-%D0%B2%D0%B5%D1%81-%D0%BA%D0%BE%D0%BD%D1%82%D0%B5%D0%BD%D1%82-%D0%B8%D0%B7-%D0%B3%D1%80%D1%83%D0%BF%D0%BF%D1%8B-%D0%BD%D0%B5%D0%B1%D1%83%D0%BB%D0%B0-%D0%B8-%D1%81%D0%BE%D1%81%D1%82%D0%B0%D0%B2%D0%B8%D1%82%D1%8C-%D1%81%D0%BF%D0%B8%D1%81%D0%BE%D0%BA-%D0%BD%D0%B5%D0%BF%D0%BE%D0%BD%D1%8F%D1%82%D0%BD%D1%8B%D1%85-%D0%B2%D0%B5%D1%89%D0%B5%D0%B9-%D0%B2%D0%BE%D0%BF%D1%80%D0%BE%D1%81%D0%BE%D0%B2-%D0%B8-%D1%82%D0%B4-%D0%BA%D0%BE%D1%82%D0%BE%D1%80%D1%8B%D0%B5-%D0%B4%D0%B0%D0%BB%D0%B5%D0%B5-%D0%BF%D1%80%D0%BE%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D0%B0%D0%B5%D0%BC"
"План на Июнь";"Продумать ЗП для сотрудников";"желтый";"Оплата и мотивация команды";"4 влож., 0 комм., 1 чекл., описание: да";"Нет утвержденных ставок, валюты, периода выплат, удержаний, бонусов и связи с качеством/SLA.";"Decision log владельца + модель начислений + правила отображения в кабинете/админке.";"Founder + PM";"PM готовит варианты и риски; основатель утверждает финальные параметры.";"expert-agent-compensation-handoff.html";"https://trello.com/c/bNsEmcDz/291-%D0%BF%D1%80%D0%BE%D0%B4%D1%83%D0%BC%D0%B0%D1%82%D1%8C-%D0%B7%D0%BF-%D0%B4%D0%BB%D1%8F-%D1%81%D0%BE%D1%82%D1%80%D1%83%D0%B4%D0%BD%D0%B8%D0%BA%D0%BE%D0%B2"
"План на Июнь";"Школа экспертов для первых 5 экспертов";"желтый";"Школа и допуск экспертов";"8 влож., 0 комм., 1 чекл., описание: да";"Нет accepted proof по E01-E05: прохождение, пробный ответ, SLA, назначенная анкета, verdict допуска.";"Лист допуска E01-E05 с accepted/returned по каждому эксперту.";"PM + Ксения";"Довести школу до admission-процесса, затем принять E01 для QA и E01-E05 для трафика.";"expert-launch-admission-control-2026-06-06.html";"https://trello.com/c/36nRKvdb/302-%D1%88%D0%BA%D0%BE%D0%BB%D0%B0-%D1%8D%D0%BA%D1%81%D0%BF%D0%B5%D1%80%D1%82%D0%BE%D0%B2-%D0%B4%D0%BB%D1%8F-%D0%BF%D0%B5%D1%80%D0%B2%D1%8B%D1%85-5-%D1%8D%D0%BA%D1%81%D0%BF%D0%B5%D1%80%D1%82%D0%BE%D0%B2"
"План на Июнь";"Проверка страниц и функций перед запуском рекламы";"красный";"Pre-traffic QA и страницы";"14 влож., 0 комм., 1 чекл., описание: да";"Нет runtime QA, capacity 5 экспертов, purchase analytics, docs/payment approval и go/no-go решения.";"QA PASS/WARN, purchase analytics на safe order, capacity proof и founder go/no-go.";"PM + QA + Founder";"Готовить материалы можно; paid traffic и public checkout запрещены до gates.";"prelaunch-qa-capture-sheet-2026-06-06.html";"https://trello.com/c/A4zqo2EI/304-%D0%BF%D1%80%D0%BE%D0%B2%D0%B5%D1%80%D0%BA%D0%B0-%D1%81%D1%82%D1%80%D0%B0%D0%BD%D0%B8%D1%86-%D0%B8-%D1%84%D1%83%D0%BD%D0%BA%D1%86%D0%B8%D0%B9-%D0%BF%D0%B5%D1%80%D0%B5%D0%B4-%D0%B7%D0%B0%D0%BF%D1%83%D1%81%D0%BA%D0%BE%D0%BC-%D1%80%D0%B5%D0%BA%D0%BB%D0%B0%D0%BC%D1%8B"
"План на Июнь";"Новый макет страны / города";"желтый";"Отдельный geo-поток";"0 влож., 0 комм., 1 чекл., описание: да";"Нужно отделить geo-поток от Nebula MVP, чтобы он не искажал июньскую загрузку и launch readiness.";"Отдельная отметка/связь в Blue Panel: не входит в ядро Nebula MVP.";"PM";"Не смешивать с запусковой матрицей Nebula; учитывать как отдельную параллельную работу.";"trello-bluepanel-sync-control-2026-06-06.html";"https://trello.com/c/PrkrhWqN/297-%D0%BD%D0%BE%D0%B2%D1%8B%D0%B9-%D0%BC%D0%B0%D0%BA%D0%B5%D1%82-%D1%81%D1%82%D1%80%D0%B0%D0%BD%D1%8B-%D0%B3%D0%BE%D1%80%D0%BE%D0%B4%D0%B0"
"Стратегия";"ТЗ. Авто продвижение анкет агентов на сайте";"желтый";"Ранжирование и видимость экспертов";"0 влож., 1 комм., 0 чекл., описание: нет";"Нет runtime QA, capacity 5 экспертов, purchase analytics, docs/payment approval и go/no-go решения.";"QA PASS/WARN, purchase analytics на safe order, capacity proof и founder go/no-go.";"PM + QA + Founder";"Готовить материалы можно; paid traffic и public checkout запрещены до gates.";"expert-visibility-moderation-control.html";"https://trello.com/c/bAu5gL1l/245-%D1%82%D0%B7-%D0%B0%D0%B2%D1%82%D0%BE-%D0%BF%D1%80%D0%BE%D0%B4%D0%B2%D0%B8%D0%B6%D0%B5%D0%BD%D0%B8%D0%B5-%D0%B0%D0%BD%D0%BA%D0%B5%D1%82-%D0%B0%D0%B3%D0%B5%D0%BD%D1%82%D0%BE%D0%B2-%D0%BD%D0%B0-%D1%81%D0%B0%D0%B9%D1%82%D0%B5"
"Стратегия";"seo-аудит от Оли";"желтый";"SEO и внешнее продвижение";"0 влож., 1 комм., 0 чекл., описание: да";"SEO-аудит не связан с текущим go/no-go первого платного трафика и не доказывает готовность сайта.";"Список SEO-задач, отделенный от first paid traffic gate и launch readiness.";"PM";"Использовать как pre-traffic подготовку, не как разрешение на запуск.";"marketing-ltv-acquisition-control.html";"https://trello.com/c/OoNR6BFT/237-seo-%D0%B0%D1%83%D0%B4%D0%B8%D1%82-%D0%BE%D1%82-%D0%BE%D0%BB%D0%B8"
"Стратегия";"AI-ассистент по сводке диалога для экспертов и советы";"желтый";"Школа и допуск экспертов";"0 влож., 0 комм., 0 чекл., описание: да";"Нет accepted proof по E01-E05: прохождение, пробный ответ, SLA, назначенная анкета, verdict допуска.";"Лист допуска E01-E05 с accepted/returned по каждому эксперту.";"PM + Ксения";"Довести школу до admission-процесса, затем принять E01 для QA и E01-E05 для трафика.";"expert-launch-admission-control-2026-06-06.html";"https://trello.com/c/lj6vnWeG/259-ai-%D0%B0%D1%81%D1%81%D0%B8%D1%81%D1%82%D0%B5%D0%BD%D1%82-%D0%BF%D0%BE-%D1%81%D0%B2%D0%BE%D0%B4%D0%BA%D0%B5-%D0%B4%D0%B8%D0%B0%D0%BB%D0%BE%D0%B3%D0%B0-%D0%B4%D0%BB%D1%8F-%D1%8D%D0%BA%D1%81%D0%BF%D0%B5%D1%80%D1%82%D0%BE%D0%B2-%D0%B8-%D1%81%D0%BE%D0%B2%D0%B5%D1%82%D1%8B"
"Стратегия";"AI-ассистент на сайт (сбор инфы)";"желтый";"AI-помощники и автоматизация";"0 влож., 1 комм., 0 чекл., описание: да";"Нужно определить, какую задачу ассистент решает в core flow и не мешает ли запуску MVP.";"Мини-PRD: сценарий, данные, ограничения, безопасность, место в roadmap после core proof.";"PM + Игорь";"Отложить в дочернюю инициативу до доказанного платного пути.";"pm-autonomous-evidence-workqueue-2026-06-06.html";"https://trello.com/c/egrNDweI/261-ai-%D0%B0%D1%81%D1%81%D0%B8%D1%81%D1%82%D0%B5%D0%BD%D1%82-%D0%BD%D0%B0-%D1%81%D0%B0%D0%B9%D1%82-%D1%81%D0%B1%D0%BE%D1%80-%D0%B8%D0%BD%D1%84%D1%8B"
