id,proof,status,owner,evidence,why,next
RP01,Safe test order,red,Игорь,"Order id, test/sandbox/mock marker, сумма, валюта, подтверждение отсутствия реального списания.",Без этого любой checkout/QA несет риск боевого платежа.,Игорю подтвердить safe mode или дать mock/test route.
RP02,Admin order visibility,red,Игорь + QA,"Скрин/лог: заказ виден в админке с клиентом, услугой, суммой, статусом и test marker.","PM не может считать заказ управляемым, если админ его не видит.",Показать admin route и обязательные поля.
RP03,Question binding,red,Игорь,"Один вопрос связан с order/session/client/service/language и виден клиенту, админу, исполнителю.",Без связи вопроса с заказом услуга превращается в ручной чат без управляемого продукта.,Связать order -> question -> service session/task.
RP04,Service session / consultation card,red,Игорь,"Единая карточка: order, question, client, status, deadline, performer, chat, support, events.",Это операционное ядро услуги и главный объект контроля админки.,Собрать минимальный runtime slice.
RP05,Expert/agent assignment and workspace,red,Игорь + QA,"Исполнитель назначен, видит задачу, вопрос, срок, контекст, поле ответа и статус после ответа.",Без рабочего места нельзя проверить качество и SLA услуги.,Проверить на тестовом заказе.
RP06,Answer delivery,red,Эксперт/агент + QA,Ответ связан с консультацией и виден клиенту/админу по правам; transcript сохраняется.,Это фактическая доставка ценности клиенту.,Провести один тестовый ответ по регламенту.
RP07,No-send event timeline,red,Игорь + QA,Event log/preview по ключевым событиям с no-send marker; реальные письма/уведомления не уходят.,"Уведомления критичны, но нельзя рисковать реальными клиентами.",Включить no-send mode и снять лог.
RP08,Support case,red,PM + QA + Игорь,Обращение/тикет связан с order/session/chat/expert/reason/decision.,Первый негативный сценарий должен быть управляемым до трафика.,Смоделировать один безопасный problem state.
RP09,Quality and compensation preview,yellow,PM + Игорь,Quality note и test compensation preview без реальной выплаты.,"Не блокирует первый QA, но нужен для управления экспертами и агентами.",Оставить как желтый долг после core runtime.
RP10,QA public report,red,QA + PM,"Публичный отчет PASS/WARN/STOP со скринами, raw evidence, дефектами, рисками и next action.",Без отчета нельзя менять launch readiness и включать трафик.,Публиковать только после выполнения RP01-RP08.
