ID;Автономная работа;Статус;Владелец;Что PM делает сам;PM-результат;Граница;Ссылка
"AB01";"Blue Panel и proof-связность";"зеленый";"PM / Codex";"Поддерживать страницы, CSV, link audit и внешние ссылки после каждого результата";"Опубликованная страница + CSV + 0 битых ссылок";"Не доказывает работу сайта без runtime proof";"blue-panel-link-audit.html"
"AB02";"HTML-ready документы и checkout wording";"желтый";"PM / Codex";"Готовить Terms, Privacy, Disclaimer, Refund wording, FAQ, consent texts и места размещения";"Пакет текстов для ревизии, не финальная публикация";"Нужны seller/provider/descriptor/refund/geography/legal решения";"legal-public-docs-checkout-pack.html"
"AB03";"Экранные контракты paid-flow";"желтый";"PM / Codex";"Свести offer, checkout, question, chat/result, support, FAQ: экран -> backend -> текст -> error states -> QA";"Сценарные контракты для Антона/Игоря";"Нужны макеты/верстка/backend/runtime proof";"screen-backend-content-control.html"
"AB04";"Пакет контрольного заказа";"желтый";"PM / Codex";"Держать fixture, readiness gate, acceptance contract, QA brief, proof capture sheet актуальными";"Команда понимает, что именно показать для AC01-AC09 и QA";"Игорь должен дать runtime proof";"test-order-execution-ready-pack.html"
"AB05";"No-send события и уведомления";"желтый";"PM / Codex";"Поддерживать список событий, получателей, переменных, preview и suppression rules";"No-send matrix готова к заполнению логом";"Нужен event log на тестовом заказе";"notification-event-nosend-gate.html"
"AB06";"Support/failure scenario";"желтый";"PM / Codex";"Описать один безопасный problem state: просрочка/жалоба/плохой ответ, expected ticket и decision path";"Acceptance matrix для support-case";"Нужен runtime support case";"support-failure-state-gate.html"
"AB07";"Школа и регламент экспертов";"желтый";"PM / Codex";"Держать структуру школы, регламент, тестовый кейс, scorecard и задачу Ксении";"Пакет ревизии и admission journal готов";"Нужны реальные пробные ответы и статусы 5 экспертов";"first-five-expert-admission-execution-pack.html"
"AB08";"QA-пакет перед трафиком";"зеленый";"PM / Codex";"Поддерживать QA route, expected results, screenshot naming, PASS/WARN/STOP shell";"QA может стартовать сразу после READY от Игоря";"Без READY и runtime proof QA не запускается";"qa-test-order-execution-brief.html"
"AB09";"Маркетинг preflight без запуска рекламы";"желтый";"PM / Codex";"Готовить офферы, CAC/LTV поля, stop-сигналы, daily report, capacity limits";"Go/no-go рамка первого трафика готова";"Нужны QA verdict, capacity, legal/payment decisions";"first-traffic-capacity-economy-gate.html"
"AB10";"Trello result package";"желтый";"PM / Codex";"Готовить короткие ссылки результата для карточек, не меняя названия и постановку без команды";"Для каждой выполненной задачи есть Blue Panel proof-link";"Trello редактировать только по команде/факту";"trello-june-fact-status.html"
"AB11";"Daily/weekly/monthly PM reporting";"желтый";"PM / Codex";"Поддерживать daily control room, weekly update logic и месячный отчетный skeleton";"PM понимает, что проверять каждый день и как отчитываться";"Финальный отчет требует фактов месяца";"pm-daily-control-room.html"
"AB12";"Proof-inbox discipline";"зеленый";"PM / Codex";"Вести expected/received/accepted/returned/blocked proof от команды";"Любой входящий факт попадает в inbox и меняет статус только после accepted";"Нужны фактические входы от команды";"external-proof-inbox.html"
