"Layer","Current","Accept","Evidence","Reject","Owner","Proof"
"Backend и админка Confideline","красный","Один безопасный заказ имеет order_id, клиента, вопрос, назначенного исполнителя, ответ, admin timeline, события и связанный support/failure marker.","ID заказа, скрины админки, timeline, no-send events, support_case_id, QA-ссылка.","Есть только описание/ТЗ без прохода на рабочем сайте; заказ виден частично; нет связи order/session/expert/answer.","Игорь + QA","backend-admin-safe-order-execution-board-2026-06-06.html"
"Клиентский платный путь","красный","Клиент проходит offer -> order/checkout -> question -> wait -> answer -> follow-up/support без ручного вмешательства вне оговоренных admin actions.","Скрины клиентского пути, order/session/question/answer IDs, QA report PASS/WARN.","Путь описан, но не пройден мышкой; часть шагов подтверждена только словами.","QA + PM + Игорь","paid-client-flow-proof-contract-2026-06-06.html"
"Фронт Oracle/Nebula","желтый","Для критичных экранов есть дизайн-источник, сверстанная/доступная страница, backend-связь, контент, ошибки/failure states и QA-скрин.","Screen contract, скрин макета, скрин реализации, route, backend field/action, QA verdict.","Есть только Figma/PNG без backend; есть верстка без контента/ошибок; экран не связан с заказом.","Антон + Игорь + PM","oracle-nebula-screen-contract-2026-06-06.html"
"Эксперты и школа","красный","E01-E05 имеют заполненный журнал допуска: обучение, регламент, тест, пробный ответ, SLA, роль/доступ, анкета, финальный статус accepted.","Admission journal, scorecard, пробные ответы, скрины доступа/роли, ревизия Ксении.","Есть материалы обучения, но нет конкретных допущенных людей; Ксения посмотрела общо без scorecard.","PM + Ксения","first-five-expert-admission-proof-contract.html"
"Рабочее место эксперта/агента","красный","Исполнитель получает задачу по заказу, видит вопрос/SLA/контекст, отправляет ответ, статус и начисления фиксируются в системе.","Скрины workspace, assignment_id, answer_id, timestamps, начисления/статус, admin confirmation.","Есть макет кабинета, но нет runtime assignment; эксперт работает вне сайта.","Игорь + QA","expert-runtime-proof-register.html"
"Email, уведомления и события","красный","Все обязательные события по заказу зафиксированы в no-send режиме без реальной отправки клиентам: order, assignment, answer, support, follow-up.","event_id, template, recipient role, trigger, preview, external_send=false, linked order_id.","Есть шаблоны без триггеров; есть отправка без no-send proof; события не связаны с заказом.","Игорь + QA","notification-event-nosend-gate.html"
"Support и проблемные ситуации","красный","По одному заказу создан problem/support case с причиной, владельцем, решением, статусом закрытия и видимостью в админке.","support_case_id, order_id, reason, owner, decision, client/admin screenshots, QA verdict.","Правила описаны, но нет case; refund/retry/credit не имеют владельца и статуса.","Support + QA + PM","support-problem-proof-register.html"
"Документы, доверие и checkout","желтый","Terms, Privacy, Disclaimer, Refund, FAQ и checkout consent готовы в HTML-разметке, согласованы с legal/payment decisions и привязаны к LP/checkout.","HTML-ready package, approved variables, checkout screenshots, legal/founder decision record.","Документы общие или dating legacy; нет seller/provider/descriptor/refund/geography; нет checkout consent.","PM + founder/legal","public-docs-checkout-trust-proof-contract-2026-06-06.html"
"Маркетинг и первый трафик","красный","Есть QA PASS/WARN, 5 accepted experts, документы/checkout, purchase analytics, capacity rules, daily report и stop-сигналы.","Go/no-go sheet, QA report, expert journal, tracking links, daily report template, CAC/LTV calculator.","Запускать paid traffic до runtime proof; считать LTV/CAC без source/session/order/value данных.","PM + founder","first-traffic-execution-board-2026-06-06.html"
"Аналитика покупки и LTV","красный","Заказ связан с источником, сессией, клиентом, стоимостью, валютой, услугой, экспертом, support и повторным действием.","purchase event, source/campaign, order_id, value/currency, service_id, expert_id, support marker, report row.","Есть выручка без источника; есть source без заказа; CAC/LTV считаются гипотезой.","PM + Игорь + QA","purchase-analytics-control-order-capture-sheet-2026-06-06.html"
"QA перед рекламой","красный","QA проходит утвержденный сценарий и выдает PASS/WARN/STOP с публичным отчетом, скринами, ID и списком исправлений.","Public QA report, verdict, screenshots, IDs, defect list, retest notes.","QA стартует без R01/R02; отчет без скринов/ID; проверка только локальных документов.","QA + PM","prelaunch-qa-proof-contract-2026-06-06.html"
"Управление решениями владельца","желтый","По legal seller, payment provider, descriptor, refund path, launch geography и bootstrap boundary есть зафиксированное решение владельца.","Decision record: вариант, дата, владелец, последствия, где применено.","PM сам утвердил юридический/платежный путь; решение осталось в чате без фиксации.","founder + PM","launch-blocker-owner-register-2026-06-06.html"
