Раздел,Поле,Зачем,Источник proof,Если нет данных
Решение дня,"Дата; канал; кампания; owner; дневной вердикт",Понимать какой тест оцениваем и кто отвечает,PM report + ad account,Отчет не принимается
Бюджет,"Budget cap; фактический spend",Контроль что трафик не ушел шире capacity,Ad account,Трафик stop до восстановления контроля
Верх воронки,"Impressions; clicks; landing visits; CTR; CPC",Понять силу креатива и стоимость входа,Ad account + analytics,Нельзя оценить канал
Коммерческий путь,"Offer starts; checkout starts; paid customers; purchase conversion",Понять где ломается путь к покупке,Analytics + order log,Тест невалиден для CAC
Экономика,"Revenue; gross margin estimate; CAC; CAC zone",Принять решение продолжать или стопить,Order value + CAC/LTV calculator,Трафик не масштабировать
Сервис,"Orders created; questions submitted; assigned; answered; closed",Доказать что покупка превращается в услугу,Admin/service_session,Stop продуктовый путь не доказан
SLA,"Ответы в срок; просрочки; median response time",Проверить выдерживают ли 5 экспертов нагрузку,Expert workspace/admin,Reduce/stop до стабилизации
Support,"Support cases; complaint reasons; refund review; language issues",Качество ожиданий и услуги,Support ticket log,Stop если support не видит связку
События,"purchase value/source/order/session; marker; failed events",Не терять аналитику и уведомления,Event log,Тест экономики невалиден
Эксперты,"Загрузка по экспертам; quality notes; capacity remaining",Не перегрузить сильных и не поднимать слабых,Capacity journal + quality score,Не повышать лимит
Итог,"STOP/HOLD/CONTINUE SMALL/REDUCE/RETEST",Превратить данные в решение,PM daily decision,Без вердикта день не закрыт
Stop-rule,Покупка не создает order/session,CAC и выручка невалидны; клиент не получает услугу,Order/session proof,Stop
Stop-rule,Нет purchase value/source/order id,Экономика не считается,Event log,Stop или retest
Stop-rule,Эксперты ломают SLA,Рост трафика увеличит жалобы и refund,SLA proof,Reduce/stop
Stop-rule,Support не видит заказ/чат/эксперта,Проблему клиента нельзя обработать,Support proof,Stop
Stop-rule,Жалобы на качество/язык/перевод,Оффер или delivery не соответствуют ожиданиям,Support/quality proof,Stop/rework
Stop-rule,CAC выше доказанной маржи без repeat proof,Экономика не доказана,CAC/LTV calculator,Hold/rework
