Блок,Что найдено,Что требуется Игорю,Acceptance proof,Статус PM
Целевой source,Найден вариант Chat/youdate-2.0.2-yii2/Source/youdate_extracted но README говорит нет canonical source,Подтвердить актуальный runtime-путь,Запись в handoff или комментарий Игоря,WARN
Sandbox hook в BalanceController,actionStripeCreateSession уже возвращает checkoutUrl при CONFIDELINE_STRIPE_API_BASE,Подтвердить что это есть в фактическом runtime,Скрин/ответ JSON с checkoutUrl,WARN
Sandbox hook в StripeCheckout,configureStripe уже задает Stripe apiBase из env,Подтвердить что env работает в test runtime,Checkout session создана через 127.0.0.1 sandbox,WARN
Текущий successPayment,Сейчас увеличивает credits и переводит Order в COMPLETED,Добавить/подтвердить связку payment success -> consultation,Скрин order + consultation после fake success,RED
Вопрос клиента,В найденном payment flow вопрос не найден как часть order,Сохранить question с order_id/consultation_id,Скрин вопроса из карточки заказа/консультации,RED
Админка заказа,Есть admin order view в source,Показать test order и problem states в админке,Скрин order/queue/filter test,RED
Рабочее место эксперта,Есть admin chat shell/preview,Связать задачу эксперта с consultation/order,Скрин expert/agent task,RED
Чат консультации,Есть message/chat функционал,Закрепить чат за consultation/order,Скрины клиента/эксперта/админа по одному chat id,RED
No-send события,Email пакет подготовлен отдельно,Зафиксировать события без реальных писем,Лог событий по test order,WARN
Cancel/fail/refund,Sandbox умеет cancel/fail/refund,Не создавать оплаченную консультацию и фиксировать problem state,Скрины cancel/fail/refund сценариев,WARN
